ensembl_gene_id	description	gene_biotype	hgnc_symbol	chromosome_name	start_position	end_position	strand	nj	nSNV	nSamples	p.value	exp	nTotSamples	nREs	nNonPromoters	nPromoters
ENSG00000006071	ATP-binding cassette, sub-family C (CFTR/MRP), member 8 [Source:HGNC Symbol;Acc:59]	protein_coding	ABCC8	11	17414432	17498449	-1	10580	42	23	0.0333741543069767	16	107	7	1	6
ENSG00000006210	chemokine (C-X3-C motif) ligand 1 [Source:HGNC Symbol;Acc:10647]	protein_coding	CX3CL1	16	57406370	57418960	1	5943	5	4	0.994411444382167	10	107	1	1	2
ENSG00000006282	spermatogenesis associated 20 [Source:HGNC Symbol;Acc:26125]	protein_coding	SPATA20	17	48620419	48633213	1	31410	98	40	0.154208590848319	35	107	5	4	3
ENSG00000006327	tumor necrosis factor receptor superfamily, member 12A [Source:HGNC Symbol;Acc:18152]	protein_coding	TNFRSF12A	16	3068446	3072384	1	4617	20	17	0.00122075362353891	8	107	3	1	2
ENSG00000006451	v-ral simian leukemia viral oncogene homolog A (ras related) [Source:HGNC Symbol;Acc:9839]	protein_coding	RALA	7	39663082	39747723	1	12873	33	26	0.0338645420400878	19	107	5	4	2
ENSG00000006453	BAI1-associated protein 2-like 1 [Source:HGNC Symbol;Acc:21649]	protein_coding	BAIAP2L1	7	97920963	98030380	-1	8878	16	12	0.784394876670572	14	107	4	1	3
ENSG00000006459	lysine (K)-specific demethylase 7A [Source:HGNC Symbol;Acc:22224]	protein_coding	KDM7A	7	139784546	139876835	-1	18754	39	26	0.454866083698665	25	107	6	3	3
ENSG00000006534	aldehyde dehydrogenase 3 family, member B1 [Source:HGNC Symbol;Acc:410]	protein_coding	ALDH3B1	11	67776048	67796744	1	21324	34	24	0.851625247928768	27	107	1	1	5
ENSG00000006555	tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:26067]	protein_coding	TTC22	1	55245385	55266940	-1	29392	85	44	0.00947698991882051	34	107	7	4	3
ENSG00000006607	FERM, RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:16460]	protein_coding	FARP2	2	242295658	242434256	1	11643	20	15	0.810067455472729	17	107	10	0	10
ENSG00000006634	DBF4 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:17364]	protein_coding	DBF4	7	87505531	87538856	1	7146	6	6	0.986819310509417	12	107	3	1	3
ENSG00000006740	Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:29096]	protein_coding	ARHGAP44	17	12692856	12894960	1	8380	51	33	2.54859863213497e-08	13	107	6	1	6
ENSG00000007038	protease, serine, 21 (testisin) [Source:HGNC Symbol;Acc:9485]	protein_coding	PRSS21	16	2867164	2876305	1	2946	13	11	0.0125160757400176	5	107	1	1	1
ENSG00000007171	nitric oxide synthase 2, inducible [Source:HGNC Symbol;Acc:7873]	protein_coding	NOS2	17	26083792	26127525	-1	5827	18	13	0.161903930317631	10	107	2	1	1
ENSG00000007174	dynein, axonemal, heavy chain 9 [Source:HGNC Symbol;Acc:2953]	protein_coding	DNAH9	17	11501748	11873065	1	10035	36	22	0.0386072550784324	15	107	8	1	8
ENSG00000007216	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2 [Source:HGNC Symbol;Acc:10917]	protein_coding	SLC13A2	17	26800311	26824799	1	6318	14	12	0.349611110687023	10	107	2	1	1
ENSG00000007376	RNA pseudouridylate synthase domain containing 1 [Source:HGNC Symbol;Acc:14173]	protein_coding	RPUSD1	16	834974	838397	-1	7328	34	23	0.000564266413211834	12	107	3	2	1
ENSG00000007384	rhomboid 5 homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:20561]	protein_coding	RHBDF1	16	108058	126354	-1	25994	35	23	0.989734786307736	31	107	8	5	3
ENSG00000007392	LUC7-like (S. cerevisiae) [Source:HGNC Symbol;Acc:6723]	protein_coding	LUC7L	16	238968	279462	-1	45105	74	41	0.776903857409751	44	107	13	8	6
ENSG00000007516	BAI1-associated protein 3 [Source:HGNC Symbol;Acc:948]	protein_coding	BAIAP3	16	1383602	1399439	1	36361	63	30	0.989077046908513	39	107	8	6	4
ENSG00000007541	phosphatidylinositol glycan anchor biosynthesis, class Q [Source:HGNC Symbol;Acc:14135]	protein_coding	PIGQ	16	616995	634136	1	82781	121	43	0.999967324542008	58	107	12	9	5
ENSG00000007545	Crm, cramped-like (Drosophila) [Source:HGNC Symbol;Acc:14122]	protein_coding	CRAMP1L	16	1662326	1727909	1	47318	66	39	0.937812956603264	45	107	10	7	5
ENSG00000007866	TEA domain family member 3 [Source:HGNC Symbol;Acc:11716]	protein_coding	TEAD3	6	35441374	35464853	-1	25750	47	32	0.467234460897086	31	107	6	4	2
ENSG00000007923	DnaJ (Hsp40) homolog, subfamily C, member 11 [Source:HGNC Symbol;Acc:25570]	protein_coding	DNAJC11	1	6694228	6761984	-1	10011	19	14	0.723329801739701	15	107	6	1	5
ENSG00000008128	cyclin-dependent kinase 11A [Source:HGNC Symbol;Acc:1730]	protein_coding	CDK11A	1	1634169	1655766	-1	26909	40	25	0.97507775899123	32	107	6	3	3
ENSG00000008130	NAD kinase [Source:HGNC Symbol;Acc:29831]	protein_coding	NADK	1	1682671	1711896	-1	23544	35	22	0.981232688338921	29	107	3	2	4
ENSG00000008283	cytochrome b561 [Source:HGNC Symbol;Acc:2571]	protein_coding	CYB561	17	61509665	61523739	-1	8412	10	8	0.976513825205392	13	107	3	1	3
ENSG00000008300	cadherin, EGF LAG seven-pass G-type receptor 3 [Source:HGNC Symbol;Acc:3230]	protein_coding	CELSR3	3	48673902	48700348	-1	4681	7	6	0.836592717269013	8	107	2	1	2
ENSG00000008323	pleckstrin homology domain containing, family G (with RhoGef domain) member 6 [Source:HGNC Symbol;Acc:25562]	protein_coding	PLEKHG6	12	6419602	6437672	1	11390	29	22	0.105299030180517	17	107	3	1	4
ENSG00000008394	microsomal glutathione S-transferase 1 [Source:HGNC Symbol;Acc:7061]	protein_coding	MGST1	12	16500076	16762193	1	8362	32	21	0.0142007102999391	13	107	5	1	5
ENSG00000008405	cryptochrome 1 (photolyase-like) [Source:HGNC Symbol;Acc:2384]	protein_coding	CRY1	12	107385142	107487607	-1	8562	10	9	0.954026032240395	14	107	5	1	4
ENSG00000008441	nuclear factor I/X (CCAAT-binding transcription factor) [Source:HGNC Symbol;Acc:7788]	protein_coding	NFIX	19	13106422	13209610	1	62577	98	45	0.95772340513265	51	107	4	4	2
ENSG00000008513	ST3 beta-galactoside alpha-2,3-sialyltransferase 1 [Source:HGNC Symbol;Acc:10862]	protein_coding	ST3GAL1	8	134467091	134584183	-1	13922	25	22	0.345577627213069	20	107	6	1	6
ENSG00000008516	matrix metallopeptidase 25 [Source:HGNC Symbol;Acc:14246]	protein_coding	MMP25	16	3096682	3110727	1	28184	61	36	0.270299805279507	33	107	5	4	1
ENSG00000008517	interleukin 32 [Source:HGNC Symbol;Acc:16830]	protein_coding	IL32	16	3115298	3131908	1	9194	36	25	0.00159581573499235	14	107	2	2	2
ENSG00000008710	polycystic kidney disease 1 (autosomal dominant) [Source:HGNC Symbol;Acc:9008]	protein_coding	PKD1	16	2138711	2185899	-1	34814	43	25	0.999607896464484	38	107	3	2	2
ENSG00000008838	mediator complex subunit 24 [Source:HGNC Symbol;Acc:22963]	protein_coding	MED24	17	38175350	38217468	-1	17524	23	18	0.961226797420369	24	107	9	3	6
ENSG00000008853	Rho-related BTB domain containing 2 [Source:HGNC Symbol;Acc:18756]	protein_coding	RHOBTB2	8	22844930	22877712	1	11212	24	18	0.431619612312704	17	107	6	1	5
ENSG00000009724	mannan-binding lectin serine peptidase 2 [Source:HGNC Symbol;Acc:6902]	protein_coding	MASP2	1	11086580	11107290	-1	5701	12	11	0.356107016920422	9	107	3	1	2
ENSG00000009950	MLX interacting protein-like [Source:HGNC Symbol;Acc:12744]	protein_coding	MLXIPL	7	73007524	73038873	-1	8942	30	24	0.00270387544487261	14	107	5	1	4
ENSG00000010030	ets variant 7 [Source:HGNC Symbol;Acc:18160]	protein_coding	ETV7	6	36322419	36356164	-1	7539	21	17	0.0825187611415488	12	107	4	2	2
ENSG00000010256	ubiquinol-cytochrome c reductase core protein I [Source:HGNC Symbol;Acc:12585]	protein_coding	UQCRC1	3	48636435	48648409	-1	7219	15	10	0.772424933453737	12	107	4	1	4
ENSG00000010278	CD9 molecule [Source:HGNC Symbol;Acc:1709]	protein_coding	CD9	12	6308881	6347425	1	88858	163	60	0.553345174662768	60	107	7	7	3
ENSG00000010292	non-SMC condensin I complex, subunit D2 [Source:HGNC Symbol;Acc:24305]	protein_coding	NCAPD2	12	6602522	6641121	1	11982	7	5	0.999994925814312	18	107	5	2	4
ENSG00000010379	solute carrier family 6 (neurotransmitter transporter), member 13 [Source:HGNC Symbol;Acc:11046]	protein_coding	SLC6A13	12	329789	372039	-1	13753	49	29	0.00991336484597305	20	107	7	1	6
ENSG00000010626	leucine rich repeat containing 23 [Source:HGNC Symbol;Acc:19138]	protein_coding	LRRC23	12	6982733	7023407	1	16523	19	13	0.998580256243198	23	107	3	2	2
ENSG00000010704	hemochromatosis [Source:HGNC Symbol;Acc:4886]	protein_coding	HFE	6	26087509	26098571	1	3857	4	4	0.920033172374091	7	107	2	1	2
ENSG00000010803	sex comb on midleg homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:19003]	protein_coding	SCMH1	1	41492872	41707826	-1	19895	37	24	0.75930731834144	26	107	6	4	2
ENSG00000011143	Meckel syndrome, type 1 [Source:HGNC Symbol;Acc:7121]	protein_coding	MKS1	17	56282803	56296966	-1	9435	16	14	0.643372205042764	15	107	5	1	4
ENSG00000011304	polypyrimidine tract binding protein 1 [Source:HGNC Symbol;Acc:9583]	protein_coding	PTBP1	19	797075	812327	1	17438	33	21	0.814939844494336	24	107	3	2	3
ENSG00000011422	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:9053]	protein_coding	PLAUR	19	44150247	44174699	-1	17101	38	26	0.291374068334697	23	107	5	1	5
ENSG00000012048	breast cancer 1, early onset [Source:HGNC Symbol;Acc:1100]	protein_coding	BRCA1	17	41196312	41277500	-1	22103	43	27	0.665178412556116	28	107	11	4	7
ENSG00000012211	prickle homolog 3 (Drosophila) [Source:HGNC Symbol;Acc:6645]	protein_coding	PRICKLE3	X	49031151	49042845	-1	7228	15	11	0.656396803513379	12	107	3	2	1
ENSG00000012232	exostosin-like glycosyltransferase 3 [Source:HGNC Symbol;Acc:3518]	protein_coding	EXTL3	8	28457986	28613116	1	10115	22	14	0.736464625637769	16	107	7	1	6
ENSG00000012660	ELOVL fatty acid elongase 5 [Source:HGNC Symbol;Acc:21308]	protein_coding	ELOVL5	6	53132196	53213947	-1	4364	11	10	0.210536456729177	7	107	3	0	3
ENSG00000013016	EH-domain containing 3 [Source:HGNC Symbol;Acc:3244]	protein_coding	EHD3	2	31456880	31492313	1	3738	11	10	0.108505368233091	6	107	1	1	1
ENSG00000013306	solute carrier family 25, member 39 [Source:HGNC Symbol;Acc:24279]	protein_coding	SLC25A39	17	42396993	42402238	-1	6088	10	8	0.824771213252951	10	107	2	1	1
ENSG00000013364	major vault protein [Source:HGNC Symbol;Acc:7531]	protein_coding	MVP	16	29831715	29859355	1	55668	65	35	0.999783155903011	49	107	7	5	3
ENSG00000013374	negative regulator of ubiquitin-like proteins 1 [Source:HGNC Symbol;Acc:17623]	protein_coding	NUB1	7	151038785	151075535	1	10304	21	19	0.210865037889569	16	107	5	2	5
ENSG00000013563	deoxyribonuclease I-like 1 [Source:HGNC Symbol;Acc:2957]	protein_coding	DNASE1L1	X	153629579	153640449	-1	23901	17	14	0.999995545705279	30	107	6	5	1
ENSG00000013573	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 [Source:HGNC Symbol;Acc:2736]	protein_coding	DDX11	12	31226779	31257725	1	10149	13	12	0.900622654466915	16	107	8	1	8
ENSG00000013588	G protein-coupled receptor, family C, group 5, member A [Source:HGNC Symbol;Acc:9836]	protein_coding	GPRC5A	12	13043716	13070871	1	35211	64	38	0.5390326682855	38	107	3	3	1
ENSG00000013725	CD6 molecule [Source:HGNC Symbol;Acc:1691]	protein_coding	CD6	11	60739115	60787849	1	12191	38	27	0.0099518432406539	18	107	7	2	5
ENSG00000014138	polymerase (DNA directed), alpha 2, accessory subunit [Source:HGNC Symbol;Acc:30073]	protein_coding	POLA2	11	65029233	65073060	1	19177	32	24	0.700830223890123	25	107	5	3	6
ENSG00000014164	zinc finger CCCH-type containing 3 [Source:HGNC Symbol;Acc:28972]	protein_coding	ZC3H3	8	144519825	144623623	-1	54848	107	47	0.668619141280088	48	107	10	9	1
ENSG00000014257	acid phosphatase, prostate [Source:HGNC Symbol;Acc:125]	protein_coding	ACPP	3	132036211	132087142	1	11541	45	29	0.000998809215174479	17	107	5	2	4
ENSG00000015171	zinc finger, MYND-type containing 11 [Source:HGNC Symbol;Acc:16966]	protein_coding	ZMYND11	10	180405	300577	1	5218	6	6	0.899975150794652	9	107	3	1	2
ENSG00000015520	NPC1-like 1 [Source:HGNC Symbol;Acc:7898]	protein_coding	NPC1L1	7	44552134	44580914	-1	8572	44	25	0.000634661319383834	14	107	3	1	2
ENSG00000015532	xylosyltransferase II [Source:HGNC Symbol;Acc:15517]	protein_coding	XYLT2	17	48423453	48440499	1	61739	183	58	0.0595831655550695	51	107	4	3	2
ENSG00000016391	choline dehydrogenase [Source:HGNC Symbol;Acc:24288]	protein_coding	CHDH	3	53846362	53880417	-1	9540	16	12	0.853619532454235	15	107	3	1	2
ENSG00000016402	interleukin 20 receptor, alpha [Source:HGNC Symbol;Acc:6003]	protein_coding	IL20RA	6	137321108	137366298	-1	10309	24	18	0.30550288607485	16	107	6	1	5
ENSG00000017797	ralA binding protein 1 [Source:HGNC Symbol;Acc:9841]	protein_coding	RALBP1	18	9475007	9538114	1	4231	10	8	0.451860696666122	7	107	1	1	1
ENSG00000018280	solute carrier family 11 (proton-coupled divalent metal ion transporter), member 1 [Source:HGNC Symbol;Acc:10907]	protein_coding	SLC11A1	2	219246752	219261617	1	25361	64	39	0.0284865655146936	31	107	3	2	4
ENSG00000018610	chromosome X open reading frame 56 [Source:HGNC Symbol;Acc:26239]	protein_coding	CXorf56	X	118672112	118699397	-1	2271	4	4	0.594323122914918	4	107	2	1	1
ENSG00000019102	V-set and immunoglobulin domain containing 2 [Source:HGNC Symbol;Acc:17149]	protein_coding	VSIG2	11	124617368	124622134	-1	9274	16	15	0.495828961014366	14	107	1	1	1
ENSG00000019144	pleckstrin homology-like domain, family B, member 1 [Source:HGNC Symbol;Acc:23697]	protein_coding	PHLDB1	11	118477155	118528741	1	16728	29	20	0.837232955370987	23	107	12	1	13
ENSG00000019485	PR domain containing 11 [Source:HGNC Symbol;Acc:13996]	protein_coding	PRDM11	11	45115564	45247734	1	14556	27	20	0.639596351006288	21	107	6	3	4
ENSG00000020922	MRE11 meiotic recombination 11 homolog A (S. cerevisiae) [Source:HGNC Symbol;Acc:7230]	protein_coding	MRE11A	11	94152895	94227074	-1	7047	14	13	0.360669572961033	11	107	5	1	4
ENSG00000021355	serpin peptidase inhibitor, clade B (ovalbumin), member 1 [Source:HGNC Symbol;Acc:3311]	protein_coding	SERPINB1	6	2832566	2842240	-1	27838	46	30	0.79835925042136	33	107	5	5	1
ENSG00000022567	solute carrier family 45, member 4 [Source:HGNC Symbol;Acc:29196]	protein_coding	SLC45A4	8	142217265	142318404	-1	30274	65	33	0.698645751684545	35	107	4	1	4
ENSG00000023228	NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase) [Source:HGNC Symbol;Acc:7707]	protein_coding	NDUFS1	2	206979541	207024327	-1	13634	13	11	0.997341382871163	20	107	5	2	3
ENSG00000023697	deoxyribose-phosphate aldolase (putative) [Source:HGNC Symbol;Acc:24269]	protein_coding	DERA	12	16064106	16190220	1	9179	11	9	0.973311829200387	14	107	5	2	4
ENSG00000023892	differentially expressed in FDCP 6 homolog (mouse) [Source:HGNC Symbol;Acc:2760]	protein_coding	DEF6	6	35265595	35289548	1	3337	6	6	0.544462301142995	6	107	3	0	3
ENSG00000026297	ribonuclease T2 [Source:HGNC Symbol;Acc:21686]	protein_coding	RNASET2	6	167342992	167370679	-1	8551	14	11	0.837938603341352	14	107	3	1	2
ENSG00000027075	protein kinase C, eta [Source:HGNC Symbol;Acc:9403]	protein_coding	PRKCH	14	61654277	62017694	1	21127	25	19	0.991156835144056	27	107	13	2	13
ENSG00000027869	SH2 domain containing 2A [Source:HGNC Symbol;Acc:10821]	protein_coding	SH2D2A	1	156776035	156786654	-1	9770	24	20	0.0962070585015424	15	107	4	1	3
ENSG00000029534	ankyrin 1, erythrocytic [Source:HGNC Symbol;Acc:492]	protein_coding	ANK1	8	41510739	41754280	-1	6826	24	18	0.020394912418058	11	107	5	0	5
ENSG00000029993	high mobility group box 3 [Source:HGNC Symbol;Acc:5004]	protein_coding	HMGB3	X	150148982	150159248	1	3631	8	6	0.625241477002598	6	107	2	1	1
ENSG00000030419	IKAROS family zinc finger 2 (Helios) [Source:HGNC Symbol;Acc:13177]	protein_coding	IKZF2	2	213864429	214017151	-1	12920	48	28	0.00958723955057028	19	107	6	1	6
ENSG00000031081	Rho GTPase activating protein 31 [Source:HGNC Symbol;Acc:29216]	protein_coding	ARHGAP31	3	119013220	119139561	1	4964	4	3	0.994540195882961	8	107	2	1	2
ENSG00000031691	centromere protein Q [Source:HGNC Symbol;Acc:21347]	protein_coding	CENPQ	6	49431091	49460820	1	2695	3	3	0.873562124434717	5	107	1	1	1
ENSG00000031823	RAN binding protein 3 [Source:HGNC Symbol;Acc:9850]	protein_coding	RANBP3	19	5916150	5978153	-1	47914	106	51	0.0919141387862681	45	107	12	5	7
ENSG00000032444	patatin-like phospholipase domain containing 6 [Source:HGNC Symbol;Acc:16268]	protein_coding	PNPLA6	19	7598890	7626650	1	19998	41	23	0.841090796232496	26	107	10	2	8
ENSG00000033170	fucosyltransferase 8 (alpha (1,6) fucosyltransferase) [Source:HGNC Symbol;Acc:4019]	protein_coding	FUT8	14	65877310	66210839	1	48478	119	45	0.578869342277089	45	107	9	6	4
ENSG00000033327	GRB2-associated binding protein 2 [Source:HGNC Symbol;Acc:14458]	protein_coding	GAB2	11	77926343	78129394	-1	39906	47	33	0.980026756947102	41	107	9	7	3
ENSG00000033627	ATPase, H+ transporting, lysosomal V0 subunit a1 [Source:HGNC Symbol;Acc:865]	protein_coding	ATP6V0A1	17	40610862	40674629	1	16854	28	19	0.903183339313797	23	107	10	2	8
ENSG00000034677	ring finger protein 19A, RBR E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:13432]	protein_coding	RNF19A	8	101269288	101348446	-1	9001	22	15	0.451217073340621	14	107	4	1	3
ENSG00000035499	DEP domain containing 1B [Source:HGNC Symbol;Acc:24902]	protein_coding	DEPDC1B	5	59892739	59996017	-1	7690	4	3	0.999920005217401	12	107	4	1	3
ENSG00000035664	death-associated protein kinase 2 [Source:HGNC Symbol;Acc:2675]	protein_coding	DAPK2	15	64199235	64364232	-1	20268	52	30	0.217839030183386	26	107	9	3	6
ENSG00000036672	ubiquitin specific peptidase 2 [Source:HGNC Symbol;Acc:12618]	protein_coding	USP2	11	119225925	119252436	-1	14127	20	14	0.976668481501212	20	107	6	3	3
ENSG00000037042	tubulin, gamma 2 [Source:HGNC Symbol;Acc:12419]	protein_coding	TUBG2	17	40811323	40819024	1	41445	47	28	0.999815451452978	42	107	12	12	1
ENSG00000037757	methylthioribose-1-phosphate isomerase 1 [Source:HGNC Symbol;Acc:28469]	protein_coding	MRI1	19	13875346	13885096	1	37059	76	40	0.456048401911044	39	107	6	6	1
ENSG00000038427	versican [Source:HGNC Symbol;Acc:2464]	protein_coding	VCAN	5	82767284	82878122	1	9675	19	9	0.983098206012243	15	107	4	1	4
ENSG00000038532	C-type lectin domain family 16, member A [Source:HGNC Symbol;Acc:29013]	protein_coding	CLEC16A	16	11038345	11276046	1	14490	26	20	0.63207483644671	21	107	4	2	4
ENSG00000039650	polynucleotide kinase 3'-phosphatase [Source:HGNC Symbol;Acc:9154]	protein_coding	PNKP	19	50364461	50371166	-1	18277	16	13	0.999714543296308	25	107	2	1	1
ENSG00000040199	PH domain and leucine rich repeat protein phosphatase 2 [Source:HGNC Symbol;Acc:29149]	protein_coding	PHLPP2	16	71671738	71758604	-1	4552	11	10	0.247032689174406	8	107	4	0	4
ENSG00000040341	staufen double-stranded RNA binding protein 2 [Source:HGNC Symbol;Acc:11371]	protein_coding	STAU2	8	74332604	74659943	-1	14995	33	23	0.365623253056965	21	107	8	1	7
ENSG00000040531	cystinosin, lysosomal cystine transporter [Source:HGNC Symbol;Acc:2518]	protein_coding	CTNS	17	3539762	3564836	1	7258	13	13	0.399150940361131	12	107	2	1	1
ENSG00000041353	RAB27B, member RAS oncogene family [Source:HGNC Symbol;Acc:9767]	protein_coding	RAB27B	18	52385091	52562747	1	6157	41	24	1.52524348744354e-05	10	107	3	1	3
ENSG00000041357	proteasome (prosome, macropain) subunit, alpha type, 4 [Source:HGNC Symbol;Acc:9533]	protein_coding	PSMA4	15	78832747	78841604	1	10672	27	20	0.170595879150333	16	107	5	4	2
ENSG00000041880	poly (ADP-ribose) polymerase family, member 3 [Source:HGNC Symbol;Acc:273]	protein_coding	PARP3	3	51976361	51982883	1	6094	13	11	0.437220079558815	10	107	2	1	3
ENSG00000041988	THAP domain containing, apoptosis associated protein 3 [Source:HGNC Symbol;Acc:20855]	protein_coding	THAP3	1	6684926	6695646	1	13365	22	15	0.926258115082939	19	107	4	4	1
ENSG00000042493	capping protein (actin filament), gelsolin-like [Source:HGNC Symbol;Acc:1474]	protein_coding	CAPG	2	85621871	85645555	-1	7598	7	7	0.978411626477954	12	107	2	1	3
ENSG00000043039	BARX homeobox 2 [Source:HGNC Symbol;Acc:956]	protein_coding	BARX2	11	129245835	129322171	1	9158	28	21	0.0326362554891911	14	107	4	2	3
ENSG00000043514	tRNA isopentenyltransferase 1 [Source:HGNC Symbol;Acc:20286]	protein_coding	TRIT1	1	40306723	40349183	-1	7754	14	12	0.619751984971909	12	107	4	1	3
