REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	HGSerous_429_IP.nodup.bam	HGSerous_429_Input.nodup.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper	ensembl_gene_id	hgnc_symbol	medianCPM	keyAnnotation
19_Peak_27899_lociStitched	chr1	201976206	202088166	19	52266	101021.508	11408.724	21	ELF3	RNPEP,PTPN7,ELF3,PTPRVP,GPR37L1,ARL8A	ELF3	21	1	ENSG00000163435	ELF3	243.043030111608	1
14_Peak_14485_lociStitched	chr12	6431417	6488420	14	31851	94436.8701	5631.8964	22	PLEKHG6,SCNN1A,TNFRSF1A	LTBR	TNFRSF1A	22	1	ENSG00000111319	SCNN1A	105.093359494062	1
42_Peak_47613_lociStitched	chr2	47181011	47318631	42	59341	107205.98	18633.748	23	TTC7A,C2orf61	MCFD2	MCFD2	23	1	ENSG00000180398	MCFD2	35.2330437432678	1
23_Peak_21544_lociStitched	chr9	130257158	130348241	23	51039	97850.4669	9326.8992	24	LRSAM1,FAM129B	LRSAM1,RPL12,SNORA65,STXBP1	FAM129B	24	1	ENSG00000136830	FAM129B	92.1813888476543	1
23_Peak_13379_lociStitched	chr6	6651977	6726449	23	48448	97826.4192	9659.0184	25	LY86	LY86-AS1	LY86-AS1	25	1	ENSG00000261211		1.3902355637383	1
19_Peak_18145_lociStitched	chr1	201403806	201482219	19	44889	95977.512	8162.7933	26	PHLDA3,CSRP1	CSRP1,RPS10P7,TNNI1,LAD1	PHLDA3	26	1	ENSG00000159176	CSRP1	65.6861876089153	1
27_Peak_34276_lociStitched	chr10	74001783	74108892	27	49140	98069.0004	11160.7578	27	DDIT4,DNAJB12	ANAPC16,ASCC1,DNAJB12	DDIT4	27	1	ENSG00000168209	DDIT4	40.8140812876661	1
5_Peak_87252_lociStitched	chr2	66652514	66677559	5	21582	88621.7325	2321.6715	28	MEIS1		MEIS1	28	1	ENSG00000143995	MEIS1	60.6970443984811	1
23_Peak_56063_lociStitched	chr19	1150663	1216626	23	39793	91952.422	5857.5144	29	SBNO2,STK11	SBNO2,ATP5D,C19orf26,MIDN,GPX4	SBNO2	29	1	ENSG00000064932	SBNO2	57.0415508509097	1
31_Peak_45513_lociStitched	chr17	17579083	17689278	31	55487	94481.193	8947.834	30	SMCR5,RAI1	MIR33B	SMCR5	30	1	ENSG00000226746	SMCR5	1.89043863847729	1
13_Peak_30_lociStitched	chr19	16177019	16230457	13	35630	89807.9028	5317.081	31	TPM4,RAB8A	HSH2D,FLJ25328	TPM4	31	1	ENSG00000167460	TPM4	334.742670341799	1
32_Peak_13699_lociStitched	chr19	13111901	13210803	32	54588	94075.5824	10196.7962	32	NFIX,LYL1	GADD45GIP1,NACC1,TRMT1,DAND5	LYL1	32	1	ENSG00000104903	LYL1	1.08846122891499	1
26_Peak_11619_lociStitched	chr19	3335323	3410098	26	42267	90148.74	6916.6875	33	NFIC		NFIC	33	1	ENSG00000141905	NFIC	122.025751510664	1
16_Peak_60861_lociStitched	chr12	53289054	53370465	16	40733	90252.2346	8059.689	34	KRT18,KRT8	EIF4B,KRT78	KRT18	34	1	ENSG00000170421	KRT8	560.232747258979	1
27_Peak_11643_lociStitched	chr22	36718518	36815982	27	55559	89423.22	7475.4888	35	MYH9		MYH9	35	1	ENSG00000100345	MYH9	465.858773555724	1
29_Peak_107524_lociStitched	chr15	71788801	71865854	29	55196	89473.9436	7967.2802	36	THSD4		NR2E3	36	1	ENSG00000278570	NR2E3	1.09515524008054	1
13_Peak_68971_lociStitched	chr12	6277242	6351458	13	44020	88368.9912	7102.4712	37	CD9	VWF	CD9	37	1	ENSG00000010278	CD9	57.4919348287287	1
35_Peak_105575_lociStitched	chr12	124964130	125077072	35	50742	91867.0228	11079.6102	38	NCOR2	NCOR2	NCOR2	38	1	ENSG00000196498	NCOR2	120.453952827208	1
8_Peak_6650_lociStitched	chr15	96864247	96903689	8	35566	83605.2074	3620.7756	39	NR2F2,MIR1469		NR2F2	39	1	ENSG00000185551	NR2F2	109.550421333738	1
Peak_5201	chr17	46638591	46678313	1	39723	82959.397	3134.0658	40	HOXB4,HOXB6,LOC404266,HOXB5,HOXB3,MIR10A	HOXB1,MIR196A1,HOXB2,HOXB9,HOXB8,HOXB7	MIR10A	40	1	ENSG00000182742	HOXB4	20.3732056220386	1
15_Peak_22277_lociStitched	chr1	16465214	16518364	15	33444	86751.43	7084.895	41	EPHA2	ARHGEF19,C1orf89	EPHA2	41	1	ENSG00000142627	EPHA2	30.9695541992627	1
16_Peak_26719_lociStitched	chr2	28605760	28675425	16	22975	88230.7225	8938.0195	42	FOSL2	PLB1	FOSL2	42	1	ENSG00000075426	FOSL2	164.758793831088	1
5_Peak_38800_lociStitched	chr7	5452398	5478706	5	15146	81504.8148	2604.492	43	TNRC18		TNRC18	43	1	ENSG00000182095	TNRC18	116.868664254118	1
6_Peak_33761_lociStitched	chr1	156066568	156100720	6	25706	79669.7856	3165.8904	44	LMNA	ROBLD3,RAB25,SEMA4A,UBQLN4,MEX3A	LMNA	44	1	ENSG00000160789	LMNA	177.908779312497	1
46_Peak_33616_lociStitched	chr12	125091548	125251624	46	70048	92187.7684	16904.0256	45		NCOR2	NCOR2	45	1	ENSG00000196498	NCOR2	120.453952827208	1
13_Peak_1792_lociStitched	chr3	50264339	50311141	13	29485	78472.9134	4689.5604	46	GNAI2,SEMA3B	GNAT1,HYAL3,SLC38A3,HYAL1,C3orf45,NAT6,HYAL2,IFRD2	GNAI2	46	1	ENSG00000114353	GNAI2	127.917817203965	1
10_Peak_9088_lociStitched	chr8	55329808	55391207	10	27069	79321.3681	6367.0763	47	SOX17		SOX17	47	1	ENSG00000164736	SOX17	42.9704456391019	1
5_Peak_3139_lociStitched	chr19	12876977	12907198	5	17662	76002.7929	3106.7188	48	JUNB,HOOK2	ASNA1,RNASEH2A,PRDX2,RTBDN,TNPO2,C19orf43,MAST1,BEST2	HOOK2	48	1	ENSG00000095066	HOOK2	74.3572531134399	1
39_Peak_85952_lociStitched	chr1	54715460	54824114	39	56844	83859.1572	11647.7088	49	SSBP3	CYB5RL,MRPL37	SSBP3	49	1	ENSG00000157216	SSBP3	127.467423012349	1
30_Peak_39018_lociStitched	chr1	9350373	9445765	30	48800	83811.4112	11637.824	50	SPSB1		SPSB1	50	1	ENSG00000171621	SPSB1	10.578849126461	1
11_Peak_37837_lociStitched	chr1	234718377	234768455	11	22790	75833.1154	5042.8546	51	IRF2BP2,NCRNA00184		IRF2BP2	51	1	ENSG00000168264	IRF2BP2	93.3315632379749	1
4_Peak_12919_lociStitched	chr11	62305476	62329925	4	24064	72549.9626	2704.0594	52	AHNAK,EEF1G	TUT1,MTA2	AHNAK	52	1	ENSG00000124942	AHNAK	562.993455668991	1
Peak_16	chr11	65183474	65198627	1	15154	71355.477	1531.9683	53	NEAT1	FRMD8,SLC25A45,MIR612	NEAT1	53	1	ENSG00000245532	NEAT1	2115.87873530667	1
34_Peak_25414_lociStitched	chr19	9108704	9191139	34	50507	77563.0915	7740.6465	54		OR1M1,MUC16,OR7G2,OR7G3,OR7G1	OR1M1	54	1	ENSG00000181143	MUC16	357.528755362012	3
18_Peak_33827_lociStitched	chr12	58222550	58299194	18	34960	75816.2448	8147.2572	55	CTDSP2	XRCC6BP1,AVIL,TSFM,MIR26A2	CTDSP2	55	1	ENSG00000175215	CTDSP2	96.8835501093696	1
12_Peak_7920_lociStitched	chr8	126556579	126626858	12	31313	78944.4007	12404.2435	56			TRIB1	56	1	ENSG00000173334	TRIB1	24.8587920397527	1
9_Peak_75419_lociStitched	chr19	13253619	13293299	9	20582	70027.264	3928.32	57	STX10,IER2	TRMT1,NACC1,LYL1	IER2	57	1	ENSG00000160888	IER2	73.6196528020863	1
50_Peak_55586_lociStitched	chr1	19711977	19833244	50	45849	81248.89	15728.3299	58	CAPZB		CAPZB	58	1	ENSG00000077549	CAPZB	98.7623344479686	1
15_Peak_7081_lociStitched	chr14	77466383	77534746	15	29145	69880.6586	5380.1681	59	C14orf4	KIAA1737	C14orf4	59	1	ENSG00000119669	IRF2BPL	27.3042961944847	1
46_Peak_99482_lociStitched	chr17	75346870	75477147	46	56433	74257.89	10539.4093	60	SEPT9,MIR4316		MIR4316	60	1	ENSG00000200651		3.34917742341827	1
16_Peak_20404_lociStitched	chr1	22222135	22284905	16	43638	70114.09	6396.263	61	HSPG2	CELA3A,CELA3B	HSPG2	61	1	ENSG00000142798	HSPG2	182.954321741821	1
5_Peak_137_lociStitched	chr1	150530360	150553356	5	22187	65681.1752	2529.56	62	ADAMTSL4,MCL1	ENSA,MIR4257,MCL1,ECM1	MCL1	62	1	ENSG00000143384	MCL1	147.30744040547	1
13_Peak_31120_lociStitched	chr7	131192859	131238119	13	28958	68831.408	6956.462	63	PODXL	PODXL	PODXL	63	1	ENSG00000128567	PODXL	33.5259482028065	1
50_Peak_52440_lociStitched	chr10	126301366	126434303	50	54182	76265.9569	14530.0141	64	FAM53B,LHPP	METTL10	FAM53B	64	1	ENSG00000189319	FAM53B	26.527093593062	1
24_Peak_9668_lociStitched	chr10	95171502	95249394	24	36705	68607.2736	8030.6652	65	MYOF	CEP55,MYOF	MYOF	65	1	ENSG00000138119	MYOF	112.315172230775	1
12_Peak_10767_lociStitched	chr7	158594714	158659169	12	23232	69566.2815	9345.975	66	WDR60,ESYT2		ESYT2	66	1	ENSG00000117868	ESYT2	71.5194117920094	1
35_Peak_34313_lociStitched	chr11	72846883	72971539	35	38639	72936.2256	13550.1072	67	P2RY2,FCHSD2	P2RY6,ARHGEF17	P2RY2	67	1	ENSG00000175591	P2RY2	2.10874134067076	1
34_Peak_15897_lociStitched	chr1	8402980	8524606	34	39178	74872.9656	15519.4776	68	SLC45A1,RERE		RERE	68	1	ENSG00000142599	RERE	130.594642185186	1
32_Peak_22274_lociStitched	chr8	128813114	128906419	32	35133	75343.7875	16067.121	69	PVT1	MIR1204	MIR1204	69	1	ENSG00000249859	PVT1	21.6853292261672	2
23_Peak_43936_lociStitched	chr7	47597535	47689281	23	40361	68048.0082	9358.092	70		C7orf65,TNS3	C7orf65	70	1	ENSG00000136205	TNS3	70.2544083013694	2
28_Peak_47453_lociStitched	chr5	131749871	131842351	28	37356	67945.056	9543.936	71	C5orf56,IRF1	SLC22A5,IL5,MIR3936	IRF1	71	1	ENSG00000125347	IRF1	37.9680887497992	1
12_Peak_55292_lociStitched	chr12	48194514	48236270	12	30560	62730.0388	4392.7312	72	HDAC7,VDR	RAPGEF3,SLC48A1,HDAC7	HDAC7	72	1	ENSG00000061273	HDAC7	84.4115852748388	1
24_Peak_16632_lociStitched	chr15	66993580	67096636	24	38171	69531.8832	11377.3824	73	SMAD6	SMAD6	SMAD6	73	1	ENSG00000137834	SMAD6	12.4532183221601	1
16_Peak_32025_lociStitched	chr14	69224764	69286674	16	24966	62838.65	4983.755	74	C14orf181,ZFP36L1		ZFP36L1	74	1	ENSG00000185650	ZFP36L1	374.570349120322	1
14_Peak_107915_lociStitched	chr19	2027077	2064967	14	27195	61844.058	4084.542	75	MKNK2	MOBKL2A,BTBD2,IZUMO4	MKNK2	75	1	ENSG00000099875	MKNK2	64.5326538904264	1
27_Peak_70850_lociStitched	chr7	73986979	74086280	27	36191	67385.6586	10039.3311	76	GTF2I,GTF2IRD1	GTF2I	GTF2I	76	1	ENSG00000263001	GTF2I	35.0467169461498	1
40_Peak_5497_lociStitched	chr2	218761737	218875878	40	50692	71269.6404	14507.3211	77	TNS1	RUFY4	TNS1	77	1	ENSG00000079308	TNS1	87.6988310502487	1
42_Peak_15324_lociStitched	chr5	125757900	125874945	42	49168	68272.3485	11587.455	78	GRAMD3	GRAMD3	GRAMD3	78	1	ENSG00000250602		4.59909908758984	1
34_Peak_21965_lociStitched	chr17	76304190	76418020	34	44718	65497.782	8924.272	79	SOCS3,PGS1		SOCS3	79	1	ENSG00000184557	SOCS3	54.9015144409157	1
19_Peak_44502_lociStitched	chr11	96026579	96076521	19	34812	61358.7412	5653.4344	80	MIR1260B,MAML2	JRKL,CCDC82	MIR1260B	80	1	ENSG00000266192	MIR1260B	0.479313907334105	1
8_Peak_19424_lociStitched	chr1	12650707	12682749	8	21418	59457.1352	4107.7844	81	DHRS3	AADACL4	DHRS3	81	1	ENSG00000162496	DHRS3	49.3693560933508	1
20_Peak_14407_lociStitched	chr11	34621401	34677521	20	39017	60873.364	5763.524	82	EHF		EHF	82	1	ENSG00000135373	EHF	47.2711464147324	1
23_Peak_8546_lociStitched	chr14	75017733	75087278	23	45851	60678.0125	5674.872	83	LTBP2		LTBP2	83	1	ENSG00000119681	LTBP2	36.5216965310468	1
Peak_44	chr8	144096937	144108882	1	11946	56607.355	2326.886	84	LY6E,LOC100133669	C8orf31	LY6E	84	1	ENSG00000160932	LY6E	114.461558515422	1
Peak_46	chr12	122229693	122245366	1	15674	55480.8527	1354.1472	85	LOC338799,RHOF,SETD1B		LOC338799	85	1	ENSG00000212694	LINC01089	12.6544911209054	1
13_Peak_56361_lociStitched	chr1	1064083	1103307	13	18269	58482.984	4432.312	86	MIR200B,MIR200A	MIR429,C1orf159,TTLL10,TNFRSF4,TNFRSF18	MIR200B	86	1	ENSG00000223823	LINC01342	0.410545658972311	1
12_Peak_1151_lociStitched	chr10	134188297	134243968	12	20358	59629.2081	5789.784	87	PWWP2B,LRRC27	LRRC27,C10orf91	PWWP2B	87	1	ENSG00000171813	PWWP2B	11.7718960280876	1
24_Peak_19326_lociStitched	chr2	105979029	106050096	24	41050	61224.2205	7476.2484	88	FHL2	C2orf49,TGFBRAP1	FHL2	88	1	ENSG00000115641	FHL2	38.9086220771407	1
13_Peak_32952_lociStitched	chr16	4338292	4379632	13	30125	57723.042	4117.464	89		GLIS2,VASN,SRL,TFAP4,PAM16	GLIS2	89	1	ENSG00000126603	GLIS2	11.1363399641971	1
23_Peak_30140_lociStitched	chr9	130805454	130867699	23	35985	60022.8535	6510.827	90	SLC25A25,NAIF1	LCN2,LOC100289019,LOC389791,PTGES2	SLC25A25	90	1	ENSG00000148339	SLC25A25	17.5728445055897	1
22_Peak_40329_lociStitched	chr20	30249188	30319219	22	39076	60569.8119	7108.1465	91	BCL2L1	COX4I2,TPX2	BCL2L1	91	1	ENSG00000171552	BCL2L1	52.8689294767238	1
28_Peak_77328_lociStitched	chr12	113629839	113714531	28	36692	62231.6816	8774.0912	92	TPCN1,C12orf52,IQCD	DDX54,CCDC42B	TPCN1	92	1	ENSG00000186815	TPCN1	59.2554234450036	1
18_Peak_61366_lociStitched	chr9	135945816	136020611	18	31969	61212.228	7935.7495	93	CELP,RALGDS,CEL	GTF3C5,GBGT1	RALGDS	93	1	ENSG00000160271	RALGDS	47.0538754055554	1
22_Peak_38926_lociStitched	chr21	44781880	44884814	22	31587	63633.7988	10530.1482	94	C21orf125,C21orf84,SIK1		SIK1	94	1	ENSG00000160209	PDXK	130.866202849101	3
19_Peak_51153_lociStitched	chr1	235090461	235148431	19	31805	59448.235	6620.174	95			SNORA14B	95	1	ENSG00000238005		0.488103006042658	1
25_Peak_9743_lociStitched	chr5	149838924	149921668	25	42056	61230.56	8423.3392	96	NDST1	CD74,RPS14	NDST1	96	1	ENSG00000070614	NDST1	51.3446529605835	1
15_Peak_1104_lociStitched	chr17	38449909	38514777	15	34442	57460.0744	4761.3112	97	RARA,CDC6	RARA,GJD3	RARA	97	1	ENSG00000131759	RARA	12.4457086969	1
7_Peak_42022_lociStitched	chr2	28958541	28996467	7	16806	57264.4674	4937.9652	98	PPP1CB	SPDYA	PPP1CB	98	1	ENSG00000213639	PPP1CB	240.855257443272	1
10_Peak_18830_lociStitched	chr20	60922052	60967153	10	28744	56813.7297	4546.1808	99	RPS21,LAMA5,CABLES2	C20orf151,ADRM1	LAMA5	99	1	ENSG00000171858	RPS21	182.46987652021	1
24_Peak_46914_lociStitched	chr15	75395120	75497812	24	37598	61974.622	9889.2396	100	C15orf39		C15orf39	100	1	ENSG00000167173	C15orf39	20.9261831752078	1
36_Peak_21164_lociStitched	chr14	70078288	70193864	36	47923	61209.0496	9222.9648	101	KIAA0247	SRSF5,C14orf162,LOC100289511	KIAA0247	101	1	ENSG00000100647	SUSD6	30.3260341625216	1
26_Peak_5588_lociStitched	chr14	75688607	75777915	26	35649	58979.0032	7117.8476	102	FOS	TMED10	FOS	102	1	ENSG00000170345	FOS	208.009800545971	1
21_Peak_38659_lociStitched	chr1	33205942	33280591	21	26339	59226.5166	7756.0311	103	YARS,KIAA1522	KIAA1522,SYNC,S100PBP	KIAA1522	103	1	ENSG00000162522	KIAA1522	76.3843674173869	1
10_Peak_44967_lociStitched	chr11	121318177	121353714	10	31064	55185.4073	3795.3516	104	SORL1		SORL1	104	1	ENSG00000137642	SORL1	90.0970074768939	1
12_Peak_6712_lociStitched	chr1	43389412	43433604	12	35657	56234.32	4874.3776	105	FLJ32224,SLC2A1		FLJ32224	105	1	ENSG00000117394	SLC2A1	46.5211395741482	1
15_Peak_14099_lociStitched	chr17	48252507	48299877	15	33407	54878.145	3675.912	106	COL1A1,SGCA	HILS1,TMEM92,PPP1R9B,SAMD14	COL1A1	106	1	ENSG00000108821	COL1A1	645.472548239145	1
16_Peak_30340_lociStitched	chr20	52195069	52241558	16	28087	54801.2332	3919.0227	107	ZNF217		ZNF217	107	1	ENSG00000171940	ZNF217	50.7263595660835	1
16_Peak_19764_lociStitched	chr19	2462040	2550770	16	27709	59954.861	9165.809	108	GADD45B,GNG7	LMNB2,TIMM13	GADD45B	108	1	ENSG00000099860	GADD45B	22.3457907797221	1
13_Peak_16908_lociStitched	chr9	127019038	127072628	13	30832	56537.45	5750.207	109	NEK6	LOC100129034	NEK6	109	1	ENSG00000119408	NEK6	23.8387509082617	1
22_Peak_30690_lociStitched	chr2	235860600	235917547	22	32843	56571.1498	6087.6343	110	SH3BP4		SH3BP4	110	1	ENSG00000130147	SH3BP4	27.1795046787537	1
6_Peak_15443_lociStitched	chr6	7233911	7282531	6	19514	56394.338	6062.914	111	RREB1,SSR1		SSR1	111	1	ENSG00000124783	SSR1	110.99654006533	1
11_Peak_10071_lociStitched	chr2	206546330	206581088	11	24367	54733.4226	4511.5884	112	NRP2	NRP2	NRP2	112	1	ENSG00000118257	NRP2	46.7398057122317	1
3_Peak_25310_lociStitched	chr10	119294380	119314151	3	14372	52181.6003	1996.871	113	EMX2,EMX2OS	EMX2	EMX2OS	113	1	ENSG00000229847	EMX2OS	24.7107481739628	1
8_Peak_29238_lociStitched	chr11	311721	356435	8	14804	54139.7112	3979.546	114	IFITM3,IFITM1	ATHL1,B4GALNT4,IFITM5,PKP3,NLRP6,IFITM2	IFITM3	114	1	ENSG00000142089	IFITM3	289.373031399626	1
31_Peak_19671_lociStitched	chr14	103557593	103639370	31	38229	55673.7816	5797.9893	115	C14orf73,TNFAIP2	LOC100131366,CDC42BPB	TNFAIP2	115	1	ENSG00000185215	TNFAIP2	235.685495577713	1
15_Peak_36321_lociStitched	chr16	4416134	4462523	15	23189	55240.0212	5497.0965	116	VASN,CORO7	GLIS2,DNAJA3,PAM16	VASN	116	1	ENSG00000168140	VASN	16.3387910896965	1
6_Peak_33341_lociStitched	chr1	16151809	16180101	6	15274	53092.7672	3437.478	117	SPEN,FLJ37453	UQCRHL	SPEN	117	1	ENSG00000065526	SPEN	91.1029904807855	1
10_Peak_2944_lociStitched	chr8	142273726	142328877	10	20011	59403.1421	9954.7555	118		SLC45A4,GPR20,LOC731779	LOC731779	118	1	ENSG00000254197		0.430679122978816	1
7_Peak_23712_lociStitched	chr11	69448980	69485152	7	19843	52557.916	3743.802	119	ORAOV1,CCND1	FGF19	CCND1	119	1	ENSG00000110092	CCND1	96.3736611270875	1
23_Peak_6706_lociStitched	chr7	4721162	4793690	23	24812	56484.8064	7789.5072	120	FOXK1	KIAA0415	FOXK1	120	1	ENSG00000164916	FOXK1	54.2112448926585	1
23_Peak_47125_lociStitched	chr20	35436564	35495629	23	37605	54351.613	5711.5855	121	C20orf117	DSN1,C20orf118	C20orf117	121	1	ENSG00000149639	SOGA1	71.0550461952209	2
17_Peak_24075_lociStitched	chr1	205239446	205297776	17	29215	54818.534	6287.974	122	NUAK2,TMCC2	KLHDC8A	NUAK2	122	1	ENSG00000163545	NUAK2	22.16122419795	1
15_Peak_8265_lociStitched	chr10	116257913	116312092	15	35253	54059.8062	5542.5117	123	ABLIM1		ABLIM1	123	1	ENSG00000099204	ABLIM1	145.835710636147	1
13_Peak_91387_lociStitched	chr15	31616724	31658127	13	28315	51766.1709	3684.867	124	KLF13		KLF13	124	1	ENSG00000169926	KLF13	40.9962538071668	1
15_Peak_85856_lociStitched	chr1	21619626	21670147	15	32695	53673.5104	5638.1436	125	ECE1	ECE1	ECE1	125	1	ENSG00000117298	ECE1	89.539295974677	1
18_Peak_5316_lociStitched	chr11	67005835	67058502	18	26528	53630.8061	5688.036	126	KDM2A,ANKRD13D,ADRBK1	SSH3,LOC100130987	ADRBK1	126	1	ENSG00000173020	GRK2	54.55268891065	1
15_Peak_9739_lociStitched	chr4	991015	1042274	15	25625	52725.0074	4802.9683	127	FGFRL1,IDUA	DGKQ,SLC26A1	FGFRL1	127	1	ENSG00000127418	FGFRL1	16.4806544393227	1
18_Peak_13953_lociStitched	chr6	42055410	42111503	18	27149	55229.1678	7308.9179	128	C6orf132	TAF8,CCND3,GUCA1A	C6orf132	128	1	ENSG00000188112	C6orf132	41.5132609026166	1
12_Peak_45068_lociStitched	chr12	125388919	125446261	12	21951	53723.7198	5929.1628	129	UBC,DHX37	BRI3BP,SCARB1	UBC	129	1	ENSG00000150991	UBC	333.878972987389	1
18_Peak_28687_lociStitched	chr2	27975153	28033483	18	28397	55396.001	7897.882	130	RBKS,MRPL33	MRPL33	MRPL33	130	1	ENSG00000243147	MRPL33	24.3314990814391	1
22_Peak_18490_lociStitched	chr1	12484484	12571569	22	36788	59034.9215	11564.888	131	VPS13D,SNORA59A		SNORA59A	131	1	ENSG00000048707	VPS13D	68.4472025050338	2
2_Peak_1196_lociStitched	chr10	77154937	77170830	2	13949	48923.4219	1662.4078	132	NCRNA00245,ZNF503		NCRNA00245	132	1	ENSG00000165655	ZNF503	41.4255538298821	1
13_Peak_983_lociStitched	chr2	113996802	114049455	13	23012	52863.612	5612.8098	133	LOC654433,LOC440839,PAX8		PAX8	133	1	ENSG00000125618	PAX8	255.079159125164	1
22_Peak_19688_lociStitched	chr14	77377617	77432141	22	33473	51552.442	4656.3496	134			C14orf4	134	1	ENSG00000100603	SNW1	45.139751436725	3
12_Peak_47918_lociStitched	chr5	180210328	180253156	12	23299	50545.6056	4539.768	135	MGAT1	OR2Y1,LOC729678,MGAT1,ZFP62	MGAT1	135	1	ENSG00000131446	MGAT1	47.7404473399267	1
14_Peak_69816_lociStitched	chr15	93340693	93412573	14	25405	53219.952	7267.068	136		LOC100507217,MIR3175,ASB9P1,CHD2	ASB9P1	136	1	ENSG00000258527	ASB9P1	0.602950772170342	1
5_Peak_74428_lociStitched	chr9	73018236	73037374	5	14894	47816.293	2321.4394	137	KLF9		KLF9	137	1	ENSG00000119138	KLF9	9.97808107628937	1
17_Peak_2043_lociStitched	chr7	837428	881931	17	24683	49674.2486	4352.3934	138	SUN1	GET4	SUN1	138	1	ENSG00000164828	SUN1	140.885046487333	1
8_Peak_18849_lociStitched	chr22	50324449	50364454	8	24418	48018.0015	2744.343	139	PIM3	CRELD2,ALG12	PIM3	139	1	ENSG00000198355	PIM3	31.4552921734244	1
