REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X20160213_ClearCell_241_IP.nodup.bam	X20160213_ClearCell_241_INPUT.nodup.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper	ensembl_gene_id	hgnc_symbol	medianCPM	keyAnnotation
33_Peak_54260_lociStitched	chr20	45932097	46021775	33	51787	80001.7438	10537.165	12	ZMYND8,LOC100131496	ZMYND8	ZMYND8	12	1	ENSG00000101040	ZMYND8	90.8370429689026	1
83_Peak_23408_lociStitched	chr13	110834272	111074062	83	84014	93110.457	27479.934	13	COL4A2,COL4A1		COL4A1	13	1	ENSG00000187498	COL4A1	116.084669572148	1
33_Peak_67007_lociStitched	chr10	80806786	80920841	33	59554	78481.2455	13218.9745	14	ZMIZ1,LOC283050	LOC283050	ZMIZ1	14	1	ENSG00000108175	ZMIZ1	48.9931996842572	1
22_Peak_8570_lociStitched	chr20	48862888	48970477	22	60020	76614.1269	13211.9292	15	LOC284751		LOC284751	15	1	ENSG00000203999	LINC01270	1.24776169183899	1
15_Peak_57019_lociStitched	chr20	30248708	30311816	15	55280	70933.392	7945.2972	16	BCL2L1	COX4I2,TPX2	BCL2L1	16	1	ENSG00000171552	BCL2L1	52.8689294767238	1
12_Peak_57622_lociStitched	chr9	132199256	132265465	12	32463	69751.1815	6865.8733	17			C9orf106	17	1	ENSG00000204054	LINC00963	118.640444822809	2
40_Peak_134029_lociStitched	chr2	145169229	145284831	40	52403	75095.0592	12265.3722	18	ZEB2		ZEB2	18	1	ENSG00000169554	ZEB2	18.3377061007632	1
28_Peak_22245_lociStitched	chr10	95166368	95242555	28	56779	71501.4995	8974.8286	19	MYOF	CEP55,MYOF	MYOF	19	1	ENSG00000138119	MYOF	112.315172230775	1
41_Peak_17862_lociStitched	chr14	70046476	70195808	41	74036	79280.3588	17247.846	20	KIAA0247	SRSF5,C14orf162,LOC100289511	KIAA0247	20	1	ENSG00000100647	SUSD6	30.3260341625216	1
6_Peak_107794_lociStitched	chr19	12867589	12907618	6	19688	63802.2231	4399.1871	21	HOOK2,JUNB,BEST2	ASNA1,RNASEH2A,PRDX2,RTBDN,TNPO2,C19orf43,MAST1	HOOK2	21	1	ENSG00000095066	HOOK2	74.3572531134399	1
18_Peak_61548_lociStitched	chr11	118740246	118805235	18	34657	66087.3141	6713.3637	22	CXCR5,BCL9L	UPK2,FOXR1	CXCR5	22	1	ENSG00000186174	BCL9L	51.5099097810062	1
16_Peak_16126_lociStitched	chr14	69223061	69292491	16	33746	67006.893	8130.253	23	C14orf181,ZFP36L1		ZFP36L1	23	1	ENSG00000185650	ZFP36L1	374.570349120322	1
27_Peak_59747_lociStitched	chr14	75688546	75778543	27	41435	69594.6801	10835.6388	24	FOS	TMED10	FOS	24	1	ENSG00000170345	FOS	208.009800545971	1
17_Peak_15694_lociStitched	chr22	36716764	36787903	17	54293	66842.2044	8209.4406	25	MYH9		MYH9	25	1	ENSG00000100345	MYH9	465.858773555724	1
31_Peak_64987_lociStitched	chr5	131748976	131841907	31	43976	69828.3534	11960.2197	26	C5orf56,IRF1	SLC22A5,IL5,MIR3936	IRF1	26	1	ENSG00000125347	IRF1	37.9680887497992	1
38_Peak_81253_lociStitched	chr19	39120339	39227364	38	58708	68902.695	12040.3125	27	ACTN4,CAPN12,EIF3K	LGALS7,MAP4K1	ACTN4	27	1	ENSG00000130402	ACTN4	381.617471962806	1
25_Peak_76720_lociStitched	chr2	43128489	43211953	25	54504	66362.2264	9982.2944	28			HAAO	28	1	ENSG00000162882	HAAO	4.03168313484106	1
18_Peak_30926_lociStitched	chr1	234720485	234793980	18	29275	64241.9795	8209.3915	29	IRF2BP2,NCRNA00184		NCRNA00184	29	1	ENSG00000168264	IRF2BP2	93.3315632379749	1
22_Peak_15124_lociStitched	chr14	74184803	74270227	22	48436	65212.6816	9678.5392	30	C14orf43	PNMA1,PTGR2	C14orf43	30	1	ENSG00000259065		0.810187987918837	1
22_Peak_51194_lociStitched	chr17	38431793	38513059	22	42797	64265.1528	8874.2472	31	RARA,WIPF2,CDC6	RARA,GJD3	RARA	31	1	ENSG00000131759	RARA	12.4457086969	1
64_Peak_81172_lociStitched	chr14	22943381	23083401	64	74874	70878.124	15556.222	32	ABHD4,DAD1		DAD1	32	1	ENSG00000129562	DAD1	48.7801753166852	1
23_Peak_61452_lociStitched	chr10	104511179	104579826	23	48361	63175.8341	7908.1344	33	C10orf26	SFXN2,AS3MT,CYP17A1,ARL3,C10orf32	C10orf26	33	1	ENSG00000166272	WBP1L	35.5582505808823	2
14_Peak_5298_lociStitched	chr1	203234632	203298093	14	37097	62388.5091	7634.3583	34	BTG2,LOC730227	CHIT1,LOC730227,FMOD	LOC730227	34	1	ENSG00000159388	BTG2	65.1473953359288	1
45_Peak_91762_lociStitched	chr22	43283915	43427537	45	52840	69642.3078	15381.9162	35	PACSIN2	ARFGAP3	PACSIN2	35	1	ENSG00000100266	PACSIN2	43.0152641520523	1
28_Peak_7406_lociStitched	chr15	86070298	86215250	28	53532	69968.3304	15843.2536	36	AKAP13	AKAP13	AKAP13	36	1	ENSG00000170776	AKAP13	209.840437331453	1
23_Peak_5205_lociStitched	chr18	74761638	74845959	23	48397	63890.0217	10051.0632	37	MBP	MBP	MBP	37	1	ENSG00000197971	MBP	25.2763529362771	1
44_Peak_17682_lociStitched	chr20	49242244	49408140	44	66998	72363.8352	18530.5832	38	FAM65C,PARD6B	BCAS4,MIR645	PARD6B	38	1	ENSG00000124171	PARD6B	40.4866575537177	1
1_Peak_486_lociStitched	chr19	39887625	39905579	1	17955	55639.446	2235.273	39	ZFP36,PLEKHG2,MED29	SUPT5H,RPS16,PAF1	ZFP36	39	1	ENSG00000128016	ZFP36	71.1403336376348	1
9_Peak_68581_lociStitched	chr11	62303394	62345885	9	33902	57983.2186	4644.2663	40	AHNAK,EEF1G,TUT1	ROM1,MTA2,B3GAT3,EML3	AHNAK	40	1	ENSG00000254772	EEF1G	849.543648697324	1
13_Peak_140_lociStitched	chr2	201978895	202023505	13	32186	58421.256	5210.448	41	CFLAR	CASP10,FAM126B,NDUFB3	CFLAR	41	1	ENSG00000003402	CFLAR	169.444852423572	1
59_Peak_91106_lociStitched	chr14	68909995	69106564	59	70056	75443.1822	22349.8953	42	RAD51L1		ZFP36L1	42	1	ENSG00000185650	ZFP36L1	374.570349120322	1
53_Peak_54056_lociStitched	chr10	120931590	121131612	53	59431	74828.2302	22522.4772	43	GRK5,PRDX3	SFXN4	GRK5	43	1	ENSG00000198873	GRK5	3.58967550915288	1
9_Peak_130310_lociStitched	chr19	6048995	6111498	9	39536	58965.3302	6781.5755	44	RFX2	RFX2,ACSBG2	RFX2	44	1	ENSG00000087903	RFX2	11.9253224383588	1
14_Peak_9755_lociStitched	chr12	6431556	6482838	14	32161	57312.7632	6184.6092	45	PLEKHG6,SCNN1A,TNFRSF1A	LTBR	TNFRSF1A	45	1	ENSG00000067182	TNFRSF1A	55.2386915319191	1
9_Peak_92298_lociStitched	chr8	145002306	145045994	9	27119	56016.7536	5098.3896	46	PLEC,MIR661	GRINA,SPATC1,PARP10	PLEC	46	1	ENSG00000178209	PLEC	392.892195636502	1
1_Peak_597_lociStitched	chr22	50962907	50984112	1	21206	52872.547	2652.7455	47	ODF3B,SCO2,TYMP,NCAPH2	C22orf41,CPT1B,LMF2,SBF1,LOC100144603,ADM2,MIOX,KLHDC7B,CHKB,TYMP	ODF3B	47	1	ENSG00000025708	TYMP	28.4131942843118	1
31_Peak_59380_lociStitched	chr10	63729952	63845475	31	53565	63318.1563	13250.4881	48	ARID5B		ARID5B	48	1	ENSG00000150347	ARID5B	105.688656779001	1
Peak_230	chr11	65183544	65196972	1	13429	51791.796	1843.6644	49	NEAT1	FRMD8,SLC25A45,MIR612	NEAT1	49	1	ENSG00000245532	NEAT1	2115.87873530667	1
34_Peak_80620_lociStitched	chr5	77793872	77907432	34	52344	62208.168	12309.904	50	LHFPL2		LHFPL2	50	1	ENSG00000145685	LHFPL2	18.050917342951	1
46_Peak_20726_lociStitched	chr15	67331683	67446781	46	50936	63418.998	13662.1326	51	SMAD3	SMAD3	SMAD3	51	1	ENSG00000166949	SMAD3	53.3746952468293	1
24_Peak_53985_lociStitched	chr7	130566300	130655693	24	52852	59938.0065	10244.4378	52	FLJ43663,LOC646329	MIR29A,MIR29B1	LOC646329	52	1	ENSG00000273319		36.5934907876675	1
31_Peak_37439_lociStitched	chr10	82203152	82294780	31	53070	59778.1072	10143.2196	53	TSPAN14	C10orf58,SH2D4B	TSPAN14	53	1	ENSG00000108219	TSPAN14	118.962602892749	1
27_Peak_58830_lociStitched	chr21	46710152	46788260	27	47202	58042.0548	8529.3936	54	LOC642852	COL18A1,POFUT2	LOC642852	54	1	ENSG00000223768	LINC00205	3.55806237776003	1
26_Peak_120644_lociStitched	chr10	104352708	104438984	26	41764	58115.5136	9326.4356	55	SUFU,ARL3,TRIM8	SFXN2	TRIM8	55	1	ENSG00000171206	TRIM8	51.1955553646589	1
13_Peak_23191_lociStitched	chr1	12191614	12256811	13	40162	55802.1123	7073.8745	56	TNFRSF1B,TNFRSF8	VPS13D	TNFRSF1B	56	1	ENSG00000028137	TNFRSF1B	18.4905899744948	1
11_Peak_78303_lociStitched	chr10	73471576	73536818	11	35060	56662.677	7966.0482	57	CDH23,C10orf54,C10orf105	CDH23	C10orf105	57	1	ENSG00000107738	VSIR	12.2107982531112	1
16_Peak_2238_lociStitched	chr12	120656970	120731604	16	39370	56848.7178	8269.4472	58	PXN	GCN1L1,SIRT4,RPLP0,PLA2G1B	PXN	58	1	ENSG00000089159	PXN	75.4276644226191	1
24_Peak_49837_lociStitched	chr8	26428611	26519439	24	37562	58874.7096	10781.2836	59	DPYSL2		DPYSL2	59	1	ENSG00000092964	DPYSL2	46.8358464089007	1
10_Peak_45151_lociStitched	chr19	13243870	13302859	10	22427	53449.9329	5769.1242	60	STX10,NACC1,IER2	TRMT1,LYL1	IER2	60	1	ENSG00000160888	IER2	73.6196528020863	1
26_Peak_82687_lociStitched	chr20	23061801	23146002	26	47463	57096.6981	9430.512	61	CD93,LOC200261	SSTR4,THBD	LOC200261	61	1	ENSG00000125810	CD93	11.9560258481494	2
Peak_355	chr1	150530756	150553323	1	22568	50292.8162	3014.9512	62	ADAMTSL4,MCL1	MIR4257,MCL1,ENSA	MCL1	62	1	ENSG00000143384	MCL1	147.30744040547	1
24_Peak_83338_lociStitched	chr8	134494429	134588559	24	41205	58586.512	11832.141	63	ST3GAL1		ST3GAL1	63	1	ENSG00000008513	ST3GAL1	70.7286287960979	1
21_Peak_82184_lociStitched	chr15	31611835	31695469	21	34064	56377.6794	10136.4408	64	KLF13		KLF13	64	1	ENSG00000169926	KLF13	40.9962538071668	1
7_Peak_38358_lociStitched	chr9	73012405	73037814	7	20675	49133.3833	2896.626	65	KLF9		KLF9	65	1	ENSG00000119138	KLF9	9.97808107628937	1
21_Peak_48093_lociStitched	chr19	2030912	2096720	21	36462	53093.8944	6962.4864	66	MKNK2,MOBKL2A	BTBD2,IZUMO4	MKNK2	66	1	ENSG00000099875	MKNK2	64.5326538904264	1
35_Peak_12284_lociStitched	chr6	36974400	37114313	35	47212	60890.1376	14788.8041	67	FGD2	PIM1,MTCH1	FGD2	67	1	ENSG00000146192	FGD2	6.07813680546278	1
23_Peak_27550_lociStitched	chr1	226821630	226927635	23	39447	58557.162	12805.404	68	ITPKB		ITPKB	68	1	ENSG00000143772	ITPKB	24.6647980697411	1
14_Peak_15587_lociStitched	chr20	52195114	52241660	14	30385	50288.2984	4775.6196	69	ZNF217		ZNF217	69	1	ENSG00000171940	ZNF217	50.7263595660835	1
15_Peak_66610_lociStitched	chr10	3782352	3829736	15	24415	50729.3104	5387.5608	70	KLF6	KLF6	KLF6	70	1	ENSG00000067082	KLF6	220.962320472183	1
7_Peak_15058_lociStitched	chr14	77488343	77526472	7	25194	49651.5838	4373.3963	71	C14orf4	KIAA1737	C14orf4	71	1	ENSG00000119669	IRF2BPL	27.3042961944847	1
30_Peak_28943_lociStitched	chr11	128317923	128403484	30	57951	55486.3085	10395.6615	72	ETS1		ETS1	72	1	ENSG00000134954	ETS1	17.9591670655342	1
3_Peak_175_lociStitched	chr17	2286015	2311213	3	18799	48123.1404	3207.7054	73	MNT,LOC284009	TSR1,SGSM2	MNT	73	1	ENSG00000070444	MNT	29.0657033828155	1
7_Peak_93_lociStitched	chr2	28612061	28647822	7	21393	48320.2632	4344.9615	74	FOSL2		FOSL2	74	1	ENSG00000075426	FOSL2	164.758793831088	1
19_Peak_83932_lociStitched	chr5	151038642	151136262	19	44045	54559.818	11138.442	75	ATOX1,SPARC	G3BP1	SPARC	75	1	ENSG00000113140	SPARC	200.656989821512	1
38_Peak_54495_lociStitched	chr1	12457839	12618109	38	58053	60421.79	17068.755	76	VPS13D,SNORA59A		SNORA59A	76	1	ENSG00000048707	VPS13D	68.4472025050338	2
9_Peak_30653_lociStitched	chr18	3579359	3626214	9	23529	47829.584	5491.406	77	FLJ35776,DLGAP1		FLJ35776	77	1	ENSG00000177337	DLGAP1-AS1	11.4284340034271	1
18_Peak_90082_lociStitched	chr2	238570773	238646053	18	34417	50219.288	8318.44	78	LRRFIP1		LRRFIP1	78	1	ENSG00000124831	LRRFIP1	191.429417367712	1
23_Peak_83307_lociStitched	chr8	103740133	103826646	23	30644	51812.6357	10398.8626	79		AZIN1	AZIN1	79	1	ENSG00000155096	AZIN1	66.8908767842382	1
11_Peak_131530_lociStitched	chr12	48193080	48229460	11	27250	45616.882	4285.564	80	HDAC7	RAPGEF3,SLC48A1,HDAC7	HDAC7	80	1	ENSG00000061273	HDAC7	84.4115852748388	1
29_Peak_2998_lociStitched	chr4	40543593	40636177	29	44252	51171.1768	10082.3976	81	RBM47	RBM47	RBM47	81	1	ENSG00000163694	RBM47	100.202992139688	1
26_Peak_14233_lociStitched	chr14	35802390	35875408	26	36341	49579.222	8681.8402	82	NFKBIA	PSMA6	NFKBIA	82	1	ENSG00000100906	NFKBIA	91.0282754423195	1
42_Peak_92785_lociStitched	chr2	161172214	161291249	42	47617	53434.8115	12629.6135	83	RBMS1		RBMS1	83	1	ENSG00000153250	RBMS1	92.383591828233	1
26_Peak_20112_lociStitched	chr1	22220839	22300857	26	47111	48250.854	7945.7874	84	HSPG2	CELA3A,CELA3B	HSPG2	84	1	ENSG00000142798	HSPG2	182.954321741821	1
40_Peak_92125_lociStitched	chr6	16639548	16770908	40	39522	54251.68	13963.568	85	ATXN1		ATXN1	85	1	ENSG00000124788	ATXN1	53.3364451827169	1
46_Peak_41529_lociStitched	chr4	38051311	38192980	46	52403	57220.1091	16986.1131	86	TBC1D1		PTTG2	86	1	ENSG00000065882	TBC1D1	28.3730158622519	2
19_Peak_17175_lociStitched	chr19	45220232	45274339	19	28813	45687.9508	5627.128	87	BCL3	CEACAM16,CBLC,CEACAM19,BCAM	BCL3	87	1	ENSG00000069399	BCL3	15.6007350409478	1
33_Peak_20158_lociStitched	chr7	137605050	137693714	33	53498	50050.828	9992.4328	88	CREB3L2		CREB3L2	88	1	ENSG00000182158	CREB3L2	48.3329171332136	1
14_Peak_24762_lociStitched	chr3	50264302	50308934	14	34823	44739.1168	4824.7192	89	GNAI2,SEMA3B	GNAT1,HYAL3,SLC38A3,HYAL1,C3orf45,NAT6,IFRD2	GNAI2	89	1	ENSG00000114353	GNAI2	127.917817203965	1
11_Peak_2514_lociStitched	chr7	5434710	5470338	11	18482	43975.6404	4179.1644	90	TNRC18		TNRC18	90	1	ENSG00000182095	TNRC18	116.868664254118	1
5_Peak_836_lociStitched	chr5	180228285	180260187	5	24489	43252.7316	3585.7848	91	LOC729678,MGAT1	MGAT1,ZFP62	MGAT1	91	1	ENSG00000131446	MGAT1	47.7404473399267	1
18_Peak_27269_lociStitched	chr3	129294944	129361105	18	37618	47192.6413	7674.676	92	PLXND1	H1FOO,RHO,TMCC1	PLXND1	92	1	ENSG00000004399	PLXND1	40.5793802389377	1
28_Peak_36317_lociStitched	chr9	134453741	134558326	28	42578	51529.0295	12016.8165	93	RAPGEF1	UCK1	RAPGEF1	93	1	ENSG00000107263	RAPGEF1	30.2108168438422	1
10_Peak_3317_lociStitched	chr10	17241183	17281445	10	20120	43929.8682	4726.7588	94	VIM,TRDMT1		VIM	94	1	ENSG00000026025	VIM	270.017652195839	1
24_Peak_126456_lociStitched	chr10	126360649	126434341	24	45928	48187.1988	9012.5316	95	FAM53B	METTL10	FAM53B	95	1	ENSG00000189319	FAM53B	26.527093593062	1
Peak_229	chr17	7736181	7749201	1	13021	40579.434	1594.95	96	DNAH2,KDM6B	LSMD1,CYB5D1,CHD3,TMEM88	KDM6B	96	1	ENSG00000132510	KDM6B	38.3597871767207	1
14_Peak_103570_lociStitched	chr1	156422072	156479338	14	28694	45366.1252	6465.3314	97	MEF2D	C1orf61,MIR9-1	MEF2D	97	1	ENSG00000116604	MEF2D	33.8224326184765	1
31_Peak_32757_lociStitched	chr5	149820999	149903779	31	37233	48269.018	9453.476	98	NDST1,RPS14	CD74,RPS14	NDST1	98	1	ENSG00000164587	RPS14	625.179152359823	1
23_Peak_7175_lociStitched	chr10	80980405	81091594	23	36361	51146.94	12497.6436	99	ZMIZ1	PPIF	PPIF	99	1	ENSG00000108179	PPIF	20.6817742192233	1
24_Peak_41195_lociStitched	chr1	21577575	21669667	24	35201	48689.0404	10203.7936	100	ECE1		ECE1	100	1	ENSG00000117298	ECE1	89.539295974677	1
26_Peak_8771_lociStitched	chr3	15297210	15374776	26	42496	47602.2542	9137.2748	101	SH3BP5	CAPN7,COL6A4P1	SH3BP5	101	1	ENSG00000131370	SH3BP5	32.9797994305909	1
18_Peak_12564_lociStitched	chr6	108878325	108951587	18	31074	46492.0652	8168.713	102	FOXO3		FOXO3	102	1	ENSG00000118689	FOXO3	76.1282588929363	1
52_Peak_91830_lociStitched	chr3	171760613	171900819	52	47197	54736.4224	16572.3492	103	FNDC3B		FNDC3B	103	1	ENSG00000075420	FNDC3B	116.926373202529	1
31_Peak_23650_lociStitched	chr19	18568059	18634649	31	37596	45634.127	7478.057	104	ELL	UBA52,ISYNA1,C19orf50,SSBP4,FKBP8	ELL	104	1	ENSG00000105656	ELL	15.2713314033453	1
19_Peak_33872_lociStitched	chr15	65127593	65197962	19	32743	45746.8869	7782.8114	105	PLEKHO2	ANKDD1A,PIF1	PLEKHO2	105	1	ENSG00000241839	PLEKHO2	14.8906313962531	1
18_Peak_25517_lociStitched	chr9	33106225	33173507	18	30577	45617.196	7858.5376	106	B4GALT1	SMU1	B4GALT1	106	1	ENSG00000086062	B4GALT1	114.550872613194	1
14_Peak_22924_lociStitched	chr10	97006463	97073901	14	37687	45419.493	7660.9568	107	SORBS1,PDLIM1		PDLIM1	107	1	ENSG00000107438	PDLIM1	48.2735067193689	1
28_Peak_67706_lociStitched	chrX	12957609	13049258	28	39642	47483.3469	9797.2781	108	TMSL3,TMSB4X,LOC349408	TLR8,FAM9C	TMSB4X	108	1	ENSG00000205542	TMSB4X	677.934169551908	1
20_Peak_1649_lociStitched	chr17	17584174	17657214	20	29829	45898.336	8217	109	RAI1	SMCR5	RAI1	109	1	ENSG00000108557	RAI1	35.3256518459643	1
21_Peak_72206_lociStitched	chr12	8084748	8149006	21	35855	44357.2974	6714.961	110	SLC2A3	FOXJ2	SLC2A3	110	1	ENSG00000059804	SLC2A3	18.406718863895	1
24_Peak_18805_lociStitched	chr1	151907320	151974544	24	32295	45174.528	7656.8136	111	S100A10	THEM4,S100A11	S100A10	111	1	ENSG00000197747	S100A10	91.6810754086053	1
11_Peak_37563_lociStitched	chr8	11706564	11759691	11	35216	43516.3257	6067.1034	112	CTSB	FDFT1	CTSB	112	1	ENSG00000164733	CTSB	509.608778865864	1
26_Peak_22255_lociStitched	chr12	670715	756597	26	36063	47123.4534	9747.607	113	B4GALNT3,NINJ2		NINJ2	113	1	ENSG00000171840	NINJ2	1.41804027501306	1
14_Peak_56329_lociStitched	chr2	43297807	43368549	14	34333	45805.445	8517.3368	114			ZFP36L2	114	1	ENSG00000152518	ZFP36L2	193.662045632807	1
9_Peak_35115_lociStitched	chr12	109213969	109255723	9	28649	42021.2256	4751.6052	115	SSH1	DAO	SSH1	115	1	ENSG00000084112	SSH1	30.8070829657601	1
26_Peak_51930_lociStitched	chr2	46484017	46590774	26	40516	49663.3564	12746.7858	116	EPAS1		EPAS1	116	1	ENSG00000116016	EPAS1	53.7080032574175	1
8_Peak_46030_lociStitched	chr10	43889514	43919956	8	20905	40381.313	3482.5648	117	HNRNPF	FXYD4,ZNF487P	HNRNPF	117	1	ENSG00000169813	HNRNPF	81.5708691557538	1
21_Peak_12188_lociStitched	chr8	134017391	134106345	21	41854	47688.2394	10790.1202	118	SLA,TG		SLA	118	1	ENSG00000155926	SLA	5.96251186266072	1
32_Peak_26008_lociStitched	chr12	125137613	125260365	32	45040	50831.6032	14055.104	119			NCOR2	119	1	ENSG00000196498	NCOR2	120.453952827208	1
19_Peak_21115_lociStitched	chr8	22397196	22456584	19	26584	44267.8152	7554.1536	120	PDLIM2,PPP3CC,SORBS3	KIAA1967,C8orf58,FLJ14107	SORBS3	120	1	ENSG00000120896	SORBS3	31.8855112940978	1
10_Peak_68061_lociStitched	chr22	50319018	50364829	10	23430	41752.1454	5304.9138	121	CRELD2,PIM3	CRELD2,ALG12	PIM3	121	1	ENSG00000198355	PIM3	31.4552921734244	1
13_Peak_49819_lociStitched	chr17	1458551	1546328	13	29453	45942.4818	9523.8045	122	PITPNA,SLC43A2,SCARF1	RILP,PRPF8,SCARF1,LOC100306951,INPP5K	SLC43A2	122	1	ENSG00000167703	SLC43A2	16.4237618799714	1
32_Peak_44992_lociStitched	chr4	57907720	57986253	32	43535	44771.6633	8426.5909	123	LOC255130,IGFBP7		LOC255130	123	1	ENSG00000163453	IGFBP7	110.141718063282	2
17_Peak_16398_lociStitched	chr18	46449112	46503441	17	31159	42637.3992	6302.164	124	SMAD7		SMAD7	124	1	ENSG00000101665	SMAD7	5.30333445315953	1
2_Peak_277_lociStitched	chr3	187453201	187469285	2	14556	37913.2048	1651.8268	125	BCL6	RTP2,LOC100131635,BCL6	BCL6	125	1	ENSG00000113916	BCL6	31.4646162650405	1
8_Peak_121508_lociStitched	chr12	125384250	125425969	8	19699	40913.8233	4722.5908	126	UBC	SCARB1,DHX37	UBC	126	1	ENSG00000150991	UBC	333.878972987389	1
36_Peak_77274_lociStitched	chr2	238026104	238174110	36	46306	51150.8736	15141.0138	127		COPS8	COPS8	127	1	ENSG00000198612	COPS8	16.1524587948131	1
24_Peak_93580_lociStitched	chr1	203592055	203664767	24	36856	44427.032	8507.304	128	ATP2B4	SNORA77,ATP2B4	ATP2B4	128	1	ENSG00000058668	ATP2B4	89.4779157299231	1
4_Peak_98717_lociStitched	chr18	3440098	3467132	4	12198	38934.3668	3117.0202	129	TGIF1		TGIF1	129	1	ENSG00000177426	TGIF1	35.7594897018116	1
36_Peak_84837_lociStitched	chr11	47995118	48104914	36	42117	48529.832	12780.2544	130	PTPRJ		PTPRJ	130	1	ENSG00000149177	PTPRJ	30.3068009101809	1
7_Peak_654_lociStitched	chr12	12857085	12903039	7	18460	41023.1358	5358.2364	131	APOLD1,CDKN1B	APOLD1,MIR613,GPR19	APOLD1	131	1	ENSG00000178878	APOLD1	38.8976144803721	1
20_Peak_58605_lociStitched	chr12	96586992	96653234	20	31851	43673.3506	8021.9062	132	ELK3		ELK3	132	1	ENSG00000111145	ELK3	16.6954514137023	1
24_Peak_24062_lociStitched	chr3	141079586	141162053	24	31861	45752.6916	10209.4146	133	ZBTB38	RASA2	ZBTB38	133	1	ENSG00000177311	ZBTB38	66.2808329749733	1
7_Peak_81911_lociStitched	chr11	67025580	67057934	7	27112	39248.6374	3756.2994	134	ANKRD13D,ADRBK1	SSH3,LOC100130987	ADRBK1	134	1	ENSG00000173020	GRK2	54.55268891065	1
12_Peak_7708_lociStitched	chr2	47259278	47316557	12	33328	42094.3371	6753.1941	135	TTC7A,C2orf61		C2orf61	135	1	ENSG00000225187		0.405093993959418	1
14_Peak_17294_lociStitched	chr10	30706947	30757071	14	28199	41242.0272	6110.1156	136	MAP3K8	LOC729668	MAP3K8	136	1	ENSG00000107968	MAP3K8	12.6111522941968	1
19_Peak_89732_lociStitched	chr21	45557067	45628579	19	33197	42642.6056	7687.54	137	C21orf33	ICOSLG,PWP2	C21orf33	137	1	ENSG00000160221	GATD3A	0.258407473787289	2
23_Peak_2999_lociStitched	chr7	4704723	4806536	23	35744	46050.0199	11250.3365	138	FOXK1	KIAA0415	FOXK1	138	1	ENSG00000164916	FOXK1	54.2112448926585	1
18_Peak_62426_lociStitched	chr15	90542231	90619622	18	28413	42952.005	8296.3152	139	ZNF710	IDH2	ZNF710	139	1	ENSG00000140548	ZNF710	19.5815441247702	1
23_Peak_26753_lociStitched	chr15	78310913	78381132	23	39091	42531.6483	7948.7908	140	TBC1D2B	CIB2,LOC91450,SH2D7	TBC1D2B	140	1	ENSG00000167202	TBC1D2B	23.899068527602	1
