REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	ClearCell_3588_IP.nodup.bam	ClearCell_3588_Input.nodup.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper	ensembl_gene_id	hgnc_symbol	medianCPM	keyAnnotation
94_Peak_39863_lociStitched	chr13	113312084	113572985	94	64291	96115.9284	26142.2802	22	C13orf35,ATP11A	MCF2L,LOC100289410,ATP11A	ATP11A	22	1	ENSG00000068650	ATP11A	42.2691508395389	1
61_Peak_33606_lociStitched	chr17	932422	1112035	61	60488	87130.2663	20511.8046	23	ABR	NXN,TIMM22,MIR3183	ABR	23	1	ENSG00000159842	ABR	32.9584852865261	1
25_Peak_161381_lociStitched	chr17	73061206	73124967	25	36633	74861.7901	8448.3325	24	ARMC7,KCTD2,SLC16A5	ATP5H,NT5C,HN1	SLC16A5	24	1	ENSG00000170190	SLC16A5	20.9385163487776	1
19_Peak_7153_lociStitched	chr2	232504716	232582902	19	30609	72439.329	8764.6506	25	MIR1244-1,PTMA	C2orf57,PTMA,MIR1244-2	PTMA	25	1	ENSG00000187514	PTMA	922.382099240683	1
73_Peak_43076_lociStitched	chr22	43544366	43708980	73	55583	83064.2244	19918.294	26	SCUBE1,TTLL12,TSPO	BIK,TSPO,MCAT	TTLL12	26	1	ENSG00000100304	TTLL12	31.5954411703464	1
58_Peak_17866_lociStitched	chr7	2632933	2776489	58	57270	80793.3168	18633.5688	27	GNA12,IQCE,TTYH3,AMZ1	C7orf27,IQCE	AMZ1	27	1	ENSG00000136295	TTYH3	45.1711409999719	1
81_Peak_83238_lociStitched	chr15	67305971	67489235	81	55651	79499.9232	17721.6288	28	SMAD3		SMAD3	28	1	ENSG00000166949	SMAD3	53.3746952468293	1
57_Peak_105458_lociStitched	chr12	125298857	125465013	57	41544	84839.2536	23860.0016	29	UBC,SCARB1,DHX37	BRI3BP	UBC	29	1	ENSG00000150991	UBC	333.878972987389	1
47_Peak_23332_lociStitched	chr10	82170526	82290316	47	44894	77252.571	16483.104	30	C10orf58,TSPAN14	SH2D4B	TSPAN14	30	1	ENSG00000108219	TSPAN14	118.962602892749	1
57_Peak_18270_lociStitched	chr12	638310	775963	57	44018	80595.8315	20606.6541	31	B4GALNT3,NINJ2		NINJ2	31	1	ENSG00000177406		5.33421326016165	1
65_Peak_38232_lociStitched	chr3	13017532	13215890	65	47515	91522.3812	31757.1158	32	IQSEC1	IQSEC1	IQSEC1	32	1	ENSG00000144711	IQSEC1	38.3542743316867	1
Peak_3959	chr17	79052429	79082060	1	29632	63472.5651	3843.1407	33	BAIAP2	MIR1250,MIR657,FLJ90757,MIR3065,MIR338	MIR657	33	1	ENSG00000175866	BAIAP2	28.0539533631079	2
28_Peak_164647_lociStitched	chr17	2248954	2326242	28	34492	68036.6264	8826.2896	34	SGSM2,METT10D,LOC284009,MNT	SNORD91A,TSR1,SNORD91B,SMG6,SRR	MNT	34	1	ENSG00000070444	MNT	29.0657033828155	1
54_Peak_262608_lociStitched	chr8	141473958	141656977	54	39918	84298.5514	25183.4144	35	CHRAC1,EIF2C2	TRAPPC9	CHRAC1	35	1	ENSG00000123908	AGO2	82.3241016613085	1
38_Peak_147215_lociStitched	chr19	13242129	13350005	38	42683	69741.834	10970.9892	36	CACNA1A,STX10,NACC1,IER2	TRMT1,LYL1	IER2	36	1	ENSG00000160888	IER2	73.6196528020863	1
41_Peak_914_lociStitched	chr17	48960920	49034386	41	41588	69124.1594	10512.9846	37		WFIKKN2,TOB1	TOB1	37	1	ENSG00000141232	TOB1	56.6212575687088	1
100_Peak_28492_lociStitched	chr9	136628341	136870166	100	70005	77311.4525	19539.46	38	VAV2	NCRNA00094,SARDH,VAV2	VAV2	38	1	ENSG00000160293	VAV2	35.6005155748534	1
45_Peak_683_lociStitched	chr10	74004943	74109247	45	45467	71145.7584	13496.9376	39	DDIT4,DNAJB12	ANAPC16,ASCC1,DNAJB12	DDIT4	39	1	ENSG00000168209	DDIT4	40.8140812876661	1
70_Peak_120288_lociStitched	chr12	3180951	3438752	70	47411	92576.3391	35396.0773	40	TSPAN9		TSPAN9	40	1	ENSG00000011105	TSPAN9	11.5568971658326	1
81_Peak_156627_lociStitched	chr16	84945511	85142477	81	51865	73822.8568	17214.8284	41	KIAA0513,FAM92B,ZDHHC7	LOC400548	ZDHHC7	41	1	ENSG00000153786	ZDHHC7	35.395397452777	1
51_Peak_112147_lociStitched	chr2	43353898	43472070	51	49192	66861.7176	10257.3296	42	THADA,LOC100129726,ZFP36L2		ZFP36L2	42	1	ENSG00000152518	ZFP36L2	193.662045632807	1
90_Peak_107106_lociStitched	chr1	9299135	9549030	90	66070	77917.261	21391.012	43	H6PD,SPSB1		SPSB1	43	1	ENSG00000171621	SPSB1	10.578849126461	1
52_Peak_203405_lociStitched	chr22	39565874	39707590	52	57660	70291.136	14780.9788	44	PDGFB	SNORD83A,SYNGR1,RNU86,RPL3,CBX7,SNORD83B,SNORD43	PDGFB	44	1	ENSG00000100311	PDGFB	7.905819640862	1
34_Peak_55834_lociStitched	chr5	139013444	139091862	34	42165	64953.6294	9715.9902	45	CXXC5		CXXC5	45	1	ENSG00000171604	CXXC5	44.7229510821834	1
56_Peak_79649_lociStitched	chr8	134194983	134316052	56	44157	74530.0764	19443.6814	46	NDRG1,WISP1		WISP1	46	1	ENSG00000104419	NDRG1	215.319684111787	1
83_Peak_173908_lociStitched	chr9	124291718	124549066	83	60787	77667.6264	22620.8892	47	DAB2IP	GGTA1	DAB2IP	47	1	ENSG00000136848	DAB2IP	35.2881531017714	1
101_Peak_124274_lociStitched	chr1	10684294	10932367	101	67695	74719.5876	19821.0327	48	CASZ1,PEX14		CASZ1	48	1	ENSG00000130940	CASZ1	22.4240263364303	1
67_Peak_99537_lociStitched	chr12	125136367	125282828	67	55399	76306.181	22262.072	49	SCARB1		SCARB1	49	1	ENSG00000073060	SCARB1	24.3638335273864	1
31_Peak_43350_lociStitched	chr20	48737177	48817433	31	27694	65424.6912	11669.2224	50	TMEM189,TMEM189-UBE2V1,CEBPB	UBE2V1	TMEM189	50	1	ENSG00000240849	TMEM189	33.2293854101059	1
41_Peak_11332_lociStitched	chr17	55929436	56047876	41	35535	68920.236	15326.136	51	CUEDC1	MRPS23,VEZF1,SRSF1	CUEDC1	51	1	ENSG00000180891	CUEDC1	34.1576814027895	1
43_Peak_27865_lociStitched	chr12	6223251	6351044	43	36793	71691.873	18491.6471	52	VWF,CD9		CD9	52	1	ENSG00000010278	CD9	57.4919348287287	1
70_Peak_19644_lociStitched	chr17	80968513	81152072	70	59118	73295.1087	20319.9813	53	B3GNTL1,METRNL	FLJ43681	METRNL	53	1	ENSG00000176845	METRNL	10.7958511598243	1
17_Peak_94627_lociStitched	chr1	156046150	156117096	17	25946	61822.3444	9144.9394	54	MEX3A,LMNA	SLC25A44,ROBLD3,RAB25,SEMA4A,UBQLN4	LMNA	54	1	ENSG00000160789	LMNA	177.908779312497	1
Peak_851	chr7	1568878	1591092	1	22215	55352.8452	3072.1962	55	TMEM184A,MAFK	INTS1,PSMG3,KIAA1908	MAFK	55	1	ENSG00000198517	MAFK	40.1901290810192	1
97_Peak_61250_lociStitched	chr10	126206608	126430250	97	65829	79012.7186	26769.9474	56	FAM53B,LHPP		FAM53B	56	1	ENSG00000189319	FAM53B	26.527093593062	1
20_Peak_33476_lociStitched	chr14	69222699	69291634	20	27983	59421.97	7534.5955	57	C14orf181,ZFP36L1		ZFP36L1	57	1	ENSG00000185650	ZFP36L1	374.570349120322	1
100_Peak_47172_lociStitched	chr19	4955261	5157497	100	66468	70903.9416	19414.656	58	UHRF1,KDM4B		KDM4B	58	1	ENSG00000127663	KDM4B	41.9373839082283	1
71_Peak_37975_lociStitched	chr17	16884178	17086573	71	48363	76161.2385	25258.896	59	MPRIP	TNFRSF13B,PLD6	MPRIP	59	1	ENSG00000133030	MPRIP	96.4782298584931	1
Peak_1	chr8	41653655	41657804	1	4150	53405.928	2756.5956	60	ANK1		ANK1	60	1	ENSG00000029534	ANK1	3.570561810048	1
69_Peak_10985_lociStitched	chr7	101464539	101608987	69	47791	71891.7696	21262.7456	61	CUX1		CUX1	61	1	ENSG00000257923	CUX1	86.8088973517853	1
27_Peak_58932_lociStitched	chr17	39878506	39958557	27	31722	60926.8161	10550.7218	62	HAP1,JUP,LEPREL4	FKBP10,HAP1,GAST,EIF1,NT5C3L,JUP,KLHL10	JUP	62	1	ENSG00000173801	JUP	148.354601895436	1
44_Peak_21799_lociStitched	chr2	28548151	28678286	44	41003	62100.422	11738.177	63	BRE,FOSL2	PLB1	FOSL2	63	1	ENSG00000075426	FOSL2	164.758793831088	1
48_Peak_36663_lociStitched	chr17	29725685	29926663	48	32458	74683.4248	24398.7292	64	RAB11FIP4,MIR193A,MIR365-2		MIR193A	64	1	ENSG00000266459	NA	0.37474140713695	1
16_Peak_93469_lociStitched	chr3	5018501	5069601	16	19989	58831.43	8641.01	65	BHLHE40		BHLHE40	65	1	ENSG00000134107	BHLHE40	70.0664591312744	1
79_Peak_17863_lociStitched	chr6	7100304	7282738	79	53070	66971.5214	17021.0922	66	RREB1,SSR1	RREB1	RREB1	66	1	ENSG00000124782	RREB1	80.6283453785879	1
23_Peak_139950_lociStitched	chr12	6424051	6482045	23	26740	58643.5328	8768.6928	67	PLEKHG6,SCNN1A,TNFRSF1A	LTBR	TNFRSF1A	67	1	ENSG00000067182	TNFRSF1A	55.2386915319191	1
32_Peak_41695_lociStitched	chr14	74177849	74277570	32	37450	61268.5824	11487.8592	68	C14orf43,PNMA1	PTGR2	C14orf43	68	1	ENSG00000156030	ELMSAN1	45.0838907166489	1
30_Peak_30584_lociStitched	chr10	104352214	104439387	30	29303	60803.1675	11445.8149	69	SUFU,ARL3,TRIM8	SFXN2	TRIM8	69	1	ENSG00000171206	TRIM8	51.1955553646589	1
Peak_1522	chr19	1235862	1258687	1	22826	51652.975	2398.9075	70	C19orf26,ATP5D,MIDN	CIRBP,C19orf23,ATP5D,STK11,EFNA2,C19orf24	MIDN	70	1	ENSG00000167470	MIDN	95.6445804153529	1
60_Peak_2687_lociStitched	chr22	19858286	20001131	60	52962	63580.3095	14484.483	71	TXNRD2,COMT,ARVCF	C22orf29,C22orf25,MIR185,GNB1L	TXNRD2	71	1	ENSG00000093010	COMT	27.7990646541379	1
56_Peak_108020_lociStitched	chr11	68758578	68935803	56	53999	63641.4975	15329.9625	72	TPCN2,MRGPRF	MRGPRD	TPCN2	72	1	ENSG00000162341	TPCN2	15.0698711688791	1
47_Peak_35333_lociStitched	chr9	130247621	130349130	47	49238	56916.0963	8963.2447	73	LRSAM1,FAM129B	LRSAM1,RPL12,SNORA65,STXBP1	FAM129B	73	1	ENSG00000136830	FAM129B	92.1813888476543	1
39_Peak_52806_lociStitched	chr1	16438645	16518311	39	46433	54873.9408	6986.7082	74	EPHA2	ARHGEF19,FAM131C,C1orf89	EPHA2	74	1	ENSG00000142627	EPHA2	30.9695541992627	1
22_Peak_10198_lociStitched	chr20	45936335	46000068	22	25543	57621.0053	10082.5606	75	ZMYND8,LOC100131496	ZMYND8	ZMYND8	75	1	ENSG00000101040	ZMYND8	90.8370429689026	1
41_Peak_142227_lociStitched	chr11	1213091	1325796	41	48890	55428.319	8013.3255	76	TOLLIP,MUC5B	LOC255512	MUC5B	76	1	ENSG00000117983	MUC5B	120.76242608326	1
90_Peak_240481_lociStitched	chr22	48892489	49117293	90	58369	71240.3876	23851.7044	77	FAM19A5		FAM19A5	77	1	ENSG00000219438	FAM19A5	2.07048041357036	1
23_Peak_176677_lociStitched	chr11	118739787	118804424	23	29644	53170.3962	5920.7492	78	CXCR5,BCL9L	UPK2,FOXR1	CXCR5	78	1	ENSG00000186174	BCL9L	51.5099097810062	1
Peak_97	chr20	60935676	60948026	1	12351	49041.85	1812.98	79	LAMA5	RPS21,CABLES2	LAMA5	79	1	ENSG00000130702	LAMA5	169.244292649164	1
90_Peak_146287_lociStitched	chr16	88441100	88629156	90	61932	61099.3944	14028.9776	80	ZNF469,ZFPM1	ZC3H18	ZFPM1	80	1	ENSG00000225614	ZNF469	5.94137857807147	1
29_Peak_48121_lociStitched	chr7	134835300	134904222	29	24973	57542.9778	10744.9398	81	WDR91,TMEM140,C7orf49	C7orf49,STRA8	C7orf49	81	1	ENSG00000105875	WDR91	41.2621915317526	1
97_Peak_201694_lociStitched	chr2	239933019	240234917	97	52849	76289.6246	30129.4204	82	HDAC4,MGC16025,MIR4269		MGC16025	82	1	ENSG00000068024	HDAC4	21.4624624087526	2
Peak_881	chr20	60924846	60935424	1	10579	47118.6432	1493.6136	83	LAMA5	RPS21,ADRM1,CABLES2	LAMA5	83	1	ENSG00000130702	LAMA5	169.244292649164	1
84_Peak_82266_lociStitched	chr11	2675067	2884302	84	56816	61996.3305	16655.106	84	KCNQ1,KCNQ1OT1	CDKN1C,SLC22A18,SLC22A18AS,KCNQ1DN	KCNQ1OT1	84	1	ENSG00000269821	KCNQ1OT1	452.974769278918	1
22_Peak_75112_lociStitched	chr17	72405916	72476801	22	23802	53745.007	8655.0585	85	GPRC5C,CD300A	GPR142,BTBD17	GPRC5C	85	1	ENSG00000170412	GPRC5C	48.9938118588631	1
73_Peak_19594_lociStitched	chr11	973210	1162345	73	53710	59350.563	14355.3465	86	AP2A2,MUC6,MUC2		MUC2	86	1	ENSG00000184956	MUC6	26.3471644528539	1
41_Peak_16007_lociStitched	chr1	154356852	154450444	41	34733	56492.1312	11801.9512	87	IL6R	IL6R,TDRD10,SHE	IL6R	87	1	ENSG00000160712	IL6R	33.0059860885691	1
Peak_613	chr17	80182636	80200432	1	17797	46730.5164	2046.54	88	SLC16A3	CCDC57,CSNK1D	SLC16A3	88	1	ENSG00000141526	SLC16A3	37.9078154374608	1
41_Peak_200509_lociStitched	chr19	46008026	46095282	41	38717	53583.9096	8900.112	89	GPR4,OPA3,VASP	PPM1N,EML2,FOSB,MIR330,RTN2	OPA3	89	1	ENSG00000125753	VASP	32.9839502057741	1
52_Peak_46759_lociStitched	chr12	132274234	132408243	52	41532	61751.3472	17756.1925	90	MMP17,ULK1,SFSWAP	PUS1,EP400	MMP17	90	1	ENSG00000177169	ULK1	45.7928989655522	1
Peak_28	chr12	122226199	122240025	1	13827	46097.2666	2108.465	91	LOC338799,RHOF	SETD1B	RHOF	91	1	ENSG00000139725	RHOF	29.457134932896	1
32_Peak_70675_lociStitched	chr2	239001849	239082176	32	41353	51818.9477	8177.2886	92	ESPNL,SCLY,ILKAP,KLHL30		KLHL30	92	1	ENSG00000178752	ERFE	1.64218263588924	1
49_Peak_14212_lociStitched	chr16	70688029	70804518	49	60336	53782.9713	10169.4897	93	LOC100130894,VAC14,MTSS1L,IL34		MTSS1L	93	1	ENSG00000132613	MTSS1L	24.900983328439	1
Peak_102	chr12	52536803	52547284	1	10482	45019.0393	1781.77	94		KRT80	KRT80	94	1	ENSG00000167767	KRT80	4.93008590400794	1
42_Peak_21003_lociStitched	chr2	69960446	70059334	42	23280	55970.608	12865.3288	95	GMCL1,ANXA4		ANXA4	95	1	ENSG00000196975	ANXA4	66.1161696193721	1
31_Peak_93664_lociStitched	chr7	101875948	101975683	31	27704	56270.487	13344.543	96	CUX1,SH2B2,MIR4285	SPDYE6	SH2B2	96	1	ENSG00000160999	SH2B2	3.85916163883781	1
75_Peak_113311_lociStitched	chr4	1481133	1700134	75	45634	58779.8684	15921.3727	97	FAM53A,SLBP	TACC3,TMEM129	FAM53A	97	1	ENSG00000174137	FAM53A	0.957939870935393	1
90_Peak_13221_lociStitched	chr3	149216626	149373345	90	45332	63580.8983	20953.3303	98	WWTR1,TM4SF4		WWTR1	98	1	ENSG00000018408	WWTR1	54.102553415469	1
44_Peak_3685_lociStitched	chr17	27403828	27508290	44	41963	55594.6764	13005.519	99	MYO18A	PIPOX,TIAF1,MYO18A	MYO18A	99	1	ENSG00000196535	MYO18A	91.8412170250396	1
9_Peak_21492_lociStitched	chr7	97899112	97933657	9	15979	47440.6485	5116.1145	100	BRI3,BAIAP2L1	TECPR1	BRI3	100	1	ENSG00000164713	BRI3	50.6282346271483	1
52_Peak_35123_lociStitched	chr10	73372466	73544898	52	34624	63213.5712	21174.6496	101	CDH23,C10orf105,C10orf54	CDH23	C10orf105	101	1	ENSG00000107738	VSIR	12.2107982531112	1
37_Peak_37438_lociStitched	chr6	43957243	44082713	37	35090	55884.338	14065.187	102	MRPL14,C6orf223	TMEM63B,CAPN11	C6orf223	102	1	ENSG00000181577	C6orf223	1.83756425804295	1
30_Peak_134389_lociStitched	chr12	122458676	122530241	30	27486	52120.7895	10584.4635	103	BCL7A,MLXIP		MLXIP	103	1	ENSG00000175727	MLXIP	132.371232508981	1
40_Peak_32749_lociStitched	chr17	21127868	21226896	40	31320	57693.7128	16240.592	104	C17orf103,MAP2K3	TMEM11	MAP2K3	104	1	ENSG00000034152	MAP2K3	25.6394432424713	1
50_Peak_58795_lociStitched	chr7	115282	232530	50	45840	56032.8192	14890.496	105	FAM20C		FAM20C	105	1	ENSG00000177706	FAM20C	22.6224619781243	1
35_Peak_23696_lociStitched	chr17	43441800	43548009	35	32911	51543.2277	10727.109	106	ARHGAP27,PLEKHM1,SH3D20	MIR4315-1,LRRC37A4,MAP3K14	ARHGAP27	106	1	ENSG00000159314	ARHGAP27	26.7795721637649	1
40_Peak_33033_lociStitched	chr7	73379761	73486684	40	36322	54990.4989	14562.9126	107	ELN	ELN,LIMK1	ELN	107	1	ENSG00000049540	ELN	15.9508262472321	1
82_Peak_176594_lociStitched	chr10	134417377	134631621	82	51427	62837.7652	22559.8932	108	INPP5A,NKX6-2		NKX6-2	108	1	ENSG00000148826	NKX6-2	7.66620623922071	1
42_Peak_156877_lociStitched	chr17	80788139	80899714	42	35015	53422.11	13355.5275	109	ZNF750,TBCD		ZNF750	109	1	ENSG00000141579	ZNF750	2.58912244930984	1
72_Peak_167080_lociStitched	chr14	93395341	93575327	72	46857	59503.3716	19474.4852	110	ITPK1,CHGA,ITPK1-AS1	ITPK1	ITPK1-AS1	110	1	ENSG00000258730	ITPK1-AS1	2.69132465125628	1
31_Peak_63042_lociStitched	chr2	95663849	95744885	31	32153	50388.1848	10437.4368	111	MAL	MAL,MRPS5	MAL	111	1	ENSG00000172005	MAL	3.10572062035554	1
58_Peak_140213_lociStitched	chr1	15240078	15421871	58	39025	55283.2513	15688.7359	112	KAZ		KAZ	112	1	ENSG00000189337	KAZN	33.7267266423255	2
54_Peak_124824_lociStitched	chr10	71085243	71289039	54	35067	65622.312	26187.786	113	HK1,TSPAN15,TACR2	NEUROG3	TACR2	113	1	ENSG00000099282	TSPAN15	23.9120516962987	1
25_Peak_77211_lociStitched	chr8	22024910	22086526	25	26106	63649.328	24449.2288	114	BMP1,PHYHIP	REEP4,HR,PIWIL2,LGI3,POLR3D,MIR320A,SFTPC	BMP1	114	1	ENSG00000168487	BMP1	22.5800112434771	1
36_Peak_29170_lociStitched	chr10	11825230	11955420	36	29882	55005.275	16039.408	115	C10orf47	ECHDC3	C10orf47	115	1	ENSG00000148426	PROSER2	8.32885930095416	1
11_Peak_82682_lociStitched	chr13	100601711	100650247	11	19936	43624.1568	4877.868	116	ZIC2,ZIC5		ZIC5	116	1	ENSG00000043355	ZIC2	0.187165377549532	1
48_Peak_52896_lociStitched	chr1	27818673	27942426	48	41388	49414.5729	10778.8863	117	AHDC1,FGR	WASF2	AHDC1	117	1	ENSG00000126705	AHDC1	29.9950851866503	1
33_Peak_6942_lociStitched	chr19	56577745	56672183	33	32784	47672.3024	9207.705	118	ZNF444,ZNF787	GALP,ZSCAN5B	ZNF787	118	1	ENSG00000142409	ZNF787	17.0632304415202	1
35_Peak_62616_lociStitched	chr7	334543	431795	35	34929	51105.926	12652.4852	119	LOC442497	LOC100288524	LOC442497	119	1	ENSG00000249574		0.576244180013816	1
44_Peak_179183_lociStitched	chr7	2471811	2586871	44	43144	52363.806	14025.814	120	LFNG,CHST12,C7orf27	IQCE	LFNG	120	1	ENSG00000106003	LFNG	6.37476302027253	1
45_Peak_104255_lociStitched	chr10	105394963	105564789	45	34312	60237.2822	22077.38	121	SH3PXD2A		SH3PXD2A	121	1	ENSG00000107957	SH3PXD2A	88.9806150024211	1
43_Peak_22306_lociStitched	chr7	73683475	73818724	43	32467	56236.5342	18163.9407	122	CLIP2	CLIP2,RFC2,GTF2IRD1	CLIP2	122	1	ENSG00000106665	CLIP2	28.7281896808788	1
53_Peak_181091_lociStitched	chr8	142520233	142711849	53	35336	60263.232	22246.6176	123		FLJ43860	FLJ43860	123	1	ENSG00000160932	LY6E	114.461558515422	3
73_Peak_298001_lociStitched	chr1	7432047	7650169	73	46547	55359.3636	17384.3234	124	CAMTA1		VAMP3	124	1	ENSG00000049245	VAMP3	21.1608295507257	1
32_Peak_75377_lociStitched	chr2	20367017	20436353	32	35284	44063.028	6157.0368	125	SDC1		SDC1	125	1	ENSG00000115884	SDC1	36.6268585849158	1
50_Peak_117450_lociStitched	chr19	50696305	50838542	50	32517	51034.6356	13199.5936	126	MYH14,KCNC3,NAPSB	NAPSA,POLD1,NR1H2,IZUMO2	MYH14	126	1	ENSG00000105357	MYH14	153.755675929486	1
15_Peak_44718_lociStitched	chr12	53427053	53469076	15	18653	43817.3821	6026.0982	127	SPRYD3,LOC283335,TENC1,EIF4B	SOAT2,IGFBP6	LOC283335	127	1	ENSG00000111077	TNS2	29.2471018852461	1
44_Peak_67041_lociStitched	chr21	47390326	47513685	44	47573	48800.8204	11238.0049	128	COL6A1	COL6A2	COL6A1	128	1	ENSG00000142156	COL6A1	163.238473147939	1
Peak_41	chr8	21910313	21920273	1	9961	41722.44	4264.872	129	EPB49	NPM2,NUDT18,EPB49,FAM160B2,FGF17	EPB49	129	1	ENSG00000158856	DMTN	18.576163721791	2
36_Peak_14986_lociStitched	chr2	121943593	122023428	36	34785	48004.7855	10634.022	130	TFCP2L1		TFCP2L1	130	1	ENSG00000115112	TFCP2L1	30.3198102577086	1
14_Peak_116460_lociStitched	chr1	201398557	201453122	14	21587	43924.825	6585.9955	131	PHLDA3,CSRP1	CSRP1,RPS10P7,TNNI1,LAD1	PHLDA3	131	1	ENSG00000174307	PHLDA3	37.6670322318433	1
50_Peak_35187_lociStitched	chr22	23493075	23656394	50	36071	53797.2786	16478.8871	132	FBXW4P1,RAB36,BCR	RTDR1,BCR	FBXW4P1	132	1	ENSG00000230701	FBXW4P1	2.94435685933808	1
24_Peak_219_lociStitched	chr1	181061585	181122346	24	26954	45364.1626	8378.9419	133		IER5	IER5	133	1	ENSG00000162783	IER5	13.9738998051466	1
24_Peak_4285_lociStitched	chr12	52205242	52265386	24	24199	45138.072	8257.7712	134	FIGNL2	ANKRD33,ACVRL1	FIGNL2	134	1	ENSG00000261586		1.27759855174953	1
Peak_2185	chr9	140196584	140214126	1	17543	38523.9862	1647.1938	135	NRARP,EXD3	COBRA1,C9orf167	NRARP	135	1	ENSG00000198435	NRARP	1.07504460504784	1
34_Peak_87035_lociStitched	chr9	132307543	132376327	34	33066	43320.1632	6445.0608	136	C9orf50	ASB6,METTL11A	C9orf50	136	1	ENSG00000179058	C9orf50	0.889035543360276	1
