#ClearCell_3172_IP Enhancers
#Created from /media/abraaodem/Data01/Marcos/MTF/histologies/RoseRes/ClearCell_3172_IP_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by ClearCell_3172_IP.nodup.bam
#Using cutoff of 10392.3752 for Super-Enhancers
#Created on Oct 18 2018 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	ClearCell_3172_IP.nodup.bam	ClearCell_3172_Input.nodup.bam	enhancerRank	isSuper
26_Peak_350_lociStitched	chr10	104356395	104439693	26	28851	57950.4186	9254.4078	58	1
17_Peak_74958_lociStitched	chr15	31616713	31691547	17	20782	60174.0194	11516.9526	59	1
14_Peak_19998_lociStitched	chr15	96864556	96904721	14	26147	53459.615	4867.998	60	1
20_Peak_8747_lociStitched	chr19	2020006	2094378	20	37158	55258.396	6894.2844	61	1
21_Peak_40165_lociStitched	chr22	50705605	50753253	21	32495	53604	5674.8768	62	1
17_Peak_51547_lociStitched	chr1	33177351	33254765	17	31478	54793.6292	7400.7784	63	1
19_Peak_123228_lociStitched	chr8	134413110	134467968	19	28480	57518.613	10379.1336	64	1
35_Peak_22050_lociStitched	chr17	76857519	77001587	35	45730	56676.3512	10516.964	65	1
21_Peak_3970_lociStitched	chr1	201978819	202040792	21	36063	51958.1632	5899.8296	66	1
13_Peak_14959_lociStitched	chr18	3424531	3468675	13	14430	52438.6576	6396.4656	67	1
24_Peak_18815_lociStitched	chr2	46503124	46580584	24	30049	56499.324	10604.274	68	1
25_Peak_24468_lociStitched	chr2	95651288	95753434	25	33301	58059.7864	12635.4602	69	1
23_Peak_123003_lociStitched	chr20	34652215	34727224	23	34889	53556.426	8528.5233	70	1
30_Peak_30038_lociStitched	chr14	74184206	74282741	30	36180	54647.511	9892.914	71	1
3_Peak_1309_lociStitched	chr10	77154411	77169908	3	12613	46494.0994	1929.3765	72	1
11_Peak_60954_lociStitched	chr10	134189746	134236262	11	20815	49251.1408	4786.4964	73	1
24_Peak_135311_lociStitched	chr21	45123342	45203953	24	34100	51026.763	7408.1509	74	1
5_Peak_10965_lociStitched	chr17	80163173	80201193	5	23727	45985.19	2634.786	75	1
31_Peak_41618_lociStitched	chr15	90562773	90650777	31	35751	54008.0548	10666.0848	76	1
30_Peak_46031_lociStitched	chr12	120105502	120156224	30	31988	51543.6964	8282.9026	77	1
23_Peak_691_lociStitched	chr12	52596029	52678308	23	30666	55727.5667	12481.7243	78	1
22_Peak_6746_lociStitched	chr2	20366641	20436572	22	30233	51874.8158	8734.3819	79	1
29_Peak_177204_lociStitched	chr3	129268492	129360201	29	38817	54612.7095	11536.9922	80	1
41_Peak_70499_lociStitched	chr17	75350464	75489723	41	53464	53740.0481	10750.7948	81	1
27_Peak_20058_lociStitched	chr14	69010916	69076612	27	37961	50106.3392	7259.408	82	1
Peak_261	chr2	219256980	219272136	1	15157	44493.4692	1706.5656	83	1
46_Peak_64930_lociStitched	chr15	58730202	58845662	46	45483	52268.742	9837.192	84	1
8_Peak_681_lociStitched	chr8	55365736	55389892	8	11346	45292.5	2893.8888	85	1
24_Peak_1682_lociStitched	chr10	74007268	74097237	24	35068	52955.7534	10670.3234	86	1
8_Peak_20005_lociStitched	chr19	12868265	12907852	8	18661	46257.4095	3974.5348	87	1
25_Peak_7800_lociStitched	chr3	13852956	13922845	25	35787	49705.0568	7478.123	88	1
33_Peak_34380_lociStitched	chr14	68913578	68996238	33	38649	50695.378	8596.64	89	1
9_Peak_108498_lociStitched	chr3	50264359	50311428	9	27467	46744.2239	4678.6586	90	1
27_Peak_29796_lociStitched	chr21	44816681	44883627	27	31241	47591.9114	5830.9966	91	1
30_Peak_14951_lociStitched	chr12	52349586	52440127	30	30766	54704.8722	12983.5794	92	1
33_Peak_100759_lociStitched	chr16	11645159	11735387	33	42594	49075.0092	7597.1976	93	1
Peak_941	chr20	48892094	48903497	1	11404	43197.9849	1850.7069	94	1
9_Peak_35317_lociStitched	chr19	13259810	13287839	9	24185	44210.1417	2889.7899	95	1
Peak_847	chr6	10409554	10420384	1	10831	42345.3	1385.157	96	1
21_Peak_25083_lociStitched	chr1	203236491	203304749	21	27772	48340.3156	7440.122	97	1
6_Peak_57_lociStitched	chr17	27061978	27088663	6	16158	44814.789	4274.937	98	1
22_Peak_14140_lociStitched	chr1	205242935	205313592	22	36452	48145.6798	7645.0874	99	1
19_Peak_31267_lociStitched	chr1	37903927	37953318	19	27719	45657.0404	5205.8114	100	1
22_Peak_51012_lociStitched	chr7	134828418	134893907	22	30471	45482.1105	5841.6188	101	1
46_Peak_12561_lociStitched	chr12	125137156	125282652	46	40071	60540.8856	20965.9736	102	1
24_Peak_19081_lociStitched	chr8	127538173	127604694	24	25596	51720.0775	12253.1682	103	1
10_Peak_25494_lociStitched	chr22	38094566	38150141	10	21985	46655.2125	7230.3075	104	1
12_Peak_122264_lociStitched	chr1	16465436	16516819	12	28961	43598.4755	5045.8106	105	1
1_Peak_48_lociStitched	chr3	169375709	169387878	1	12170	40225.8464	1708.5276	106	1
Peak_222	chr17	46661534	46671136	1	9603	40240.0616	2014.4996	107	1
11_Peak_146675_lociStitched	chr19	4057936	4109513	11	22910	42396.294	4358.2565	108	1
18_Peak_12932_lociStitched	chr5	139015243	139062459	18	26647	43325.4016	5311.8	109	1
7_Peak_7582_lociStitched	chr17	39927877	39959534	7	20947	42632.4819	4754.8814	110	1
32_Peak_39567_lociStitched	chr14	75665347	75770309	32	27795	48471.4516	11021.01	111	1
16_Peak_52882_lociStitched	chr12	122458642	122506131	16	22775	43965.3162	6543.9842	112	1
24_Peak_18555_lociStitched	chr1	235088740	235148773	24	32617	43872.1164	6819.7488	113	1
Peak_572	chr22	50962452	50973462	1	11011	38920.35	1871.7	114	1
52_Peak_21358_lociStitched	chr10	63739249	63859052	52	38719	53252.4335	16281.2277	115	1
22_Peak_68939_lociStitched	chr8	134498157	134585553	22	19815	52026.8388	15145.7268	116	1
35_Peak_7482_lociStitched	chr15	99942240	100048211	35	34040	49350.6947	12536.3693	117	1
36_Peak_75426_lociStitched	chr6	43958497	44078687	36	34949	51224.978	14446.838	118	1
23_Peak_37573_lociStitched	chr22	36427819	36530407	23	28021	51037.53	14311.026	119	1
Peak_233	chr20	48802881	48814483	1	11603	37596.281	1582.5128	120	1
13_Peak_96766_lociStitched	chr10	105250738	105288390	13	20106	40905.1328	5158.324	121	1
11_Peak_24378_lociStitched	chr9	132309770	132376344	11	29577	40729.9732	5139.5128	122	1
21_Peak_62388_lociStitched	chr11	126180591	126238489	21	28844	41617.0824	6044.5512	123	1
5_Peak_594_lociStitched	chr8	146014573	146034260	5	14644	38677.0802	3114.4834	124	1
16_Peak_10998_lociStitched	chr1	12191409	12246780	16	36316	39961.2507	4418.6058	125	1
35_Peak_76030_lociStitched	chr14	69092502	69200478	35	38207	47390.6664	11952.9432	126	1
18_Peak_39173_lociStitched	chr19	38735301	38792037	18	20647	43471.1232	8130.2688	127	1
20_Peak_3255_lociStitched	chr19	33512919	33585470	20	27554	42529.3962	7218.8245	128	1
14_Peak_44600_lociStitched	chr1	234735249	234797233	14	15621	42049.9456	6743.8592	129	1
20_Peak_15856_lociStitched	chr8	103054476	103141562	20	17679	51276.2368	16067.367	130	1
Peak_371	chr22	37409902	37423424	1	13523	37246.349	2056.6962	131	1
29_Peak_51168_lociStitched	chr8	143207514	143317582	29	25942	49453.5524	14429.9148	132	1
27_Peak_23063_lociStitched	chr22	46838085	46943865	27	22103	48500.13	13550.418	133	1
11_Peak_31248_lociStitched	chr17	39671628	39705731	11	19843	39508.3255	5043.8337	134	1
25_Peak_45020_lociStitched	chr17	39786484	39848424	25	22881	42571.362	8132.722	135	1
29_Peak_36814_lociStitched	chr3	193499987	193620550	29	33871	55097.291	20724.7797	136	1
19_Peak_26601_lociStitched	chr2	97527130	97578854	19	25174	40696.4432	6398.2588	137	1
24_Peak_47283_lociStitched	chr15	69814551	69902680	24	39151	41024.0495	7050.32	138	1
37_Peak_71798_lociStitched	chr20	49258081	49390605	37	28556	50226.596	16313.7044	139	1
21_Peak_25171_lociStitched	chr20	48644541	48704415	21	31075	40780.1814	7029.2076	140	1
19_Peak_61377_lociStitched	chr17	29814379	29889945	19	14968	45626.7508	11901.645	141	1
Peak_218	chr11	701546	711204	1	9659	34895.3198	1221.737	142	1
17_Peak_61980_lociStitched	chr3	53255756	53310510	17	27236	40490.583	6986.6104	143	1
29_Peak_33858_lociStitched	chr9	38007797	38112266	29	25040	47000.6031	13612.3107	144	1
30_Peak_20030_lociStitched	chr3	14264361	14339698	30	33116	41164.1368	7782.3121	145	1
33_Peak_50204_lociStitched	chr20	30248480	30319730	33	32000	42137.25	9063	146	1
30_Peak_20118_lociStitched	chr17	63013497	63100499	30	19303	46024.058	12980.6984	147	1
14_Peak_14092_lociStitched	chr8	142121728	142185280	14	18963	43310.688	10441.5936	148	1
18_Peak_71525_lociStitched	chr1	181059890	181111879	18	26476	38045.5502	5614.812	149	1
34_Peak_15794_lociStitched	chr6	11345191	11435004	34	26449	45131.0325	12762.4273	150	1
10_Peak_79325_lociStitched	chr12	6431572	6487036	10	20646	36916.8384	4792.0896	151	1
33_Peak_50167_lociStitched	chr11	19990266	20091369	33	31187	45526.6809	13446.699	152	1
29_Peak_64730_lociStitched	chr14	103652213	103748958	29	28154	41435.8835	9606.7785	153	1
Peak_335	chr19	1247306	1256344	1	9039	32152.685	871.2632	154	1
29_Peak_22864_lociStitched	chr21	46711626	46808709	29	34805	39736.0719	8475.3459	155	1
22_Peak_662_lociStitched	chr10	123846832	123909365	22	26517	38651.6473	7460.1869	156	1
19_Peak_12775_lociStitched	chr1	27136714	27206359	19	24347	37831.164	6644.133	157	1
7_Peak_683_lociStitched	chr17	2286082	2316295	7	15303	34001.7102	2821.8942	158	1
12_Peak_831_lociStitched	chr3	193805744	193860560	12	11260	40267.8336	9187.1616	159	1
Peak_8	chr22	46464797	46471426	1	6630	31945.8139	877.0167	160	1
3_Peak_14_lociStitched	chr17	42294933	42313065	3	6426	34122.6108	3071.5608	161	1
6_Peak_211_lociStitched	chr22	41834621	41850338	6	9824	33384.4797	2387.4123	162	1
29_Peak_25762_lociStitched	chr19	18561351	18635514	29	30566	37964.0397	7216.0599	163	1
29_Peak_13622_lociStitched	chr3	149312847	149382729	29	17993	40426.737	10083.9726	164	1
6_Peak_44587_lociStitched	chr3	128199585	128224143	6	10279	33627.2694	3369.3576	165	1
13_Peak_13123_lociStitched	chr1	43389459	43434735	13	27112	34681.416	4427.9928	166	1
16_Peak_3479_lociStitched	chr9	130280104	130347156	16	27036	36067.2708	5820.1136	167	1
25_Peak_95852_lociStitched	chr8	11681044	11760504	25	26260	38530.154	8351.246	168	1
Peak_5969	chr20	48831467	48848616	1	17150	32529.9381	2369.9918	169	1
13_Peak_43940_lociStitched	chr22	45523308	45576688	13	15619	38268.122	8108.422	170	1
10_Peak_22366_lociStitched	chr11	76474550	76514033	10	21123	34437.0726	4299.6987	171	1
21_Peak_5031_lociStitched	chr14	55538595	55599631	21	23251	36646.0144	6652.924	172	1
25_Peak_19135_lociStitched	chr6	39855136	39926651	25	23373	39240.2805	9268.344	173	1
12_Peak_65746_lociStitched	chr19	3536562	3569988	12	21155	32897.8692	3132.0162	174	1
26_Peak_18228_lociStitched	chr6	137049948	137111530	26	23566	38051.5178	8375.152	175	1
Peak_1089	chr17	46671266	46678294	1	7029	30963.9624	1316.3444	176	1
13_Peak_43635_lociStitched	chr10	105413339	105456245	13	22405	35024.1678	5419.0278	177	1
16_Peak_30690_lociStitched	chr1	28184623	28219086	16	25866	32650.2462	3253.3072	178	1
27_Peak_30632_lociStitched	chr6	43736859	43824195	27	25944	39964.9536	10716.1272	179	1
6_Peak_56910_lociStitched	chr8	144801058	144825315	6	14085	32499.5286	3277.1207	180	1
35_Peak_44352_lociStitched	chr22	37655632	37781721	35	25988	44862.4662	15660.2538	181	1
Peak_274	chr2	219143261	219157522	1	14262	30685.3937	1601.5103	182	1
11_Peak_36708_lociStitched	chr20	62669135	62708547	11	15013	33476.5528	4422.0264	183	1
24_Peak_14628_lociStitched	chr5	131749858	131838610	24	18406	40160.28	11280.3792	184	1
Peak_2313	chr7	1568869	1584690	1	15822	30480.7386	1805.1761	185	1
13_Peak_22494_lociStitched	chr16	1727865	1773555	13	21861	32439.9	3773.994	186	1
14_Peak_32544_lociStitched	chr19	3667469	3726185	14	21746	33532.7076	4932.144	187	1
23_Peak_146481_lociStitched	chr16	57814957	57880622	23	31196	34047.3025	5522.4265	188	1
22_Peak_17544_lociStitched	chr12	113630963	113709985	22	19699	39763.8704	11639.9406	189	1
7_Peak_3263_lociStitched	chr7	75911932	75952669	7	17856	31615.9857	3503.382	190	1
Peak_1798	chr11	65183451	65193116	1	9666	28996.933	934.6055	191	1
24_Peak_95523_lociStitched	chr5	172436650	172504237	24	22840	36888.9846	8833.6209	192	1
16_Peak_67779_lociStitched	chr17	38214850	38271691	16	19450	35724.5685	7764.4806	193	1
8_Peak_43967_lociStitched	chr3	5014686	5037565	8	12990	30271.2049	2338.2338	194	1
5_Peak_36249_lociStitched	chr2	120181814	120200773	5	18162	30484.1761	2618.2379	195	1
20_Peak_46334_lociStitched	chr22	17699800	17759778	20	26033	36250.7032	8510.8782	196	1
4_Peak_17079_lociStitched	chr17	36843884	36863690	4	12315	30400.2294	3044.1822	197	1
9_Peak_9990_lociStitched	chr17	73072301	73121536	9	17417	30939.274	3623.696	198	1
25_Peak_18695_lociStitched	chr9	137218441	137301106	25	35986	33148.665	5836.149	199	1
18_Peak_65717_lociStitched	chr19	2523946	2580305	18	24619	32293.707	4987.7715	200	1
25_Peak_174995_lociStitched	chr20	30092950	30161965	25	23881	36384.708	9089.2755	201	1
12_Peak_85340_lociStitched	chr2	232505263	232546707	12	18554	31505.7288	4248.01	202	1
19_Peak_176226_lociStitched	chr10	81917942	81968105	19	17262	33729.6012	6491.0922	203	1
1_Peak_101_lociStitched	chr6	32934999	32941642	1	6644	27985.6304	781.2168	204	1
23_Peak_32579_lociStitched	chr21	44333489	44418099	23	19484	34639.334	7538.751	205	1
13_Peak_38084_lociStitched	chr17	75266445	75328218	13	15918	31535.1165	4602.0885	206	1
23_Peak_48007_lociStitched	chr4	184319404	184391843	23	19651	32713.4524	5838.5834	207	1
29_Peak_7553_lociStitched	chr8	8897697	8963752	29	27593	33873.004	7041.463	208	1
9_Peak_49509_lociStitched	chr3	50627879	50666331	9	18905	30719.3028	4014.3888	209	1
13_Peak_58438_lociStitched	chr12	58226752	58259649	13	10484	31357.4204	4658.2152	210	1
15_Peak_18520_lociStitched	chr1	32387774	32428221	15	15798	31277.6651	4606.9133	211	1
27_Peak_37779_lociStitched	chr11	917455	986685	27	24499	34587.308	7954.527	212	1
15_Peak_66263_lociStitched	chr21	46258779	46304639	15	16167	30882.124	4264.98	213	1
13_Peak_45029_lociStitched	chr17	48104592	48154853	13	12773	34715.2727	8232.7518	214	1
14_Peak_42839_lociStitched	chr7	73223310	73270405	14	22660	29872.3585	3400.259	215	1
4_Peak_17088_lociStitched	chr12	12867190	12879170	4	4079	27938.558	1469.946	216	1
7_Peak_3104_lociStitched	chr20	43940191	43977554	7	15985	31052.3893	4591.9127	217	1
9_Peak_8695_lociStitched	chr12	52205270	52258521	9	12157	33100.8216	6784.1774	218	1
2_Peak_1389_lociStitched	chr17	43298358	43309635	2	11202	28216.1817	1939.644	219	1
18_Peak_15446_lociStitched	chr8	130975389	131058581	18	16330	40273.2472	14042.8096	220	1
24_Peak_22694_lociStitched	chr11	57169224	57246551	24	33320	32284.0225	6186.16	221	1
15_Peak_29649_lociStitched	chr9	131870503	131909209	15	18929	29137.8768	3100.3506	222	1
9_Peak_19948_lociStitched	chr1	201417024	201451672	9	17818	29603.2512	3579.1384	223	1
18_Peak_65840_lociStitched	chr19	53398399	53450628	18	21245	30151.8017	4230.549	224	1
14_Peak_11115_lociStitched	chr11	2395388	2422918	14	19186	28870.711	2951.216	225	1
19_Peak_48598_lociStitched	chr17	48737037	48775262	19	24330	32858.21	7075.4475	226	1
33_Peak_18189_lociStitched	chr22	32007550	32078386	33	22843	35021.3184	9293.6832	227	1
20_Peak_22716_lociStitched	chr13	113338521	113409347	20	20960	31383.0006	5687.3278	228	1
19_Peak_83763_lociStitched	chr9	139398739	139461362	19	26147	29658.2528	4045.4458	229	1
16_Peak_92997_lociStitched	chr22	43107514	43171019	16	17793	34038.68	8427.1135	230	1
22_Peak_22785_lociStitched	chr16	85016766	85101235	22	20740	32486.7774	7036.2677	231	1
20_Peak_27968_lociStitched	chr6	160100812	160140528	20	18415	29886.29	4464.0784	232	1
8_Peak_35790_lociStitched	chr12	121398951	121422856	8	10434	28822.2585	3401.6815	233	1
23_Peak_16225_lociStitched	chr17	73526146	73581490	23	26921	29260.3728	3846.408	234	1
6_Peak_68811_lociStitched	chr10	119294707	119313115	6	9457	27713.244	2347.02	235	1
17_Peak_52236_lociStitched	chr20	30788036	30833667	17	17760	31900.6321	6557.1747	236	1
3_Peak_42_lociStitched	chr19	41209314	41228582	3	8843	28200.6448	2859.3712	237	1
8_Peak_75020_lociStitched	chr17	48254082	48288454	8	19467	30147.6812	4825.8288	238	1
6_Peak_2764_lociStitched	chr17	55966420	55994077	6	9372	29706.3837	4433.4171	239	1
19_Peak_19376_lociStitched	chr12	109231482	109268996	19	15022	30795.2426	5593.3374	240	1
7_Peak_20143_lociStitched	chr15	31491734	31529325	7	9748	31685.4539	6491.9657	241	1
29_Peak_13340_lociStitched	chr3	57975137	58057297	29	23529	33685.6	8528.208	242	1
Peak_196	chr17	37892960	37899372	1	6413	26373.8384	1256.1108	243	1
Peak_118	chr8	144098542	144108834	1	10293	26705.6816	1610.698	244	1
31_Peak_24700_lociStitched	chr8	30239347	30298609	31	16284	31444.4172	6370.665	245	1
17_Peak_7718_lociStitched	chr10	73472440	73534091	17	21298	32027.6945	6966.563	246	1
24_Peak_108997_lociStitched	chr19	38489687	38564876	24	22785	35797.4829	10744.5081	247	1
10_Peak_92904_lociStitched	chr17	48689478	48721797	10	14883	30606.093	5568.5637	248	1
10_Peak_55794_lociStitched	chr11	34044254	34077267	10	9167	28902.8815	3902.1366	249	1
12_Peak_2685_lociStitched	chr17	71274084	71313394	12	17297	28000.513	3058.318	250	1
Peak_857	chr19	17352080	17361543	1	9464	25922.9422	983.2057	251	1
11_Peak_74456_lociStitched	chr22	37562475	37596888	11	12532	29884.2492	4996.7676	252	1
17_Peak_45258_lociStitched	chr17	38468574	38528745	17	15705	33340.7511	8484.111	253	1
12_Peak_20515_lociStitched	chr1	1672055	1715143	12	18847	27485.8352	2684.3824	254	1
12_Peak_822_lociStitched	chr11	350198	410421	12	14146	30310.2359	5516.4268	255	1
9_Peak_55243_lociStitched	chr7	542660	583245	9	15999	28096.9955	3376.672	256	1
32_Peak_13039_lociStitched	chr10	63656721	63724156	32	20915	33690.526	8975.5985	257	1
9_Peak_30234_lociStitched	chr5	132158406	132188249	9	17413	28512.0022	3804.9825	258	1
16_Peak_16502_lociStitched	chr22	25342071	25388382	16	18008	31459.0623	6779.9304	259	1
22_Peak_5614_lociStitched	chr10	105302271	105357508	22	23952	31380.1397	6838.3406	260	1
13_Peak_41307_lociStitched	chr20	36753599	36810297	13	19136	31348.3242	6809.4298	261	1
8_Peak_14881_lociStitched	chr17	46975468	47008025	8	11310	29874.3032	5342.6037	262	1
15_Peak_12656_lociStitched	chr9	130788875	130878654	15	21897	31314.9152	6814.2261	263	1
15_Peak_19039_lociStitched	chr3	136694450	136716940	15	16492	27714.427	3231.813	264	1
29_Peak_1123_lociStitched	chr3	63897097	63946381	29	21745	29678.8248	5199.462	265	1
12_Peak_23738_lociStitched	chr18	3585144	3625271	12	15545	30817.536	6396.2438	266	1
16_Peak_73781_lociStitched	chr12	132335487	132418885	16	11990	34568.471	10174.556	267	1
20_Peak_9345_lociStitched	chr5	10550109	10611907	20	17976	33346.2008	9010.1484	268	1
12_Peak_14989_lociStitched	chr22	32313017	32369882	12	12711	32310.693	8199.933	269	1
18_Peak_30456_lociStitched	chr5	170171585	170204686	18	23564	28082.8884	4028.3917	270	1
9_Peak_3763_lociStitched	chr1	11844236	11875790	9	16860	26312.8806	2404.4148	271	1
3_Peak_103367_lociStitched	chr2	232565997	232581602	3	8657	25486.086	1582.347	272	1
25_Peak_30150_lociStitched	chr14	93572016	93644971	25	23329	30509.781	6689.9735	273	1
6_Peak_141086_lociStitched	chr17	48929007	48945528	6	6251	26532.726	2754.0507	274	1
14_Peak_60010_lociStitched	chr5	138897062	138929414	14	16823	27845.3664	4079.5872	275	1
10_Peak_35356_lociStitched	chr6	151175630	151201057	10	14141	27372.1655	3625.8902	276	1
7_Peak_41575_lociStitched	chr12	112027415	112063166	7	7700	28611.5253	4872.8613	277	1
19_Peak_57811_lociStitched	chr1	17510236	17572394	19	19301	30009.8824	6290.3896	278	1
29_Peak_63050_lociStitched	chr22	46957838	47032286	29	25189	32332.7664	8702.9712	279	1
29_Peak_22013_lociStitched	chr14	50412593	50470831	29	22182	29986.7462	6400.3562	280	1
25_Peak_27459_lociStitched	chr21	45556204	45628652	25	28288	30065.92	6513.0752	281	1
9_Peak_10029_lociStitched	chr10	30706430	30733411	9	12811	27423.4884	3874.4716	282	1
13_Peak_25542_lociStitched	chr8	142007695	142050815	13	10447	30938.6	7433.888	283	1
5_Peak_1024_lociStitched	chr10	43899133	43922209	5	7870	26371.2528	2891.4228	284	1
23_Peak_32747_lociStitched	chr2	25470600	25539679	23	19585	31161.5369	7716.1243	285	1
Peak_897	chr2	176984541	176991951	1	7411	24132.147	708.396	286	1
20_Peak_24010_lociStitched	chr20	52177024	52241596	20	17260	30678.1572	7257.8928	287	1
3_Peak_29420_lociStitched	chr17	79476050	79487222	3	9120	24314.7408	904.932	288	1
