REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	Endometrioid_589_Tu_IP.nodup.bam	Endometrioid_589_Tu_Input.nodup.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper	ensembl_gene_id	hgnc_symbol	medianCPM	keyAnnotation
25_Peak_13382_lociStitched	chr17	55937502	56033774	25	58472	96512.68	12091.7632	29	CUEDC1	MRPS23,VEZF1	CUEDC1	29	1	ENSG00000180891	CUEDC1	34.1576814027895	1
21_Peak_41908_lociStitched	chr12	6247497	6351260	21	49475	96312.8166	13821.2316	30	CD9	VWF	CD9	30	1	ENSG00000010278	CD9	57.4919348287287	1
23_Peak_54197_lociStitched	chr19	45219967	45278735	23	39724	88410.5792	6629.0304	31	BCL3	CEACAM16,CBLC,CEACAM19,BCAM	BCL3	31	1	ENSG00000069399	BCL3	15.6007350409478	1
55_Peak_48735_lociStitched	chr1	19687765	19835095	55	73780	98607.969	16928.217	32	CAPZB	AKR7A2,PQLC2	CAPZB	32	1	ENSG00000077549	CAPZB	98.7623344479686	1
14_Peak_24568_lociStitched	chr14	69223733	69291724	14	28532	89482.9551	8070.5317	33	C14orf181,ZFP36L1		ZFP36L1	33	1	ENSG00000185650	ZFP36L1	374.570349120322	1
35_Peak_71727_lociStitched	chr19	39125601	39227505	35	65552	92498.2608	12116.3856	34	ACTN4,CAPN12,EIF3K	LGALS7,MAP4K1	ACTN4	34	1	ENSG00000130402	ACTN4	381.617471962806	1
11_Peak_1198_lociStitched	chr19	13250224	13284312	11	26399	83986.0144	4012.1576	35	STX10,NACC1,IER2	TRMT1,LYL1	IER2	35	1	ENSG00000160888	IER2	73.6196528020863	1
22_Peak_13545_lociStitched	chr14	75688598	75780606	22	41432	91492.7552	11639.012	36	FOS	TMED10	FOS	36	1	ENSG00000170345	FOS	208.009800545971	1
40_Peak_60520_lociStitched	chr17	76857501	77002798	40	59270	97319.9306	17522.8182	37	CANT1,TIMP2,LGALS3BP	C1QTNF1,USP36	TIMP2	37	1	ENSG00000108679	LGALS3BP	211.87120738607	1
20_Peak_4852_lociStitched	chr10	5576570	5688523	20	45462	93671.0751	15303.9751	38	ASB13	C10orf18,CALML5,ASB13,CALML3	CALML3	38	1	ENSG00000196372	ASB13	11.9081863943761	2
16_Peak_31012_lociStitched	chr9	130280453	130347067	16	40801	86105.2564	7793.838	39	FAM129B	STXBP1	FAM129B	39	1	ENSG00000136830	FAM129B	92.1813888476543	1
19_Peak_35493_lociStitched	chr2	232461500	232547016	19	40737	85687.032	10099.4396	40		C2orf57,PTMA,MIR1244-2	C2orf57	40	1	ENSG00000187514	PTMA	922.382099240683	3
14_Peak_73480_lociStitched	chr3	5016627	5069437	14	32627	79986.026	6078.431	41	BHLHE40		BHLHE40	41	1	ENSG00000134107	BHLHE40	70.0664591312744	1
39_Peak_18697_lociStitched	chr11	126180295	126302784	39	63305	87261.1636	13706.5191	42	KIRREL3,DCPS,ST3GAL4,FLJ39051	FOXRED1,TIRAP,SRPR	ST3GAL4	42	1	ENSG00000110080	ST3GAL4	12.4711521095288	1
4_Peak_265_lociStitched	chr17	2285985	2316405	4	23484	76372.452	3933.306	43	MNT,LOC284009	TSR1,SGSM2	MNT	43	1	ENSG00000070444	MNT	29.0657033828155	1
33_Peak_55220_lociStitched	chr2	28804988	28906606	33	54331	83804.3646	12346.587	44	PLB1		PPP1CB	44	1	ENSG00000213639	PPP1CB	240.855257443272	1
24_Peak_31621_lociStitched	chr5	131752723	131837210	24	36421	81605.9933	10704.5029	45	C5orf56,IRF1	SLC22A5,IL5	IRF1	45	1	ENSG00000125347	IRF1	37.9680887497992	1
46_Peak_33408_lociStitched	chr2	218691353	218875754	46	70256	91481.3361	21353.6358	46	TNS1	RUFY4	TNS1	46	1	ENSG00000079308	TNS1	87.6988310502487	1
14_Peak_33218_lociStitched	chr10	43888895	43952279	14	16620	78032.0424	8658.2544	47	HNRNPF,ZNF487P	FXYD4	ZNF487P	47	1	ENSG00000230555		0.917555472067276	1
20_Peak_68802_lociStitched	chr19	4042235	4115626	20	31648	77273.3839	8146.401	48	MAP2K2,ZBTB7A	PIAS4,CREB3L3	ZBTB7A	48	1	ENSG00000178951	ZBTB7A	62.7471928234805	1
Peak_384	chr22	46464779	46478200	1	13422	70721.9595	1708.4933	49		LOC400931,C22orf26,MIRLET7A3,MIR3619,LOC100271722,LOC150381,MIRLET7B	LOC400931	49	1	ENSG00000197182	MIRLET7BHG	25.4538308562833	2
17_Peak_82646_lociStitched	chr20	45932149	45990957	17	32771	75797.6312	7374.5232	50	ZMYND8,LOC100131496	ZMYND8	LOC100131496	50	1	ENSG00000267882		1.64218263588924	1
16_Peak_26840_lociStitched	chr8	11701670	11767307	16	43270	76007.646	8171.8065	51	CTSB	FDFT1	CTSB	51	1	ENSG00000164733	CTSB	509.608778865864	1
17_Peak_10039_lociStitched	chr12	52533389	52611405	17	37805	78694.7392	10953.4464	52	KRT80,LOC283404	KRT7	KRT80	52	1	ENSG00000167767	KRT80	4.93008590400794	1
10_Peak_594_lociStitched	chr11	67006376	67060035	10	32646	74634.3031	6981.0359	53	KDM2A,ANKRD13D,ADRBK1	SSH3,LOC100130987	ADRBK1	53	1	ENSG00000173020	GRK2	54.55268891065	1
6_Peak_14346_lociStitched	chr3	13031836	13067556	6	32421	71325.696	4547.156	54	IQSEC1	IQSEC1	IQSEC1	54	1	ENSG00000144711	IQSEC1	38.3542743316867	1
14_Peak_18584_lociStitched	chr10	104387038	104439026	14	30027	73355.068	6940.398	55	SUFU,ARL3,TRIM8	SFXN2	TRIM8	55	1	ENSG00000171206	TRIM8	51.1955553646589	1
20_Peak_39478_lociStitched	chr1	21578851	21670102	20	40604	77627.2257	11388.1248	56	ECE1		ECE1	56	1	ENSG00000117298	ECE1	89.539295974677	1
17_Peak_42074_lociStitched	chr18	46443754	46525265	17	45611	75332.4662	9528.6359	57	SMAD7		SMAD7	57	1	ENSG00000101665	SMAD7	5.30333445315953	1
9_Peak_55048_lociStitched	chr10	134201127	134243829	9	30011	71893.0872	6204.6006	58	PWWP2B	C10orf91	PWWP2B	58	1	ENSG00000171813	PWWP2B	11.7718960280876	1
12_Peak_35181_lociStitched	chr20	30147159	30201159	12	34993	71285.4	6053.4	59	HM13,ID1,MIR3193	HM13,PSIMCT-1,COX4I2	ID1	59	1	ENSG00000125968	ID1	19.7061916306709	1
18_Peak_40639_lociStitched	chr14	77488150	77555450	18	30188	72482.1	7954.86	60	C14orf4	KIAA1737	C14orf4	60	1	ENSG00000119669	IRF2BPL	27.3042961944847	1
22_Peak_9647_lociStitched	chr21	46285715	46353244	22	33446	72411.3467	8022.4452	61	ITGB2,C21orf67,PTTG1IP	C21orf70,SUMO3	ITGB2	61	1	ENSG00000160255	ITGB2	10.4410640263668	1
11_Peak_3597_lociStitched	chr10	73472487	73536778	11	35020	72931.7104	9257.904	62	CDH23,C10orf54,C10orf105	CDH23	C10orf105	62	1	ENSG00000107738	VSIR	12.2107982531112	1
12_Peak_66677_lociStitched	chr12	48195276	48229664	12	28839	68669.3972	5079.1076	63	HDAC7	RAPGEF3,SLC48A1,HDAC7	HDAC7	63	1	ENSG00000061273	HDAC7	84.4115852748388	1
25_Peak_5572_lociStitched	chr16	11645148	11735575	25	40627	74511.848	10986.8805	64	LITAF	SNN	LITAF	64	1	ENSG00000189067	LITAF	76.4848049274565	1
30_Peak_16864_lociStitched	chr10	104510740	104579827	30	46256	73280.5809	9913.9845	65	C10orf26	SFXN2,AS3MT,CYP17A1,ARL3,C10orf32	C10orf26	65	1	ENSG00000166272	WBP1L	35.5582505808823	2
23_Peak_14557_lociStitched	chr8	142083780	142175622	23	40306	74217.5202	11195.5398	66	DENND3		DENND3	66	1	ENSG00000105339	DENND3	26.3761200511355	1
41_Peak_35758_lociStitched	chr16	81464662	81617951	41	49757	81304.4856	18517.3112	67	CMIP		CMIP	67	1	ENSG00000153815	CMIP	64.1241008588561	1
Peak_48	chr11	65182831	65193738	1	10908	63705.6056	1511.7102	68	NEAT1	FRMD8,SLC25A45,MIR612	NEAT1	68	1	ENSG00000245532	NEAT1	2115.87873530667	1
51_Peak_29479_lociStitched	chr9	37908285	38075323	51	59983	82049.0656	20128.079	69	SHB	MCART1	SHB	69	1	ENSG00000107338	SHB	10.6334125075366	1
11_Peak_68053_lociStitched	chr17	74476249	74527567	11	29704	67339.4796	6389.091	70	RHBDF2,CYGB,PRCD	AANAT,SNORD1A,SNORD1B,PRCD,SNORD1C,UBE2O	RHBDF2	70	1	ENSG00000129667	RHBDF2	23.4711930748744	1
14_Peak_58463_lociStitched	chr10	106051975	106111122	14	30961	69840.7776	8931.197	71	ITPRIP,GSTO2	CCDC147,GSTO1,GSTO2	ITPRIP	71	1	ENSG00000148841	ITPRIP	18.6079243609032	1
12_Peak_6045_lociStitched	chr1	43388728	43439819	12	38606	65401.5891	6340.3931	72	FLJ32224,SLC2A1		FLJ32224	72	1	ENSG00000117394	SLC2A1	46.5211395741482	1
11_Peak_92713_lociStitched	chr1	234721214	234768268	11	15001	64144.0128	5382.9776	73	IRF2BP2,NCRNA00184		IRF2BP2	73	1	ENSG00000168264	IRF2BP2	93.3315632379749	1
37_Peak_64996_lociStitched	chr9	134496076	134620252	37	51272	73276.2576	14714.856	74	RAPGEF1		RAPGEF1	74	1	ENSG00000107263	RAPGEF1	30.2108168438422	1
Peak_185	chr19	39891400	39905215	1	13816	59260.824	2003.175	75	ZFP36,PLEKHG2	SUPT5H,RPS16,MED29,PAF1	ZFP36	75	1	ENSG00000128016	ZFP36	71.1403336376348	1
20_Peak_43924_lociStitched	chr14	74183933	74263059	20	38507	66750.6936	9621.7216	76	C14orf43	PNMA1	C14orf43	76	1	ENSG00000156030	ELMSAN1	45.0838907166489	2
1_Peak_489_lociStitched	chr7	5457659	5470024	1	12366	58399.895	1514.7125	77	TNRC18		TNRC18	77	1	ENSG00000182095	TNRC18	116.868664254118	1
29_Peak_25440_lociStitched	chr20	23061481	23143720	29	47513	66070.8126	9424.5894	78	CD93,LOC200261	SSTR4,THBD	LOC200261	78	1	ENSG00000125810	CD93	11.9560258481494	2
11_Peak_19021_lociStitched	chr1	201976333	202034543	11	30426	63122.924	6554.446	79	ELF3	RNPEP,ELF3	ELF3	79	1	ENSG00000163435	ELF3	243.043030111608	1
14_Peak_7925_lociStitched	chr9	95854893	95906964	14	27447	62985.0816	6821.301	80	NINJ1,C9orf89	SUSD3,WNK2	NINJ1	80	1	ENSG00000131669	NINJ1	15.3849207403539	1
32_Peak_61645_lociStitched	chr7	130568534	130648046	32	46087	65804.1312	9700.464	81	FLJ43663,LOC646329	MIR29A,MIR29B1	LOC646329	81	1	ENSG00000273319		36.5934907876675	1
15_Peak_1908_lociStitched	chr11	64602361	64656068	15	40377	61891.9468	6213.8999	82	CDC42BPG,EHD1	GPHA2,ATG2A,MEN1,MAP4K2,PPP2R5B,MIR194-2,MIR192	EHD1	82	1	ENSG00000110047	EHD1	18.9037031325027	1
26_Peak_7865_lociStitched	chr18	74762466	74846400	26	36541	65258.685	10273.5216	83	MBP	MBP	MBP	83	1	ENSG00000197971	MBP	25.2763529362771	1
8_Peak_45838_lociStitched	chr11	47376416	47438423	8	20109	61876.7853	6907.5798	84	SLC39A13,SPI1	PSMC3,SLC39A13,RAPSN,MYBPC3,SPI1	SPI1	84	1	ENSG00000165915	SLC39A13	18.9218488702804	1
15_Peak_13698_lociStitched	chr1	203236526	203298743	15	26661	62776.953	8106.8751	85	BTG2,LOC730227	CHIT1,LOC730227,FMOD	LOC730227	85	1	ENSG00000159388	BTG2	65.1473953359288	1
23_Peak_18243_lociStitched	chr12	109195567	109255932	23	33925	62833.9285	8294.151	86	SSH1	DAO	SSH1	86	1	ENSG00000084112	SSH1	30.8070829657601	1
25_Peak_94344_lociStitched	chr10	6161892	6251261	25	31487	67116.119	12627.8397	87	PFKFB3,MIR3155	RBM17	MIR3155	87	1	ENSG00000201581	RN7SKP78	0.783550214922714	1
6_Peak_47180_lociStitched	chr1	156059276	156100877	6	27624	59693.2749	5241.726	88	LMNA	ROBLD3,RAB25,SEMA4A,UBQLN4,MEX3A	LMNA	88	1	ENSG00000160789	LMNA	177.908779312497	1
Peak_138	chr19	13943702	13956453	1	12752	55821.3278	1551.7967	89	LOC284454,MIR24-2,MIR23A,MIR27A	MIR181C,ZSWIM4,MIR181D,NANOS3	MIR23A	89	1	ENSG00000267519		24.6839812950757	1
20_Peak_21737_lociStitched	chr9	137215737	137306567	20	37626	64353.055	10690.691	90	RXRA		RXRA	90	1	ENSG00000186350	RXRA	39.5523194205565	1
Peak_125	chr17	7736755	7750108	1	13354	55312.1319	1653.1014	91	DNAH2,KDM6B	LSMD1,CYB5D1,CHD3,TMEM88	KDM6B	91	1	ENSG00000132510	KDM6B	38.3597871767207	1
16_Peak_4715_lociStitched	chr6	44001886	44055398	16	35019	60693.3104	7111.7448	92		C6orf223,TMEM63B,MRPL14	C6orf223	92	1	ENSG00000181577	C6orf223	1.83756425804295	1
19_Peak_13941_lociStitched	chr14	35800291	35875404	19	31938	62238.6318	9201.3425	93	NFKBIA	PSMA6	NFKBIA	93	1	ENSG00000100906	NFKBIA	91.0282754423195	1
17_Peak_77871_lociStitched	chr10	82208791	82269548	17	36163	60769.1514	8366.2389	94	TSPAN14	C10orf58,SH2D4B	TSPAN14	94	1	ENSG00000108219	TSPAN14	118.962602892749	1
18_Peak_54683_lociStitched	chr10	105472099	105554862	18	39189	64108.2198	11735.7934	95	SH3PXD2A		SH3PXD2A	95	1	ENSG00000107957	SH3PXD2A	88.9806150024211	1
26_Peak_12037_lociStitched	chr2	206546484	206635310	26	39623	62755.569	10463.7028	96	NRP2	NRP2	NRP2	96	1	ENSG00000118257	NRP2	46.7398057122317	1
12_Peak_9060_lociStitched	chr12	120661580	120704162	12	31168	58639.6722	6429.882	97	PXN	GCN1L1,SIRT4,RPLP0	PXN	97	1	ENSG00000089159	PXN	75.4276644226191	1
9_Peak_45316_lociStitched	chr17	43296705	43334397	9	18199	56794.3056	4835.8836	98	LOC100133991,FMNL1,C17orf46	LOC100133991	LOC100133991	98	1	ENSG00000184922	FMNL1	11.4993093588311	1
12_Peak_65983_lociStitched	chr1	156425743	156481278	12	27460	58689.388	6769.7165	99	MEF2D	C1orf61,MIR9-1	MEF2D	99	1	ENSG00000116604	MEF2D	33.8224326184765	1
7_Peak_80650_lociStitched	chr12	6470250	6501983	7	15604	55796.1339	4528.2991	100	LTBR,SCNN1A	TNFRSF1A,PLEKHG6	SCNN1A	100	1	ENSG00000111319	SCNN1A	105.093359494062	1
16_Peak_70595_lociStitched	chr10	81903635	81968553	16	27356	60704.8218	9484.5198	101	PLAC9,ANXA11	ANXA11	ANXA11	101	1	ENSG00000122359	ANXA11	189.687744666363	1
3_Peak_14389_lociStitched	chr12	6431554	6457724	3	18132	54653.428	3802.501	102	PLEKHG6,SCNN1A,TNFRSF1A	LTBR	TNFRSF1A	102	1	ENSG00000067182	TNFRSF1A	55.2386915319191	1
28_Peak_21480_lociStitched	chr14	69380270	69450698	28	41087	59286.2904	8620.3872	103	ACTN1		ACTN1	103	1	ENSG00000072110	ACTN1	75.7079489170228	1
8_Peak_3479_lociStitched	chr11	61721764	61748638	8	20243	53928.0558	3466.746	104	FTH1,BEST1	RAB3IL1	FTH1	104	1	ENSG00000167996	FTH1	750.302790856765	1
15_Peak_14004_lociStitched	chr10	3783870	3829188	15	20029	56937.5352	6525.792	105	KLF6	KLF6	KLF6	105	1	ENSG00000067082	KLF6	220.962320472183	1
15_Peak_27941_lociStitched	chr19	3365039	3410610	15	30331	55364.2079	5199.6511	106	NFIC		NFIC	106	1	ENSG00000141905	NFIC	122.025751510664	1
13_Peak_77226_lociStitched	chr17	17710745	17763639	13	27318	56548.9754	6458.3574	107	MIR33B,SREBF1,TOM1L2,RAI1	SMCR5	SREBF1	107	1	ENSG00000072310	SREBF1	33.3656535297191	1
11_Peak_12131_lociStitched	chr5	180212217	180260092	11	13579	55688.2	5663.6125	108	LOC729678,MGAT1	OR2Y1,MGAT1,ZFP62	MGAT1	108	1	ENSG00000131446	MGAT1	47.7404473399267	1
12_Peak_17456_lociStitched	chr19	44241350	44289874	12	29281	56079.1868	6075.2048	109	C19orf61,KCNN4	ZNF283,LYPD5,IRGC	C19orf61	109	1	ENSG00000104783	KCNN4	6.93160834108338	1
10_Peak_2114_lociStitched	chr16	66536379	66589380	10	22097	56302.9623	6407.8209	110	CKLF,TK2	CMTM3,CMTM2,CMTM1,CKLF,TK2	TK2	110	1	ENSG00000166548	TK2	23.4661925458363	1
25_Peak_6604_lociStitched	chr8	23344737	23429200	25	37725	60019.4078	10296.0397	111	SLC25A37	ENTPD4	SLC25A37	111	1	ENSG00000147454	SLC25A37	80.533047907139	1
19_Peak_14379_lociStitched	chr19	18559937	18633134	19	34707	58725.9531	9274.0599	112	ELL	UBA52,ISYNA1,C19orf50,SSBP4,FKBP8	ELL	112	1	ENSG00000105656	ELL	15.2713314033453	1
11_Peak_78347_lociStitched	chr18	3579173	3625541	11	25235	54932.1696	5559.5232	113	FLJ35776,DLGAP1		FLJ35776	113	1	ENSG00000177337	DLGAP1-AS1	11.4284340034271	1
4_Peak_6252_lociStitched	chr20	62312193	62334838	4	20320	52441.291	3197.474	114	RTEL1,TNFRSF6B,ARFRP1	ZGPAT,LIME1,SLC2A4RG,ARFRP1,STMN3	TNFRSF6B	114	1	ENSG00000243509	TNFRSF6B	2.69892250400058	1
37_Peak_12998_lociStitched	chr14	70080024	70194259	37	43607	63331.884	14370.763	115	KIAA0247	SRSF5,C14orf162,LOC100289511	KIAA0247	115	1	ENSG00000100650	SRSF5	111.785935745579	2
25_Peak_79045_lociStitched	chr6	6655598	6726413	25	34534	56984.8305	8136.6435	116		LY86-AS1	LY86-AS1	116	1	ENSG00000261211		1.3902355637383	1
7_Peak_50026_lociStitched	chr12	12867100	12911561	7	7335	54384.6952	5722.1307	117	APOLD1,CDKN1B	APOLD1,MIR613,GPR19	APOLD1	117	1	ENSG00000178878	APOLD1	38.8976144803721	1
12_Peak_13216_lociStitched	chr15	31616906	31665330	12	25270	54351.0976	5723.7168	118	KLF13		KLF13	118	1	ENSG00000169926	KLF13	40.9962538071668	1
4_Peak_70568_lociStitched	chr1	37936743	37953737	4	15953	50637.0218	2217.717	119	ZC3H12A	MEAF6	ZC3H12A	119	1	ENSG00000163874	ZC3H12A	17.9358610406355	1
15_Peak_7722_lociStitched	chr17	73671259	73735973	15	30306	55964.6672	7675.0804	120	SAP30BP,ITGB4	GALK1,RECQL5,LOC643008,H3F3B,LOC100130933,UNK	ITGB4	120	1	ENSG00000132470	ITGB4	67.877673663752	1
25_Peak_13411_lociStitched	chr7	4704450	4789455	25	38568	58151.9205	9962.586	121	FOXK1	KIAA0415	FOXK1	121	1	ENSG00000164916	FOXK1	54.2112448926585	1
Peak_18	chr12	122225767	122240180	1	14414	49962.6645	2177.8043	122	LOC338799,RHOF	SETD1B	RHOF	122	1	ENSG00000139725	RHOF	29.457134932896	1
11_Peak_43_lociStitched	chr19	16174802	16231317	11	23742	54243.097	6612.255	123	TPM4,RAB8A	HSH2D,FLJ25328,LOC126536	TPM4	123	1	ENSG00000167460	TPM4	334.742670341799	1
38_Peak_27502_lociStitched	chr10	126299962	126430301	38	46267	66472.89	19094.6635	124	FAM53B,LHPP		FAM53B	124	1	ENSG00000189319	FAM53B	26.527093593062	1
17_Peak_9218_lociStitched	chr22	35694518	35774402	17	30207	56517.93	9242.5788	125	TOM1,MIR3909	HMOX1,MCM5,HMGXB4,TOM1	MIR3909	125	1	ENSG00000100284	TOM1	25.1277285640702	1
Peak_826	chr1	154971478	154986553	1	15076	48642.5025	1680.8625	126	ZBTB7B	ADAM15,PYGO2,EFNA4,DCST2,MIR4258,FLAD1,PBXIP1,DCST1,SHC1,CKS1B,LENEP	ZBTB7B	126	1	ENSG00000160685	ZBTB7B	28.5348781998763	1
11_Peak_23708_lociStitched	chr1	28184672	28231551	11	26204	52837.3209	5958.3209	127	RPA2,C1orf38	PPP1R8,SCARNA1,SMPDL3B	C1orf38	127	1	ENSG00000130775	THEMIS2	9.2081429449691	1
17_Peak_201_lociStitched	chr9	33106279	33172255	17	24486	55320.876	8451.5256	128	B4GALT1	SMU1	B4GALT1	128	1	ENSG00000086062	B4GALT1	114.550872613194	1
9_Peak_39877_lociStitched	chr12	125388941	125425899	9	15279	51815.116	5248.036	129	UBC	SCARB1,DHX37	UBC	129	1	ENSG00000150991	UBC	333.878972987389	1
19_Peak_34746_lociStitched	chr15	65127997	65198021	19	32901	54660.7344	8171.8008	130	PLEKHO2	ANKDD1A,PIF1	PLEKHO2	130	1	ENSG00000241839	PLEKHO2	14.8906313962531	1
25_Peak_43307_lociStitched	chr20	1782755	1880319	25	32050	57309.0936	11268.642	131	SIRPA	LOC100289473	SIRPA	131	1	ENSG00000198053	SIRPA	16.3300694547784	1
17_Peak_10582_lociStitched	chr21	34733057	34786973	17	30321	52390.1772	6475.3116	132	IFNGR2	IFNAR1	IFNGR2	132	1	ENSG00000159128	IFNGR2	39.7656226138253	1
23_Peak_22390_lociStitched	chr17	48923078	49033117	23	29280	57748.4672	12588.4616	133	TOB1	WFIKKN2	TOB1	133	1	ENSG00000141232	TOB1	56.6212575687088	1
16_Peak_34187_lociStitched	chr1	22218624	22288604	16	42488	53121.818	7970.722	134	HSPG2	CELA3A,CELA3B	HSPG2	134	1	ENSG00000142798	HSPG2	182.954321741821	1
