#Endometrioid_589_Tu_IP Enhancers
#Created from /media/abraaodem/Data01/Marcos/MTF/histologies/RoseRes/Endometrioid_589_Tu_IP_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by Endometrioid_589_Tu_IP.nodup.bam
#Using cutoff of 20167.791 for Super-Enhancers
#Created on Oct 18 2018 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	Endometrioid_589_Tu_IP.nodup.bam	Endometrioid_589_Tu_Input.nodup.bam	enhancerRank	isSuper
4_Peak_265_lociStitched	chr17	2285985	2316405	4	23484	76372.452	3933.306	43	1
33_Peak_55220_lociStitched	chr2	28804988	28906606	33	54331	83804.3646	12346.587	44	1
24_Peak_31621_lociStitched	chr5	131752723	131837210	24	36421	81605.9933	10704.5029	45	1
46_Peak_33408_lociStitched	chr2	218691353	218875754	46	70256	91481.3361	21353.6358	46	1
14_Peak_33218_lociStitched	chr10	43888895	43952279	14	16620	78032.0424	8658.2544	47	1
20_Peak_68802_lociStitched	chr19	4042235	4115626	20	31648	77273.3839	8146.401	48	1
Peak_384	chr22	46464779	46478200	1	13422	70721.9595	1708.4933	49	1
17_Peak_82646_lociStitched	chr20	45932149	45990957	17	32771	75797.6312	7374.5232	50	1
16_Peak_26840_lociStitched	chr8	11701670	11767307	16	43270	76007.646	8171.8065	51	1
17_Peak_10039_lociStitched	chr12	52533389	52611405	17	37805	78694.7392	10953.4464	52	1
10_Peak_594_lociStitched	chr11	67006376	67060035	10	32646	74634.3031	6981.0359	53	1
6_Peak_14346_lociStitched	chr3	13031836	13067556	6	32421	71325.696	4547.156	54	1
14_Peak_18584_lociStitched	chr10	104387038	104439026	14	30027	73355.068	6940.398	55	1
20_Peak_39478_lociStitched	chr1	21578851	21670102	20	40604	77627.2257	11388.1248	56	1
17_Peak_42074_lociStitched	chr18	46443754	46525265	17	45611	75332.4662	9528.6359	57	1
9_Peak_55048_lociStitched	chr10	134201127	134243829	9	30011	71893.0872	6204.6006	58	1
12_Peak_35181_lociStitched	chr20	30147159	30201159	12	34993	71285.4	6053.4	59	1
18_Peak_40639_lociStitched	chr14	77488150	77555450	18	30188	72482.1	7954.86	60	1
22_Peak_9647_lociStitched	chr21	46285715	46353244	22	33446	72411.3467	8022.4452	61	1
11_Peak_3597_lociStitched	chr10	73472487	73536778	11	35020	72931.7104	9257.904	62	1
12_Peak_66677_lociStitched	chr12	48195276	48229664	12	28839	68669.3972	5079.1076	63	1
25_Peak_5572_lociStitched	chr16	11645148	11735575	25	40627	74511.848	10986.8805	64	1
30_Peak_16864_lociStitched	chr10	104510740	104579827	30	46256	73280.5809	9913.9845	65	1
23_Peak_14557_lociStitched	chr8	142083780	142175622	23	40306	74217.5202	11195.5398	66	1
41_Peak_35758_lociStitched	chr16	81464662	81617951	41	49757	81304.4856	18517.3112	67	1
Peak_48	chr11	65182831	65193738	1	10908	63705.6056	1511.7102	68	1
51_Peak_29479_lociStitched	chr9	37908285	38075323	51	59983	82049.0656	20128.079	69	1
11_Peak_68053_lociStitched	chr17	74476249	74527567	11	29704	67339.4796	6389.091	70	1
14_Peak_58463_lociStitched	chr10	106051975	106111122	14	30961	69840.7776	8931.197	71	1
12_Peak_6045_lociStitched	chr1	43388728	43439819	12	38606	65401.5891	6340.3931	72	1
11_Peak_92713_lociStitched	chr1	234721214	234768268	11	15001	64144.0128	5382.9776	73	1
37_Peak_64996_lociStitched	chr9	134496076	134620252	37	51272	73276.2576	14714.856	74	1
Peak_185	chr19	39891400	39905215	1	13816	59260.824	2003.175	75	1
20_Peak_43924_lociStitched	chr14	74183933	74263059	20	38507	66750.6936	9621.7216	76	1
1_Peak_489_lociStitched	chr7	5457659	5470024	1	12366	58399.895	1514.7125	77	1
29_Peak_25440_lociStitched	chr20	23061481	23143720	29	47513	66070.8126	9424.5894	78	1
11_Peak_19021_lociStitched	chr1	201976333	202034543	11	30426	63122.924	6554.446	79	1
14_Peak_7925_lociStitched	chr9	95854893	95906964	14	27447	62985.0816	6821.301	80	1
32_Peak_61645_lociStitched	chr7	130568534	130648046	32	46087	65804.1312	9700.464	81	1
15_Peak_1908_lociStitched	chr11	64602361	64656068	15	40377	61891.9468	6213.8999	82	1
26_Peak_7865_lociStitched	chr18	74762466	74846400	26	36541	65258.685	10273.5216	83	1
8_Peak_45838_lociStitched	chr11	47376416	47438423	8	20109	61876.7853	6907.5798	84	1
15_Peak_13698_lociStitched	chr1	203236526	203298743	15	26661	62776.953	8106.8751	85	1
23_Peak_18243_lociStitched	chr12	109195567	109255932	23	33925	62833.9285	8294.151	86	1
25_Peak_94344_lociStitched	chr10	6161892	6251261	25	31487	67116.119	12627.8397	87	1
6_Peak_47180_lociStitched	chr1	156059276	156100877	6	27624	59693.2749	5241.726	88	1
Peak_138	chr19	13943702	13956453	1	12752	55821.3278	1551.7967	89	1
20_Peak_21737_lociStitched	chr9	137215737	137306567	20	37626	64353.055	10690.691	90	1
Peak_125	chr17	7736755	7750108	1	13354	55312.1319	1653.1014	91	1
16_Peak_4715_lociStitched	chr6	44001886	44055398	16	35019	60693.3104	7111.7448	92	1
19_Peak_13941_lociStitched	chr14	35800291	35875404	19	31938	62238.6318	9201.3425	93	1
17_Peak_77871_lociStitched	chr10	82208791	82269548	17	36163	60769.1514	8366.2389	94	1
18_Peak_54683_lociStitched	chr10	105472099	105554862	18	39189	64108.2198	11735.7934	95	1
26_Peak_12037_lociStitched	chr2	206546484	206635310	26	39623	62755.569	10463.7028	96	1
12_Peak_9060_lociStitched	chr12	120661580	120704162	12	31168	58639.6722	6429.882	97	1
9_Peak_45316_lociStitched	chr17	43296705	43334397	9	18199	56794.3056	4835.8836	98	1
12_Peak_65983_lociStitched	chr1	156425743	156481278	12	27460	58689.388	6769.7165	99	1
7_Peak_80650_lociStitched	chr12	6470250	6501983	7	15604	55796.1339	4528.2991	100	1
16_Peak_70595_lociStitched	chr10	81903635	81968553	16	27356	60704.8218	9484.5198	101	1
3_Peak_14389_lociStitched	chr12	6431554	6457724	3	18132	54653.428	3802.501	102	1
28_Peak_21480_lociStitched	chr14	69380270	69450698	28	41087	59286.2904	8620.3872	103	1
8_Peak_3479_lociStitched	chr11	61721764	61748638	8	20243	53928.0558	3466.746	104	1
15_Peak_14004_lociStitched	chr10	3783870	3829188	15	20029	56937.5352	6525.792	105	1
15_Peak_27941_lociStitched	chr19	3365039	3410610	15	30331	55364.2079	5199.6511	106	1
13_Peak_77226_lociStitched	chr17	17710745	17763639	13	27318	56548.9754	6458.3574	107	1
11_Peak_12131_lociStitched	chr5	180212217	180260092	11	13579	55688.2	5663.6125	108	1
12_Peak_17456_lociStitched	chr19	44241350	44289874	12	29281	56079.1868	6075.2048	109	1
10_Peak_2114_lociStitched	chr16	66536379	66589380	10	22097	56302.9623	6407.8209	110	1
25_Peak_6604_lociStitched	chr8	23344737	23429200	25	37725	60019.4078	10296.0397	111	1
19_Peak_14379_lociStitched	chr19	18559937	18633134	19	34707	58725.9531	9274.0599	112	1
11_Peak_78347_lociStitched	chr18	3579173	3625541	11	25235	54932.1696	5559.5232	113	1
4_Peak_6252_lociStitched	chr20	62312193	62334838	4	20320	52441.291	3197.474	114	1
37_Peak_12998_lociStitched	chr14	70080024	70194259	37	43607	63331.884	14370.763	115	1
25_Peak_79045_lociStitched	chr6	6655598	6726413	25	34534	56984.8305	8136.6435	116	1
7_Peak_50026_lociStitched	chr12	12867100	12911561	7	7335	54384.6952	5722.1307	117	1
12_Peak_13216_lociStitched	chr15	31616906	31665330	12	25270	54351.0976	5723.7168	118	1
4_Peak_70568_lociStitched	chr1	37936743	37953737	4	15953	50637.0218	2217.717	119	1
15_Peak_7722_lociStitched	chr17	73671259	73735973	15	30306	55964.6672	7675.0804	120	1
25_Peak_13411_lociStitched	chr7	4704450	4789455	25	38568	58151.9205	9962.586	121	1
Peak_18	chr12	122225767	122240180	1	14414	49962.6645	2177.8043	122	1
11_Peak_43_lociStitched	chr19	16174802	16231317	11	23742	54243.097	6612.255	123	1
38_Peak_27502_lociStitched	chr10	126299962	126430301	38	46267	66472.89	19094.6635	124	1
17_Peak_9218_lociStitched	chr22	35694518	35774402	17	30207	56517.93	9242.5788	125	1
Peak_826	chr1	154971478	154986553	1	15076	48642.5025	1680.8625	126	1
11_Peak_23708_lociStitched	chr1	28184672	28231551	11	26204	52837.3209	5958.3209	127	1
17_Peak_201_lociStitched	chr9	33106279	33172255	17	24486	55320.876	8451.5256	128	1
9_Peak_39877_lociStitched	chr12	125388941	125425899	9	15279	51815.116	5248.036	129	1
19_Peak_34746_lociStitched	chr15	65127997	65198021	19	32901	54660.7344	8171.8008	130	1
25_Peak_43307_lociStitched	chr20	1782755	1880319	25	32050	57309.0936	11268.642	131	1
17_Peak_10582_lociStitched	chr21	34733057	34786973	17	30321	52390.1772	6475.3116	132	1
23_Peak_22390_lociStitched	chr17	48923078	49033117	23	29280	57748.4672	12588.4616	133	1
16_Peak_34187_lociStitched	chr1	22218624	22288604	16	42488	53121.818	7970.722	134	1
31_Peak_49503_lociStitched	chr2	240138314	240213173	31	33280	54370.0917	9566.9802	135	1
16_Peak_31509_lociStitched	chr1	201417397	201482583	16	26875	52396.5068	7822.32	136	1
19_Peak_44576_lociStitched	chr15	91350648	91417897	19	25588	52635.7923	8217.8278	137	1
25_Peak_30344_lociStitched	chr20	48364150	48462349	25	36366	56150.1882	11793.6999	138	1
4_Peak_98_lociStitched	chr18	3446270	3458674	4	10060	45793.0872	1485.9992	139	1
20_Peak_38627_lociStitched	chr3	14438997	14514950	20	34980	54032.9642	9835.9135	140	1
10_Peak_39481_lociStitched	chr1	33791210	33833703	10	25743	49041.1713	5009.9247	141	1
14_Peak_1442_lociStitched	chr8	103739987	103827124	14	31278	54251.4962	10482.5811	142	1
23_Peak_16218_lociStitched	chr17	4377192	4446940	23	42038	51718.142	8230.264	143	1
34_Peak_28026_lociStitched	chr6	7111215	7220487	34	39819	56526.4056	13112.64	144	1
Peak_119	chr22	50962539	50974172	1	11634	44678.8631	1440.1654	145	1
21_Peak_6625_lociStitched	chr10	95172894	95239375	21	29249	52174.2888	8961.6388	146	1
19_Peak_14052_lociStitched	chr19	17178084	17250013	19	32276	51091.1687	8653.0587	147	1
22_Peak_3449_lociStitched	chr14	55538505	55599617	22	26777	50215.7304	7779.5576	148	1
20_Peak_46181_lociStitched	chr20	36751377	36829998	20	34434	51999.9294	9591.762	149	1
4_Peak_5787_lociStitched	chr19	47596669	47618110	4	13769	45032.5323	2686.5573	150	1
5_Peak_20677_lociStitched	chr10	119296915	119314120	5	13345	44454.279	2224.6065	151	1
14_Peak_24223_lociStitched	chr15	93340731	93393501	14	20386	48242.334	6295.461	152	1
14_Peak_72663_lociStitched	chr17	72413113	72488358	14	22189	50685.032	8841.2875	153	1
15_Peak_15032_lociStitched	chr22	47124586	47195045	15	26415	50441.5981	8617.1357	154	1
3_Peak_49073_lociStitched	chr2	232566067	232582830	3	9288	43483.222	2143.9877	155	1
12_Peak_19303_lociStitched	chr1	36807776	36867522	12	22663	49224.7294	7946.218	156	1
5_Peak_17649_lociStitched	chr9	131925787	131942389	5	13926	42921.1506	1944.0942	157	1
3_Peak_4078_lociStitched	chr3	50191807	50220917	3	20973	44139.493	3271.964	158	1
8_Peak_811_lociStitched	chr17	42268674	42313266	8	14040	45822.7392	5114.7024	159	1
19_Peak_37943_lociStitched	chr2	233913000	233981791	19	31650	48862.2473	8213.6454	160	1
2_Peak_19297_lociStitched	chr3	187453656	187468644	2	13481	42216.6996	1773.0804	161	1
15_Peak_30801_lociStitched	chr9	131621831	131680112	15	24370	47155.1571	6754.7679	162	1
7_Peak_16723_lociStitched	chr9	73005919	73037216	7	16120	43834.5782	3527.1719	163	1
9_Peak_232_lociStitched	chr2	201979493	201998534	9	15022	42286.2528	2147.8248	164	1
19_Peak_56379_lociStitched	chr6	42055574	42126522	19	29728	48024.7012	8073.8824	165	1
22_Peak_17232_lociStitched	chr2	20366087	20436350	22	34892	48523.6278	8670.4542	166	1
26_Peak_16695_lociStitched	chr20	30249239	30318710	26	30468	48212.874	8461.5678	167	1
8_Peak_39592_lociStitched	chr1	16151930	16178530	8	13345	42700.98	3043.04	168	1
Peak_99	chr2	219258360	219267187	1	8828	40800.1594	1146.6273	169	1
20_Peak_63140_lociStitched	chr17	81005784	81068997	20	27168	46872.4395	7237.8885	170	1
8_Peak_25271_lociStitched	chr9	135978413	136020631	8	29316	44721.5274	5319.468	171	1
13_Peak_7374_lociStitched	chr19	45922229	45989424	13	21555	47318.719	7942.449	172	1
11_Peak_56585_lociStitched	chr15	75063442	75093091	11	22019	43011.8043	3715.0197	173	1
21_Peak_18731_lociStitched	chr21	45557199	45641174	21	35874	48848.2575	9573.15	174	1
14_Peak_57520_lociStitched	chr1	36574188	36638651	14	15606	46787.2454	7625.9729	175	1
13_Peak_31402_lociStitched	chr22	37896882	37966977	13	25916	47496.372	8404.3905	176	1
5_Peak_171_lociStitched	chr12	6641147	6662874	5	16090	42261.1877	3191.6963	177	1
10_Peak_17790_lociStitched	chr9	132076797	132124799	10	21438	44872.2696	5808.242	178	1
12_Peak_75735_lociStitched	chr3	129294941	129347903	12	32234	45319.5834	6323.6628	179	1
22_Peak_11688_lociStitched	chr17	78991722	79072292	22	32102	48132.518	9152.752	180	1
18_Peak_36788_lociStitched	chr16	73019518	73116538	18	23388	50178.744	11244.618	181	1
32_Peak_31924_lociStitched	chr18	9672789	9809255	32	37615	55104.9708	16253.1006	182	1
4_Peak_23070_lociStitched	chr4	2789149	2815315	4	20939	41988.5802	3527.1768	183	1
13_Peak_66595_lociStitched	chr3	50611351	50670414	13	24875	45821.0754	7424.2191	184	1
11_Peak_7988_lociStitched	chr12	52402364	52476408	11	24812	48365.5408	10010.7488	185	1
11_Peak_53869_lociStitched	chr1	33177406	33254635	11	22942	46808.4969	8456.5755	186	1
28_Peak_61852_lociStitched	chr17	40462959	40589314	28	26524	52816.39	14467.6475	187	1
15_Peak_56893_lociStitched	chr15	96863978	96904087	15	27780	42407.2457	4075.0744	188	1
6_Peak_6186_lociStitched	chr10	70803091	70828898	6	23602	42117.024	3806.5325	189	1
7_Peak_44935_lociStitched	chr19	46007959	46032832	7	14522	41194.6626	3046.9425	190	1
28_Peak_7277_lociStitched	chr8	134029013	134106328	28	36524	47177.613	9084.5125	191	1
6_Peak_56136_lociStitched	chr21	36236402	36264053	6	10853	41130.8625	3257.2878	192	1
17_Peak_41052_lociStitched	chr20	56232322	56294153	17	31765	45285.0244	7599.0299	193	1
22_Peak_33633_lociStitched	chr14	69011275	69105350	22	29198	49793.8975	12145.0825	194	1
9_Peak_55755_lociStitched	chr3	52071677	52125286	9	24078	44055.8762	6449.1627	195	1
1_Peak_60_lociStitched	chr6	32935048	32942008	1	6961	38449.824	879.744	196	1
10_Peak_23208_lociStitched	chr11	67112268	67157059	10	20492	42851.5497	5379.3991	197	1
Peak_2147	chr1	1096276	1107990	1	11715	38822.5388	1390.4518	198	1
8_Peak_5453_lociStitched	chr7	73865108	73899044	8	21079	41449.4304	4255.5744	199	1
19_Peak_39778_lociStitched	chr2	85623657	85698664	19	24967	46211.8127	9030.8428	200	1
7_Peak_63543_lociStitched	chr8	126417321	126465262	7	12535	43261.9584	6088.507	201	1
13_Peak_17006_lociStitched	chr1	17512148	17564157	13	29831	43079.0547	5975.8341	202	1
7_Peak_33601_lociStitched	chr11	313061	337771	7	12512	39578.007	2594.55	203	1
19_Peak_67556_lociStitched	chr5	171826836	171883261	19	31450	43988.93	7171.6175	204	1
23_Peak_28722_lociStitched	chr17	75092112	75161690	23	23533	45142.2064	8356.3178	205	1
16_Peak_106080_lociStitched	chr2	238570662	238624462	16	25552	43099.18	6375.3	206	1
20_Peak_73261_lociStitched	chr9	139406460	139483429	20	27133	45881.2209	9159.311	207	1
Peak_401	chr17	80184181	80191723	1	7543	37841.985	1148.6466	208	1
8_Peak_32347_lociStitched	chr14	105516526	105560990	8	20870	41582.7328	5104.4672	209	1
16_Peak_11792_lociStitched	chr17	63510665	63558497	16	28986	42092.16	5682.4416	210	1
8_Peak_43199_lociStitched	chr19	2259472	2302853	8	15552	41138.2023	4793.6005	211	1
18_Peak_24774_lociStitched	chr19	9116831	9190820	18	28885	43779.2913	7517.2824	212	1
17_Peak_20352_lociStitched	chr22	39826800	39895298	17	29386	44229.1586	8110.1632	213	1
8_Peak_22687_lociStitched	chr9	117125892	117161028	8	18375	40100.7168	4300.6464	214	1
5_Peak_18055_lociStitched	chr14	94840356	94862115	5	14067	38646.1599	2933.1132	215	1
47_Peak_47736_lociStitched	chr13	110951681	111076203	47	42928	49796.3478	14145.6992	216	1
Peak_4330	chr22	30640320	30655149	1	14830	37234.1361	1690.506	217	1
11_Peak_21763_lociStitched	chr5	139014743	139051779	11	24481	40176.6528	4681.3504	218	1
18_Peak_53910_lociStitched	chr10	30707199	30756953	18	19406	42146.6134	6756.5932	219	1
32_Peak_40055_lociStitched	chr14	92926008	93031995	32	34937	47121.8202	12114.3141	220	1
14_Peak_73162_lociStitched	chr7	75912076	75978078	14	21480	42855.0986	7920.24	221	1
12_Peak_10294_lociStitched	chr12	57520398	57576949	12	27426	43312.4109	8426.099	222	1
28_Peak_20649_lociStitched	chr11	47995293	48089409	28	32858	45938.0196	11105.688	223	1
15_Peak_109266_lociStitched	chr19	10973393	11027560	15	23882	41248.1705	6456.7064	224	1
23_Peak_26635_lociStitched	chr5	149836663	149898065	23	25334	42091.071	7319.1184	225	1
25_Peak_73406_lociStitched	chr19	10835201	10895912	25	33444	41842.0212	7279.2489	226	1
4_Peak_16618_lociStitched	chr17	56401254	56422514	4	13172	37400.592	2876.478	227	1
22_Peak_13325_lociStitched	chr5	169693820	169742089	22	31116	40072.9238	5604.0309	228	1
17_Peak_67318_lociStitched	chr14	50417418	50471284	17	23335	41110.5312	6673.9974	229	1
21_Peak_70335_lociStitched	chr12	123336159	123412332	21	18285	45170.589	10793.7141	230	1
8_Peak_35780_lociStitched	chr17	73843968	73875484	8	13592	37652.1652	3460.4568	231	1
15_Peak_18483_lociStitched	chr6	6781210	6827776	15	25513	39953.628	5792.8104	232	1
9_Peak_11002_lociStitched	chr17	39926441	39958145	9	20594	37797.5088	3655.4712	233	1
1_Peak_643_lociStitched	chr6	30646835	30657508	1	10674	35631.8105	1489.9508	234	1
18_Peak_45796_lociStitched	chr15	63765995	63810064	18	20833	39150.8996	5010.6453	235	1
6_Peak_36210_lociStitched	chr7	104643705	104660559	6	8505	36011.9418	1899.4458	236	1
18_Peak_67993_lociStitched	chr18	74156517	74216122	18	21134	40424.111	6330.051	237	1
Peak_121	chr2	219145895	219157707	1	11813	35850.6012	1846.2156	238	1
16_Peak_39962_lociStitched	chr20	47354999	47414981	16	27796	41015.6916	7029.8904	239	1
20_Peak_104463_lociStitched	chr2	70201678	70275697	20	29240	42797.7858	8815.6629	240	1
6_Peak_152_lociStitched	chr3	39182509	39223908	6	16376	38687.3655	4914.0613	241	1
10_Peak_55921_lociStitched	chr22	50714457	50753314	10	20113	37807.861	4064.4422	242	1
17_Peak_47817_lociStitched	chr17	48252861	48300395	17	35542	38821.0178	5223.9866	243	1
Peak_4358	chr19	36388902	36401481	1	12580	35006.0991	1517.0274	244	1
Peak_1984	chr17	38471456	38481418	1	9963	34754.4294	1338.8928	245	1
5_Peak_17498_lociStitched	chr15	70384567	70406638	5	11318	36189.8187	2822.8809	246	1
10_Peak_31135_lociStitched	chr21	45122103	45161154	10	19415	37953.6669	4623.6384	247	1
7_Peak_27709_lociStitched	chr9	130715830	130749831	7	23995	37435.101	4161.7224	248	1
12_Peak_42059_lociStitched	chr14	93099237	93154303	12	21525	39306.1108	6035.2336	249	1
14_Peak_72275_lociStitched	chr1	32387784	32429905	14	17300	38317.4737	5054.52	250	1
8_Peak_41823_lociStitched	chr17	74241857	74273454	8	17252	36835.7826	3775.8415	251	1
18_Peak_59235_lociStitched	chr2	113914528	114002079	18	26631	42943.7655	9945.7936	252	1
30_Peak_72504_lociStitched	chr13	44792984	44888150	30	31481	44204.607	11305.7208	253	1
17_Peak_27135_lociStitched	chr7	104563548	104625641	17	22693	40099.6594	7246.2531	254	1
4_Peak_74295_lociStitched	chr20	60924871	60957019	4	22998	36410.8248	3565.2132	255	1
13_Peak_52081_lociStitched	chr10	125822137	125867833	13	17888	39389.952	6548.2368	256	1
13_Peak_58697_lociStitched	chr8	130969851	131029562	13	26594	39355.5201	6526.4123	257	1
24_Peak_67227_lociStitched	chr10	72976077	73032344	24	27780	41013.0163	8203.7286	258	1
8_Peak_25784_lociStitched	chr11	1771458	1807256	8	20632	36839.7218	4106.0306	259	1
2_Peak_35022_lociStitched	chr1	156714489	156722477	2	7905	33803.6184	1073.5872	260	1
18_Peak_43945_lociStitched	chr15	75929840	76002002	18	23227	39941.667	7288.362	261	1
29_Peak_30358_lociStitched	chr22	46897877	47032158	29	32258	46984.9219	14381.4951	262	1
Peak_1058	chr17	80169517	80178455	1	8939	33692.6848	1203.9486	263	1
20_Peak_25728_lociStitched	chr11	61455830	61543999	20	28974	42567.9932	10086.5336	264	1
48_Peak_20725_lociStitched	chr2	238034264	238236267	48	41228	55449.8235	23048.5423	265	1
3_Peak_13690_lociStitched	chr20	48802957	48813930	3	10756	33850.6077	1572.4309	266	1
18_Peak_11193_lociStitched	chr16	81634413	81691705	18	31167	39319.4996	7161.5	267	1
15_Peak_7337_lociStitched	chr20	52195228	52241538	15	17488	36705.306	4617.107	268	1
Peak_2450	chr22	46479395	46491288	1	11894	33736.8731	1657.8842	269	1
29_Peak_14217_lociStitched	chr6	16670097	16769772	29	20354	43378.56	11303.145	270	1
4_Peak_17603_lociStitched	chr17	21178666	21193803	4	10759	34015.8664	2041.9813	271	1
17_Peak_9896_lociStitched	chr17	80793576	80851181	17	24979	38071.1445	6106.13	272	1
15_Peak_45550_lociStitched	chr5	150421009	150478087	15	23765	38567.6046	6655.2948	273	1
12_Peak_1835_lociStitched	chr6	2839535	2867269	12	14927	35089.0568	3261.5184	274	1
22_Peak_32526_lociStitched	chr10	73576987	73653118	22	24138	41872.05	10110.1968	275	1
12_Peak_59196_lociStitched	chr1	12633983	12680167	12	19433	37228.9224	5472.804	276	1
9_Peak_3782_lociStitched	chr8	55355309	55391043	9	12231	35666.1054	3955.7538	277	1
15_Peak_21428_lociStitched	chr14	103555880	103607569	15	25999	37676.1121	6207.8489	278	1
19_Peak_27425_lociStitched	chr1	211748814	211822586	19	18638	40146.7224	8697.7188	279	1
16_Peak_11292_lociStitched	chr1	33401454	33477323	16	20792	40347.1342	9020.8241	280	1
11_Peak_69491_lociStitched	chr9	127019854	127082975	11	22212	38800.4787	7517.7111	281	1
6_Peak_4701_lociStitched	chr2	66652763	66674345	6	14356	33473.682	2207.8386	282	1
11_Peak_23214_lociStitched	chr12	58224950	58259653	11	14074	36025.1843	4865.3606	283	1
12_Peak_30950_lociStitched	chr1	155930758	155977319	12	22278	36298.9556	5144.9905	284	1
15_Peak_36583_lociStitched	chr1	9350381	9412228	15	27950	38580.1586	7471.1176	285	1
14_Peak_40441_lociStitched	chr17	57901941	57933725	14	21046	34495.1752	3451.7424	286	1
