#HG_Serous_550_IP Enhancers
#Created from /media/Data01/Marcos/MTF/histologies/RoseRes/HG_Serous_550_IP_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by HG_Serous_550_IP.nodup.bam
#Using cutoff of 6146.2695 for Super-Enhancers
#Created on Oct 25 2018 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	HG_Serous_550_IP.nodup.bam	HG_Serous_550_Input.nodup.bam	enhancerRank	isSuper
8_Peak_37996_lociStitched	chr5	139013505	139051687	8	17379	30179.0528	5074.3878	52	1
9_Peak_26736_lociStitched	chr3	13035076	13064597	9	19466	28369.681	3527.7595	53	1
14_Peak_32017_lociStitched	chr2	158260454	158310567	14	17297	29762.1107	4956.1757	54	1
11_Peak_25545_lociStitched	chr21	45557460	45596175	11	17346	29086.5795	4498.683	55	1
30_Peak_14507_lociStitched	chr17	62128233	62206099	30	27765	33256.5686	8861.1508	56	1
23_Peak_20405_lociStitched	chr20	30249602	30311813	23	21605	31603.188	7340.898	57	1
26_Peak_20123_lociStitched	chr11	128321578	128396193	26	26162	32778.3695	8923.954	58	1
25_Peak_29340_lociStitched	chr2	99070116	99131665	25	26695	30971.4568	7250.4722	59	1
20_Peak_29234_lociStitched	chr8	27191129	27262808	20	21368	32191.0389	8522.6331	60	1
21_Peak_5206_lociStitched	chr8	134055027	134105962	21	26476	29705.292	6468.745	61	1
12_Peak_7257_lociStitched	chr15	63765849	63798499	12	17558	26665.255	3539.26	62	1
Peak_10	chr12	122237641	122245271	1	7631	23872.744	849.982	63	1
13_Peak_48980_lociStitched	chr9	123653209	123698849	13	20173	28369.824	5463.108	64	1
8_Peak_57846_lociStitched	chr1	40842687	40870240	8	12176	25965.9472	3074.9148	65	1
10_Peak_23405_lociStitched	chr11	67034040	67057753	10	16847	25626.6391	3028.1501	66	1
14_Peak_11916_lociStitched	chr5	172191960	172234967	14	11248	27365.3541	5018.9169	67	1
5_Peak_8913_lociStitched	chr17	56409984	56422955	5	12425	23814.756	1569.491	68	1
4_Peak_3137_lociStitched	chr18	60804857	60830347	4	14187	25201.963	2987.428	69	1
24_Peak_44056_lociStitched	chr9	92002037	92063347	24	24685	29772.136	7633.095	70	1
12_Peak_19177_lociStitched	chr15	93344623	93393329	12	16698	27650.3962	5523.2604	71	1
11_Peak_7381_lociStitched	chr11	64618164	64656039	11	19619	26735.9625	4624.5375	72	1
22_Peak_21593_lociStitched	chr22	36747112	36784188	22	21486	26364.7436	4293.4008	73	1
7_Peak_20051_lociStitched	chr4	185185032	185210489	7	15785	25217.7042	3164.3051	74	1
25_Peak_10499_lociStitched	chr17	76712833	76778396	25	20154	29208.3165	7480.7383	75	1
31_Peak_85134_lociStitched	chr1	19752424	19834260	31	22103	31032.2112	9345.6712	76	1
5_Peak_10562_lociStitched	chr19	42756014	42789788	5	13749	25306.8582	3738.7818	77	1
28_Peak_24900_lociStitched	chr9	132748932	132802970	28	27026	27224.3444	5836.104	78	1
14_Peak_31708_lociStitched	chr2	197023184	197049150	14	19294	23930.2656	2547.2646	79	1
22_Peak_39512_lociStitched	chr17	73289979	73342626	22	20069	27481.734	6101.7873	80	1
28_Peak_25319_lociStitched	chr1	198581631	198655212	28	25107	28461.1308	7085.8503	81	1
18_Peak_23571_lociStitched	chr21	44817506	44881724	18	15535	28705.446	7417.179	82	1
15_Peak_11777_lociStitched	chr6	291108	342884	15	17827	26902.8096	5855.8656	83	1
4_Peak_153_lociStitched	chr5	42989618	43011341	4	10575	23447.8062	2413.4253	84	1
5_Peak_21881_lociStitched	chr12	26266472	26280183	5	13026	22571.0482	1609.6714	85	1
8_Peak_64917_lociStitched	chr9	73012662	73036651	8	11056	23605.176	2792.3196	86	1
9_Peak_16618_lociStitched	chr5	180232467	180260631	9	11137	24040.7904	3283.9224	87	1
26_Peak_38914_lociStitched	chr15	78316441	78376846	26	21694	27756.0975	7121.7495	88	1
12_Peak_17740_lociStitched	chr15	31622190	31660474	12	16407	25301.8956	4716.5888	89	1
8_Peak_21671_lociStitched	chr8	145002140	145031538	8	15481	24300.3868	3768.8236	90	1
5_Peak_588_lociStitched	chr2	136873000	136897369	5	13508	23245.5891	2734.2018	91	1
18_Peak_6283_lociStitched	chr17	76337516	76386997	18	18504	26363.4768	5927.8238	92	1
12_Peak_8210_lociStitched	chr1	200830842	200858265	12	17595	23581.0377	3156.3873	93	1
8_Peak_40882_lociStitched	chr14	77492170	77510756	8	10091	22554.111	2170.8448	94	1
24_Peak_18769_lociStitched	chr1	160593749	160654218	24	20985	26860.3298	6657.6369	95	1
6_Peak_2621_lociStitched	chr7	50343278	50370660	6	17545	22902.3048	2872.3718	96	1
10_Peak_16385_lociStitched	chr18	46449066	46482838	10	17605	24005.1376	3981.7188	97	1
18_Peak_16901_lociStitched	chrX	1581501	1656799	18	18751	27114.8098	7349.0848	98	1
8_Peak_16166_lociStitched	chr12	9796350	9830818	8	15147	23745.0052	4177.5216	99	1
17_Peak_19945_lociStitched	chr12	104849959	104899640	17	14900	25426.7358	5872.2942	100	1
2_Peak_37563_lociStitched	chr2	232566373	232577579	2	7314	20886.8634	1342.4788	101	1
13_Peak_53022_lociStitched	chr11	128584788	128609210	13	18392	22573.2546	3069.8454	102	1
1_Peak_95_lociStitched	chr6	32935087	32939805	1	4719	20098.2082	599.186	103	1
11_Peak_18947_lociStitched	chr19	14466548	14496765	11	14281	22729.2274	3254.3709	104	1
11_Peak_76168_lociStitched	chr22	37613969	37641956	11	16871	22795.4115	3330.453	105	1
7_Peak_17763_lociStitched	chr7	102055987	102086667	7	8181	23344.412	3917.836	106	1
6_Peak_20755_lociStitched	chr12	109010244	109035622	6	11443	22528.0506	3169.7122	107	1
6_Peak_23022_lociStitched	chr3	5223019	5242091	6	16009	21089.8176	1916.736	108	1
12_Peak_1292_lociStitched	chr1	66796975	66819229	12	14509	21450.6306	2303.289	109	1
8_Peak_34040_lociStitched	chr17	37909624	37935232	8	15995	22076.6568	2939.7984	110	1
8_Peak_31811_lociStitched	chr9	134529721	134555467	8	15544	22283.163	3259.4436	111	1
13_Peak_2752_lociStitched	chr22	46451633	46478198	13	18554	22133.958	3110.7615	112	1
15_Peak_16698_lociStitched	chr20	49115364	49164276	15	18114	24333.72	5453.688	113	1
6_Peak_28933_lociStitched	chr10	43889487	43917019	6	9410	22058.6384	3199.2184	114	1
12_Peak_56272_lociStitched	chr1	145426992	145457740	12	12867	22215.43	3373.0556	115	1
6_Peak_2472_lociStitched	chr9	132243727	132263333	6	13486	21109.7802	2268.4142	116	1
8_Peak_5177_lociStitched	chr17	74242102	74269279	8	13066	21978.0399	3253.0869	117	1
6_Peak_80259_lociStitched	chr1	16149982	16178552	6	10197	21893.191	3222.696	118	1
8_Peak_38127_lociStitched	chr19	18395467	18429726	8	10620	22648.6249	4148.7649	119	1
3_Peak_334_lociStitched	chr2	157188455	157200373	3	7768	19692.1114	1220.4032	120	1
4_Peak_5392_lociStitched	chr6	42738266	42752801	4	9044	19833.0075	1395.36	121	1
19_Peak_26433_lociStitched	chr7	137656294	137686991	19	19309	21813.2882	3456.4822	122	1
7_Peak_11300_lociStitched	chr14	94419842	94444669	7	15482	21525.009	3192.7522	123	1
21_Peak_16090_lociStitched	chr14	99697133	99737829	21	23683	23005.4488	4708.5272	124	1
18_Peak_8341_lociStitched	chr3	183228105	183274011	18	20695	23655.3618	5458.2234	125	1
2_Peak_6_lociStitched	chr7	104650412	104658514	2	7658	18917.3598	904.1832	126	1
12_Peak_13285_lociStitched	chr15	65164063	65197980	12	13489	21927.3405	3917.4135	127	1
6_Peak_947_lociStitched	chr6	143228067	143269356	6	8784	22221.7398	4277.5404	128	1
14_Peak_15536_lociStitched	chr6	41665967	41703386	14	16278	22470.1095	4572.6018	129	1
9_Peak_555_lociStitched	chr10	74078200	74097026	9	11025	20173.9416	2336.3066	130	1
12_Peak_28794_lociStitched	chr8	103794789	103843669	12	15157	23169.12	5547.88	131	1
11_Peak_15166_lociStitched	chr17	75092726	75145440	11	13267	23858.3564	6373.1226	132	1
7_Peak_1895_lociStitched	chr1	36838784	36878060	7	5798	22061.3292	4587.4368	133	1
2_Peak_16221_lociStitched	chr20	45976951	45990471	2	13080	19101.056	1656.2	134	1
18_Peak_32730_lociStitched	chr17	57903441	57932266	18	18975	20474.3975	3055.45	135	1
11_Peak_19149_lociStitched	chr9	135988350	136020187	11	14315	21388.0966	4103.7893	136	1
9_Peak_12058_lociStitched	chr8	95953543	95976380	9	13385	19646.6711	2496.0841	137	1
14_Peak_16041_lociStitched	chr2	33700452	33724647	14	15657	19716.5055	2588.865	138	1
7_Peak_37909_lociStitched	chr19	47596966	47617837	7	8682	19842.0597	2759.1462	139	1
12_Peak_21753_lociStitched	chrX	48773111	48804053	12	15950	20848.7196	3771.8298	140	1
11_Peak_57261_lociStitched	chr14	61937035	61978335	11	11723	21983.99	5026.21	141	1
17_Peak_24313_lociStitched	chr4	25844973	25881200	17	15607	21058.7551	4173.3504	142	1
13_Peak_24601_lociStitched	chr1	235090476	235133889	13	16496	22335.9885	5457.0141	143	1
8_Peak_20626_lociStitched	chr21	44768139	44783596	8	10071	18959.5562	2088.2407	144	1
11_Peak_3089_lociStitched	chr3	50264266	50311152	11	10484	22627.1836	5832.6184	145	1
9_Peak_36245_lociStitched	chr17	16870208	16895219	9	14763	19363.5162	2668.6737	146	1
10_Peak_9231_lociStitched	chr11	118780876	118801096	10	17191	19051.284	2418.312	147	1
12_Peak_1864_lociStitched	chr10	73505889	73533365	12	13710	20090.4512	3459.2284	148	1
10_Peak_3695_lociStitched	chr16	56944309	56973406	10	10577	20344.6224	3887.3592	149	1
7_Peak_3519_lociStitched	chr1	204462179	204491896	7	9872	19940.107	3509.5777	150	1
28_Peak_28641_lociStitched	chr2	89128102	89168939	28	26667	19654.8481	3299.6296	151	1
6_Peak_52173_lociStitched	chr8	142122876	142147709	6	8558	19429.3392	3076.8087	152	1
1_Peak_984_lociStitched	chr17	79476546	79487226	1	10681	17592.096	1289.076	153	1
2_Peak_972_lociStitched	chr6	30646985	30656633	2	9532	17432.0064	1218.5424	154	1
6_Peak_37609_lociStitched	chr10	63796547	63817132	6	11059	18514.149	2404.328	155	1
1_Peak_280_lociStitched	chr8	126441237	126447854	1	6618	16748.9504	661.0383	156	1
Peak_1649	chr22	50975496	50983868	1	8373	17012.7412	956.0824	157	1
6_Peak_27639_lociStitched	chr9	132645986	132663871	6	11380	18212.2955	2156.931	158	1
11_Peak_79459_lociStitched	chr5	6692598	6739771	11	12157	21458.9977	5410.7431	159	1
7_Peak_29143_lociStitched	chr19	42371716	42392961	7	8793	18402.419	2394.3115	160	1
7_Peak_13709_lociStitched	chr19	2253575	2273825	7	6882	18445.725	2498.85	161	1
4_Peak_679_lociStitched	chr2	28612766	28622661	4	9195	16893.7335	1014.2375	162	1
16_Peak_52374_lociStitched	chr1	12202917	12246549	16	18801	21410.2224	5571.8064	163	1
25_Peak_13645_lociStitched	chr19	39140741	39186414	25	21054	21534.8195	5750.2307	164	1
7_Peak_13531_lociStitched	chr3	53199875	53228434	7	17992	19217.3511	3447.0713	165	1
4_Peak_39245_lociStitched	chr10	3817965	3828462	4	7361	17015.637	1256.4909	166	1
6_Peak_2110_lociStitched	chr2	232526315	232546568	6	9561	18335.0409	2576.1816	167	1
6_Peak_39280_lociStitched	chr11	311728	336326	6	9450	18364.8668	2624.6066	168	1
23_Peak_61666_lociStitched	chr5	130586985	130624627	23	12411	19287.7608	3572.2258	169	1
4_Peak_3434_lociStitched	chr9	130659222	130675310	4	7088	17827.1128	2147.748	170	1
8_Peak_30954_lociStitched	chr11	111233812	111251738	8	14315	17791.555	2206.6906	171	1
1_Peak_33_lociStitched	chr5	90674734	90680821	1	6088	16096.4628	571.5693	172	1
Peak_69	chr2	70311855	70316917	1	5063	16136.1374	627.1818	173	1
2_Peak_34_lociStitched	chr11	122931741	122942226	2	8203	16611.3855	1159.641	174	1
12_Peak_12242_lociStitched	chr20	37488086	37522852	12	13367	19980.0202	4627.3546	175	1
12_Peak_53640_lociStitched	chr19	45241015	45273832	12	8887	19102.7757	3803.4903	176	1
3_Peak_48356_lociStitched	chr18	3447073	3459550	3	8823	16648.0611	1389.9378	177	1
6_Peak_22608_lociStitched	chr2	233924264	233952329	6	15028	18525.7065	3283.605	178	1
5_Peak_195_lociStitched	chr19	16180588	16198010	5	8811	17282.624	2057.5382	179	1
9_Peak_14690_lociStitched	chr1	160696336	160738480	9	11601	19706.5344	4488.336	180	1
14_Peak_29608_lociStitched	chr1	32391012	32427811	14	10385	19345.2343	4139.8875	181	1
5_Peak_53527_lociStitched	chr17	66230745	66259765	5	6900	17600.63	2449.288	182	1
7_Peak_8177_lociStitched	chr7	142490764	142510701	7	13004	17205.631	2071.4543	183	1
1_Peak_577_lociStitched	chr3	187455251	187465095	1	9845	16324.3052	1231.4844	184	1
7_Peak_3097_lociStitched	chr19	4058141	4090081	7	9352	18751.974	3660.324	185	1
8_Peak_9364_lociStitched	chr8	29934122	29971392	8	5742	19227.593	4140.697	186	1
7_Peak_22603_lociStitched	chr17	8024480	8062193	7	10495	19569.2757	4495.3896	187	1
7_Peak_67978_lociStitched	chr11	62306665	62328879	7	15965	17571.274	2561.2742	188	1
3_Peak_20300_lociStitched	chr8	144095267	144109185	3	4841	16609.7412	1624.2306	189	1
19_Peak_57021_lociStitched	chr14	102278418	102326163	19	14515	20157.939	5194.656	190	1
3_Peak_1241_lociStitched	chr10	135201395	135220024	3	8804	16957.9787	1998.8917	191	1
14_Peak_13702_lociStitched	chr22	39460151	39496461	14	13096	18696.019	3790.764	192	1
19_Peak_34796_lociStitched	chr15	96864030	96903441	19	17211	19015.8075	4220.9181	193	1
1_Peak_119_lociStitched	chr4	15002639	15007749	1	5111	15470.014	712.845	194	1
9_Peak_13435_lociStitched	chr2	20405321	20425205	9	16574	17207.6136	2457.6624	195	1
16_Peak_48847_lociStitched	chr6	37102692	37152309	16	12001	19995.651	5274.2871	196	1
15_Peak_78908_lociStitched	chr2	85115002	85173939	15	10492	20981.572	6294.4716	197	1
12_Peak_22817_lociStitched	chr2	175453806	175476810	12	12650	17055.1656	2376.3132	198	1
6_Peak_7277_lociStitched	chr13	27998173	28030166	6	6083	18210.4156	3554.4223	199	1
5_Peak_21327_lociStitched	chr1	155939983	155959298	5	9900	16954.707	2327.4575	200	1
20_Peak_14817_lociStitched	chr5	118608741	118689348	20	16800	23093.9055	8560.4634	201	1
20_Peak_74740_lociStitched	chr2	225774697	225848800	20	16227	21749.2305	7217.6322	202	1
5_Peak_1841_lociStitched	chr1	45267052	45286597	5	5344	16879.062	2398.1715	203	1
4_Peak_29509_lociStitched	chr4	78736568	78748971	4	6050	15684.8338	1206.8119	204	1
7_Peak_18682_lociStitched	chr2	68989051	69007065	7	9324	16558.4688	2100.4324	205	1
15_Peak_12105_lociStitched	chr5	156997942	157041002	15	14310	19196.148	4775.354	206	1
13_Peak_28353_lociStitched	chr14	74207288	74251509	13	13762	19811.008	5452.4493	207	1
11_Peak_39998_lociStitched	chr9	33130177	33167384	11	13818	18648.1484	4368.1018	208	1
7_Peak_57619_lociStitched	chrX	118811808	118832891	7	10818	16451.0649	2331.7798	209	1
12_Peak_32422_lociStitched	chr5	150590259	150622805	12	11146	18017.4656	3905.52	210	1
8_Peak_70751_lociStitched	chr2	145262879	145282445	8	12424	15879.7656	1768.7664	211	1
8_Peak_13400_lociStitched	chr20	34188739	34207359	8	9620	16223.606	2113.37	212	1
6_Peak_11502_lociStitched	chr14	95960838	95990733	6	13545	17751.651	3656.1585	213	1
4_Peak_21388_lociStitched	chr12	92527447	92539667	4	11149	15480.296	1394.302	214	1
21_Peak_13491_lociStitched	chr14	106146236	106178807	21	14654	15461.4537	1381.0104	215	1
6_Peak_11537_lociStitched	chr17	80163809	80199669	6	8927	18267.084	4217.136	216	1
12_Peak_12157_lociStitched	chr20	52195163	52212589	12	11244	15226.8388	1212.8496	217	1
1_Peak_65_lociStitched	chr8	38237549	38244851	1	7303	14787.2802	787.8858	218	1
11_Peak_37669_lociStitched	chr1	154358225	154392933	11	14818	17787.85	3793.5844	219	1
14_Peak_59373_lociStitched	chr18	2956188	2983153	14	16106	16955.592	2976.936	220	1
1_Peak_540_lociStitched	chr14	64968058	64973992	1	5935	14670.6282	720.981	221	1
13_Peak_26171_lociStitched	chr6	113947272	113972986	13	15962	16210.1056	2285.9746	222	1
4_Peak_649_lociStitched	chr19	48824526	48837655	4	6290	15665.5228	1786.8569	223	1
1_Peak_47_lociStitched	chr11	118659078	118664278	1	5201	14325.48	589.16	224	1
23_Peak_22360_lociStitched	chr3	45986399	46035282	23	18577	20002.9236	6296.1304	225	1
9_Peak_14601_lociStitched	chr12	47600555	47618491	9	12140	15372.9456	1682.3968	226	1
3_Peak_1140_lociStitched	chr12	46120351	46126947	3	6116	14411.6004	766.4552	227	1
16_Peak_37547_lociStitched	chr16	81728396	81791829	16	12934	20920.2034	7275.7651	228	1
2_Peak_97653_lociStitched	chr17	36856497	36863062	2	6420	14280.8445	697.203	229	1
1_Peak_680_lociStitched	chr6	26194930	26200739	1	5810	14193.7106	612.8495	230	1
11_Peak_24560_lociStitched	chr1	203707312	203745295	11	10251	17855.8083	4284.4824	231	1
3_Peak_230_lociStitched	chr3	39183039	39196010	3	8490	15234.4395	1669.3677	232	1
9_Peak_21983_lociStitched	chr16	11863011	11904727	9	6256	18238.2352	4680.5352	233	1
9_Peak_42359_lociStitched	chr19	42022581	42062021	9	10462	17665.176	4141.2	234	1
17_Peak_12842_lociStitched	chr12	9860329	9895874	17	16204	16848.33	3330.5665	235	1
3_Peak_367_lociStitched	chr2	219260838	219272234	3	7146	14919.6432	1406.2664	236	1
6_Peak_26210_lociStitched	chr8	12610218	12624647	6	2973	15073.9763	1649.2347	237	1
10_Peak_91363_lociStitched	chr2	198152287	198189847	10	12067	17476.668	4097.796	238	1
2_Peak_4041_lociStitched	chr1	36615334	36627872	2	4817	15033.062	1672.5692	239	1
4_Peak_6957_lociStitched	chr17	7736946	7755113	4	7868	15445.5834	2094.6551	240	1
4_Peak_3981_lociStitched	chr1	154971386	154990658	4	10435	15367.4928	2052.468	241	1
8_Peak_1765_lociStitched	chr1	111734479	111765571	8	10122	17075.7264	3790.1148	242	1
4_Peak_425_lociStitched	chr6	108878524	108887151	4	4910	14204.3555	930.8533	243	1
4_Peak_1732_lociStitched	chr19	47216740	47242104	4	7316	16339.4888	3127.3812	244	1
18_Peak_11856_lociStitched	chr10	97543041	97601818	18	15775	19402.2877	6195.0958	245	1
12_Peak_23558_lociStitched	chr20	5570732	5592282	12	11358	15481.52	2329.555	246	1
1_Peak_193_lociStitched	chrX	41189825	41195319	1	5495	13704.783	561.4868	247	1
13_Peak_16101_lociStitched	chr20	25262063	25300671	13	13025	17817.592	4679.2896	248	1
3_Peak_6573_lociStitched	chr17	29635821	29648688	3	9674	14206.4547	1079.5413	249	1
10_Peak_57864_lociStitched	chr12	123347703	123386904	10	10272	17667.8907	4559.0763	250	1
6_Peak_1936_lociStitched	chr16	66549594	66573942	6	10557	15765.33	2705.0628	251	1
4_Peak_207_lociStitched	chr7	130790793	130809680	4	6344	15018.9424	1968.0254	252	1
8_Peak_28924_lociStitched	chr1	230237890	230262388	8	12884	16016.7924	2991.2058	253	1
11_Peak_7988_lociStitched	chr2	46761932	46800422	11	7256	17674.608	4707.327	254	1
13_Peak_43895_lociStitched	chr20	52525425	52559209	13	13825	16709.5664	3750.024	255	1
2_Peak_460_lociStitched	chr1	207994893	208005610	2	6183	14369.3536	1422.1459	256	1
12_Peak_36091_lociStitched	chr20	50006198	50056111	12	13938	18872.1053	5949.6296	257	1
16_Peak_17602_lociStitched	chr7	130603998	130647004	16	12467	17976.508	5126.3152	258	1
4_Peak_3605_lociStitched	chr20	43594514	43620558	4	10007	15506.5976	2703.3672	259	1
3_Peak_7459_lociStitched	chr10	112256289	112264710	3	8268	13760.7561	976.836	260	1
Peak_977	chr16	88766051	88773483	1	7433	13903.0424	1131.8936	261	1
16_Peak_8740_lociStitched	chr15	90562575	90619626	16	13233	19996.3755	7256.8872	262	1
11_Peak_2332_lociStitched	chr1	206729791	206755705	11	11657	16064.0886	3361.0458	263	1
12_Peak_26392_lociStitched	chr16	11676202	11735360	12	10120	19877.088	7229.1076	264	1
10_Peak_60314_lociStitched	chr16	87883821	87903340	10	11774	14594.3563	2033.8798	265	1
11_Peak_14097_lociStitched	chr10	106081759	106111786	11	13642	15950.3424	3438.0915	266	1
Peak_1103	chr19	13948888	13954879	1	5992	13272.4614	790.812	267	1
14_Peak_35742_lociStitched	chr1	226820624	226891770	14	11503	21215.7372	8765.1872	268	1
9_Peak_62792_lociStitched	chr1	31214313	31235218	9	10660	15281.555	2874.4375	269	1
4_Peak_912_lociStitched	chr8	103665754	103675562	4	6858	13491.8848	1112.2272	270	1
6_Peak_38113_lociStitched	chr6	90058691	90068453	6	8318	13430.5596	1078.701	271	1
2_Peak_608_lociStitched	chr17	42293804	42302339	2	6670	13252.2945	901.296	272	1
5_Peak_6084_lociStitched	chr15	86232144	86251818	5	11046	14672.8692	2327.4342	273	1
1_Peak_1_lociStitched	chr6	89788686	89793414	1	4729	12855.432	516.2976	274	1
2_Peak_42757_lociStitched	chr5	88175634	88186294	2	10398	13312.208	1011.634	275	1
3_Peak_2045_lociStitched	chr2	97192533	97205220	3	8688	13761.5889	1471.692	276	1
14_Peak_13452_lociStitched	chr17	2115577	2170720	14	14144	18346.0761	6060.2157	277	1
9_Peak_14366_lociStitched	chr21	35303857	35324885	9	10569	14542.9648	2315.1828	278	1
6_Peak_8430_lociStitched	chr18	3580789	3606586	6	10164	15073.1871	2850.5685	279	1
21_Peak_13937_lociStitched	chr14	106025267	106057845	21	12282	13347.2066	1166.2924	280	1
22_Peak_10517_lociStitched	chr14	61790434	61817377	22	18980	14977.6137	2839.7922	281	1
1_Peak_307_lociStitched	chr6	74229407	74234111	1	4705	12689.9808	588.9408	282	1
5_Peak_30589_lociStitched	chr14	21132348	21153241	5	7458	14317.9729	2262.7119	283	1
4_Peak_3775_lociStitched	chr3	69131405	69145531	4	11943	13832.1792	1784.1138	284	1
5_Peak_37283_lociStitched	chr7	134835121	134862770	5	5505	15135.0626	3102.2178	285	1
6_Peak_13211_lociStitched	chr6	26532142	26555405	6	9623	14467.2597	2449.5939	286	1
