REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	HG_Serous_550_IP.nodup.bam	HG_Serous_550_Input.nodup.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper	ensembl_gene_id	hgnc_symbol	medianCPM	keyAnnotation
11_Peak_25545_lociStitched	chr21	45557460	45596175	11	17346	29086.5795	4498.683	55	C21orf33	PWP2	C21orf33	55	1	ENSG00000160221	GATD3A	0.258407473787289	2
30_Peak_14507_lociStitched	chr17	62128233	62206099	30	27765	33256.5686	8861.1508	56	ERN1	SNORA76,SNORD104,ICAM2	ERN1	56	1	ENSG00000178607	ERN1	18.2281708025175	1
23_Peak_20405_lociStitched	chr20	30249602	30311813	23	21605	31603.188	7340.898	57	BCL2L1	COX4I2,TPX2	BCL2L1	57	1	ENSG00000171552	BCL2L1	52.8689294767238	1
26_Peak_20123_lociStitched	chr11	128321578	128396193	26	26162	32778.3695	8923.954	58	ETS1		ETS1	58	1	ENSG00000134954	ETS1	17.9591670655342	1
25_Peak_29340_lociStitched	chr2	99070116	99131665	25	26695	30971.4568	7250.4722	59	INPP4A		INPP4A	59	1	ENSG00000040933	INPP4A	19.9006312648264	1
20_Peak_29234_lociStitched	chr8	27191129	27262808	20	21368	32191.0389	8522.6331	60	PTK2B	TRIM35	PTK2B	60	1	ENSG00000120899	PTK2B	16.7302732540777	1
21_Peak_5206_lociStitched	chr8	134055027	134105962	21	26476	29705.292	6468.745	61	SLA,TG		SLA	61	1	ENSG00000155926	SLA	5.96251186266072	1
12_Peak_7257_lociStitched	chr15	63765849	63798499	12	17558	26665.255	3539.26	62	USP3		USP3	62	1	ENSG00000140455	USP3	44.9736714145446	1
Peak_10	chr12	122237641	122245271	1	7631	23872.744	849.982	63	LOC338799,SETD1B	RHOF	LOC338799	63	1	ENSG00000139718	SETD1B	37.2968120499654	2
13_Peak_48980_lociStitched	chr9	123653209	123698849	13	20173	28369.824	5463.108	64	TRAF1	PSMD5,PHF19,LOC253039	TRAF1	64	1	ENSG00000056558	TRAF1	7.66608668056378	1
8_Peak_57846_lociStitched	chr1	40842687	40870240	8	12176	25965.9472	3074.9148	65	SMAP2	ZNF643	SMAP2	65	1	ENSG00000084070	SMAP2	19.8686635400894	1
10_Peak_23405_lociStitched	chr11	67034040	67057753	10	16847	25626.6391	3028.1501	66	ANKRD13D,ADRBK1	SSH3,LOC100130987	ANKRD13D	66	1	ENSG00000172932	ANKRD13D	38.4961627331594	1
14_Peak_11916_lociStitched	chr5	172191960	172234967	14	11248	27365.3541	5018.9169	67	DUSP1	ERGIC1	DUSP1	67	1	ENSG00000120129	DUSP1	84.011140922401	1
5_Peak_8913_lociStitched	chr17	56409984	56422955	5	12425	23814.756	1569.491	68	SUPT4H1	BZRAP1,MIR142	MIR142	68	1	ENSG00000213246	SUPT4H1	27.3042961944847	2
4_Peak_3137_lociStitched	chr18	60804857	60830347	4	14187	25201.963	2987.428	69	BCL2		BCL2	69	1	ENSG00000171791	BCL2	10.9315455684955	1
24_Peak_44056_lociStitched	chr9	92002037	92063347	24	24685	29772.136	7633.095	70	SEMA4D		SEMA4D	70	1	ENSG00000187764	SEMA4D	28.8270357899464	1
12_Peak_19177_lociStitched	chr15	93344623	93393329	12	16698	27650.3962	5523.2604	71		LOC100507217,ASB9P1	ASB9P1	71	1	ENSG00000258527	ASB9P1	0.602950772170342	1
11_Peak_7381_lociStitched	chr11	64618164	64656039	11	19619	26735.9625	4624.5375	72	EHD1	GPHA2,ATG2A,MEN1,MAP4K2,CDC42BPG,PPP2R5B,MIR194-2,MIR192	EHD1	72	1	ENSG00000110047	EHD1	18.9037031325027	1
22_Peak_21593_lociStitched	chr22	36747112	36784188	22	21486	26364.7436	4293.4008	73	MYH9		MYH9	73	1	ENSG00000100345	MYH9	465.858773555724	1
7_Peak_20051_lociStitched	chr4	185185032	185210489	7	15785	25217.7042	3164.3051	74		ENPP6	ENPP6	74	1	ENSG00000164303	ENPP6	1.785280905024	1
25_Peak_10499_lociStitched	chr17	76712833	76778396	25	20154	29208.3165	7480.7383	75	CYTH1		CYTH1	75	1	ENSG00000108669	CYTH1	23.7731337087892	1
31_Peak_85134_lociStitched	chr1	19752424	19834260	31	22103	31032.2112	9345.6712	76	CAPZB		CAPZB	76	1	ENSG00000077549	CAPZB	98.7623344479686	1
5_Peak_10562_lociStitched	chr19	42756014	42789788	5	13749	25306.8582	3738.7818	77	ERF,CIC	MEGF8,PAFAH1B3,PRR19,TMEM145,DEDD2,ZNF526,GSK3A	ERF	77	1	ENSG00000105722	ERF	29.9297092901083	1
28_Peak_24900_lociStitched	chr9	132748932	132802970	28	27026	27224.3444	5836.104	78	FNBP1	GPR107	FNBP1	78	1	ENSG00000187239	FNBP1	77.3044406432175	1
14_Peak_31708_lociStitched	chr2	197023184	197049150	14	19294	23930.2656	2547.2646	79	STK17B		STK17B	79	1	ENSG00000081320	STK17B	20.4718035191825	1
22_Peak_39512_lociStitched	chr17	73289979	73342626	22	20069	27481.734	6101.7873	80	GRB2	LOC100287042,MRPS7,MIF4GD,SLC25A19,GGA3	SLC25A19	80	1	ENSG00000125454	SLC25A19	7.76686839706089	1
28_Peak_25319_lociStitched	chr1	198581631	198655212	28	25107	28461.1308	7085.8503	81	PTPRC		PTPRC	81	1	ENSG00000081237	PTPRC	7.62005450298412	1
18_Peak_23571_lociStitched	chr21	44817506	44881724	18	15535	28705.446	7417.179	82	C21orf125,SIK1	C21orf84	SIK1	82	1	ENSG00000160209	PDXK	130.866202849101	3
15_Peak_11777_lociStitched	chr6	291108	342884	15	17827	26902.8096	5855.8656	83	DUSP22	IRF4	DUSP22	83	1	ENSG00000112679	DUSP22	18.7919629815617	1
4_Peak_153_lociStitched	chr5	42989618	43011341	4	10575	23447.8062	2413.4253	84		LOC648987,LOC153684,C5orf39	LOC648987	84	1	ENSG00000250722	SELENOP	65.2784669088973	3
5_Peak_21881_lociStitched	chr12	26266472	26280183	5	13026	22571.0482	1609.6714	85	BHLHE41		BHLHE41	85	1	ENSG00000123095	BHLHE41	24.4163417892988	1
8_Peak_64917_lociStitched	chr9	73012662	73036651	8	11056	23605.176	2792.3196	86	KLF9		KLF9	86	1	ENSG00000119138	KLF9	9.97808107628937	1
9_Peak_16618_lociStitched	chr5	180232467	180260631	9	11137	24040.7904	3283.9224	87	LOC729678,MGAT1	MGAT1,ZFP62	MGAT1	87	1	ENSG00000131446	MGAT1	47.7404473399267	1
26_Peak_38914_lociStitched	chr15	78316441	78376846	26	21694	27756.0975	7121.7495	88	TBC1D2B	CIB2,LOC91450,SH2D7	TBC1D2B	88	1	ENSG00000167202	TBC1D2B	23.899068527602	1
12_Peak_17740_lociStitched	chr15	31622190	31660474	12	16407	25301.8956	4716.5888	89	KLF13		KLF13	89	1	ENSG00000169926	KLF13	40.9962538071668	1
8_Peak_21671_lociStitched	chr8	145002140	145031538	8	15481	24300.3868	3768.8236	90	PLEC,MIR661	GRINA,PARP10	PLEC	90	1	ENSG00000178209	PLEC	392.892195636502	1
5_Peak_588_lociStitched	chr2	136873000	136897369	5	13508	23245.5891	2734.2018	91	CXCR4		CXCR4	91	1	ENSG00000121966	CXCR4	15.0279635722163	1
18_Peak_6283_lociStitched	chr17	76337516	76386997	18	18504	26363.4768	5927.8238	92	SOCS3,PGS1		SOCS3	92	1	ENSG00000184557	SOCS3	54.9015144409157	1
12_Peak_8210_lociStitched	chr1	200830842	200858265	12	17595	23581.0377	3156.3873	93	GPR25	C1orf106	GPR25	93	1	ENSG00000118200	CAMSAP2	37.9078154374608	3
8_Peak_40882_lociStitched	chr14	77492170	77510756	8	10091	22554.111	2170.8448	94	C14orf4		C14orf4	94	1	ENSG00000119669	IRF2BPL	27.3042961944847	2
24_Peak_18769_lociStitched	chr1	160593749	160654218	24	20985	26860.3298	6657.6369	95	CD48,SLAMF1	CD84	SLAMF1	95	1	ENSG00000228863		0.83704732700831	1
6_Peak_2621_lociStitched	chr7	50343278	50370660	6	17545	22902.3048	2872.3718	96	IKZF1		IKZF1	96	1	ENSG00000185811	IKZF1	2.90106335201774	1
10_Peak_16385_lociStitched	chr18	46449066	46482838	10	17605	24005.1376	3981.7188	97	SMAD7		SMAD7	97	1	ENSG00000101665	SMAD7	5.30333445315953	1
18_Peak_16901_lociStitched	chrX	1581501	1656799	18	18751	27114.8098	7349.0848	98	P2RY8	ASMTL	P2RY8	98	1	ENSG00000006756	ARSD	136.027461672826	3
8_Peak_16166_lociStitched	chr12	9796350	9830818	8	15147	23745.0052	4177.5216	99	CLEC2D,LOC374443	KLRB1,CLEC2D	CLEC2D	99	1	ENSG00000069493	CLEC2D	13.8621811448922	1
17_Peak_19945_lociStitched	chr12	104849959	104899640	17	14900	25426.7358	5872.2942	100	CHST11		CHST11	100	1	ENSG00000171310	CHST11	6.71859431846952	1
2_Peak_37563_lociStitched	chr2	232566373	232577579	2	7314	20886.8634	1342.4788	101	PTMA	PTMA,MIR1244-2	PTMA	101	1	ENSG00000187514	PTMA	922.382099240683	1
13_Peak_53022_lociStitched	chr11	128584788	128609210	13	18392	22573.2546	3069.8454	102	FLI1		FLI1	102	1	ENSG00000151702	FLI1	3.28436527177849	1
1_Peak_95_lociStitched	chr6	32935087	32939805	1	4719	20098.2082	599.186	103	BRD2	HLA-DMA,BRD2,HLA-DOA,HLA-DMB	BRD2	103	1	ENSG00000204256	BRD2	179.822889814422	1
11_Peak_18947_lociStitched	chr19	14466548	14496765	11	14281	22729.2274	3254.3709	104	CD97	PKN1,DDX39	CD97	104	1	ENSG00000123146	ADGRE5	20.6641315016063	2
11_Peak_76168_lociStitched	chr22	37613969	37641956	11	16871	22795.4115	3330.453	105	RAC2	CYTH4,SSTR3,C1QTNF6	RAC2	105	1	ENSG00000128340	RAC2	8.49070350134701	1
7_Peak_17763_lociStitched	chr7	102055987	102086667	7	8181	23344.412	3917.836	106	PRKRIP1,ORAI2	ALKBH4,LRWD1,ORAI2,POLR2J	ORAI2	106	1	ENSG00000160991	ORAI2	36.5215896286036	1
6_Peak_20755_lociStitched	chr12	109010244	109035622	6	11443	22528.0506	3169.7122	107	SELPLG	TMEM119	SELPLG	107	1	ENSG00000110876	SELPLG	2.5838198616444	1
6_Peak_23022_lociStitched	chr3	5223019	5242091	6	16009	21089.8176	1916.736	108	EDEM1		EDEM1	108	1	ENSG00000134109	EDEM1	35.2007644738537	1
12_Peak_1292_lociStitched	chr1	66796975	66819229	12	14509	21450.6306	2303.289	109	PDE4B		PDE4B	109	1	ENSG00000184588	PDE4B	3.69756442800596	1
8_Peak_34040_lociStitched	chr17	37909624	37935232	8	15995	22076.6568	2939.7984	110	IKZF3	C17orf37,GRB7	GRB7	110	1	ENSG00000141738	GRB7	28.7258563923169	1
8_Peak_31811_lociStitched	chr9	134529721	134555467	8	15544	22283.163	3259.4436	111	RAPGEF1		RAPGEF1	111	1	ENSG00000107263	RAPGEF1	30.2108168438422	1
13_Peak_2752_lociStitched	chr22	46451633	46478198	13	18554	22133.958	3110.7615	112	LOC150381	LOC400931,C22orf26,MIRLET7A3,MIR3619,LOC100271722,MIRLET7B,LOC730668	C22orf26	112	1	ENSG00000235159		1.2776811134273	1
15_Peak_16698_lociStitched	chr20	49115364	49164276	15	18114	24333.72	5453.688	113	PTPN1	MIR645	PTPN1	113	1	ENSG00000196396	PTPN1	32.3980980170218	1
6_Peak_28933_lociStitched	chr10	43889487	43917019	6	9410	22058.6384	3199.2184	114	HNRNPF	FXYD4,ZNF487P	HNRNPF	114	1	ENSG00000169813	HNRNPF	81.5708691557538	1
12_Peak_56272_lociStitched	chr1	145426992	145457740	12	12867	22215.43	3373.0556	115	TXNIP,POLR3GL	RBM8A,HFE2,ANKRD34A,LIX1L	TXNIP	115	1	ENSG00000265972	TXNIP	166.258870328118	1
6_Peak_2472_lociStitched	chr9	132243727	132263333	6	13486	21109.7802	2268.4142	116			C9orf50	116	1	ENSG00000179058	C9orf50	0.889035543360276	1
8_Peak_5177_lociStitched	chr17	74242102	74269279	8	13066	21978.0399	3253.0869	117	FAM100B	RNF157,QRICH2	FAM100B	117	1	ENSG00000185262	UBALD2	27.2260656890071	1
6_Peak_80259_lociStitched	chr1	16149982	16178552	6	10197	21893.191	3222.696	118	SPEN,FLJ37453	UQCRHL	SPEN	118	1	ENSG00000065526	SPEN	91.1029904807855	1
8_Peak_38127_lociStitched	chr19	18395467	18429726	8	10620	22648.6249	4148.7649	119	LSM4	JUND,PDE4C,LOC729966,MIR3188,KIAA1683,PGPEP1	MIR3188	119	1	ENSG00000130520	LSM4	40.8514277679021	2
3_Peak_334_lociStitched	chr2	157188455	157200373	3	7768	19692.1114	1220.4032	120	NR4A2		NR4A2	120	1	ENSG00000153234	NR4A2	10.4570831503992	1
4_Peak_5392_lociStitched	chr6	42738266	42752801	4	9044	19833.0075	1395.36	121		TBCC,LOC442211,PRPH2,KIAA0240	TBCC	121	1	ENSG00000124659	TBCC	10.5865006541119	1
19_Peak_26433_lociStitched	chr7	137656294	137686991	19	19309	21813.2882	3456.4822	122	CREB3L2		CREB3L2	122	1	ENSG00000182158	CREB3L2	48.3329171332136	1
7_Peak_11300_lociStitched	chr14	94419842	94444669	7	15482	21525.009	3192.7522	123	ASB2	OTUB2,C14orf48,FAM181A,C14orf86	ASB2	123	1	ENSG00000100628	ASB2	0.673916718888192	1
21_Peak_16090_lociStitched	chr14	99697133	99737829	21	23683	23005.4488	4708.5272	124	BCL11B		BCL11B	124	1	ENSG00000127152	BCL11B	2.79401998442751	1
18_Peak_8341_lociStitched	chr3	183228105	183274011	18	20695	23655.3618	5458.2234	125	KLHL6		KLHL6	125	1	ENSG00000172578	KLHL6	3.69756442800596	1
2_Peak_6_lociStitched	chr7	104650412	104658514	2	7658	18917.3598	904.1832	126	MLL5,LOC100216545		LOC100216545	126	1	ENSG00000239569	KMT2E-AS1	5.34858190186374	1
12_Peak_13285_lociStitched	chr15	65164063	65197980	12	13489	21927.3405	3917.4135	127		ANKDD1A,PLEKHO2,PIF1	ANKDD1A	127	1	ENSG00000166839	ANKDD1A	20.7423146109754	1
6_Peak_947_lociStitched	chr6	143228067	143269356	6	8784	22221.7398	4277.5404	128	HIVEP2		HIVEP2	128	1	ENSG00000010818	HIVEP2	34.2353867669308	1
14_Peak_15536_lociStitched	chr6	41665967	41703386	14	16278	22470.1095	4572.6018	129	TFEB	FRS3,PRICKLE4,PGC	TFEB	129	1	ENSG00000112561	TFEB	7.37896897370371	1
9_Peak_555_lociStitched	chr10	74078200	74097026	9	11025	20173.9416	2336.3066	130	DNAJB12	DDIT4,DNAJB12	DNAJB12	130	1	ENSG00000148719	DNAJB12	35.6082130787984	1
12_Peak_28794_lociStitched	chr8	103794789	103843669	12	15157	23169.12	5547.88	131	AZIN1		AZIN1	131	1	ENSG00000155096	AZIN1	66.8908767842382	1
11_Peak_15166_lociStitched	chr17	75092726	75145440	11	13267	23858.3564	6373.1226	132	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	132	1	ENSG00000129657	SEC14L1	51.8505837874944	1
7_Peak_1895_lociStitched	chr1	36838784	36878060	7	5798	22061.3292	4587.4368	133	LSM10,STK40	OSCP1,FAM176B	LSM10	133	1	ENSG00000181817	LSM10	8.01803229029013	1
2_Peak_16221_lociStitched	chr20	45976951	45990471	2	13080	19101.056	1656.2	134	ZMYND8	LOC100131496,ZMYND8	ZMYND8	134	1	ENSG00000101040	ZMYND8	90.8370429689026	1
18_Peak_32730_lociStitched	chr17	57903441	57932266	18	18975	20474.3975	3055.45	135	MIR21,TMEM49	RPS6KB1,TUBD1	MIR21	135	1	ENSG00000199004	NA	0.639508359319616	1
11_Peak_19149_lociStitched	chr9	135988350	136020187	11	14315	21388.0966	4103.7893	136	RALGDS	CELP,GBGT1	RALGDS	136	1	ENSG00000160271	RALGDS	47.0538754055554	1
9_Peak_12058_lociStitched	chr8	95953543	95976380	9	13385	19646.6711	2496.0841	137	TP53INP1	CCNE2	TP53INP1	137	1	ENSG00000164938	TP53INP1	34.0624337519278	1
14_Peak_16041_lociStitched	chr2	33700452	33724647	14	15657	19716.5055	2588.865	138	RASGRP3	RASGRP3	RASGRP3	138	1	ENSG00000152689	RASGRP3	6.60826837111824	1
7_Peak_37909_lociStitched	chr19	47596966	47617837	7	8682	19842.0597	2759.1462	139	ZC3H4	SAE1,TMEM160	ZC3H4	139	1	ENSG00000130749	ZC3H4	41.4366432523609	1
12_Peak_21753_lociStitched	chrX	48773111	48804053	12	15950	20848.7196	3771.8298	140	OTUD5,PIM2	PQBP1,SLC35A2,KCND1,TIMM17B	PIM2	140	1	ENSG00000102096	PIM2	7.40654976008384	1
